Date,EQY_DVD_YLD_12M
2006-01-03,2.721
2006-01-04,2.6987
2006-01-05,2.634
2006-01-06,2.6446
2006-01-09,2.6593
2006-01-10,2.6673
2006-01-11,2.7266
2006-01-12,2.8076
2006-01-13,2.8228999999999997
2006-01-17,2.9311
2006-01-18,2.8830999999999998
2006-01-19,2.8612
2006-01-20,2.9069000000000003
2006-01-23,2.9524
2006-01-24,2.8830999999999998
2006-01-25,2.8925
2006-01-26,2.9393000000000002
2006-01-27,2.8625
2006-01-30,2.8989000000000003
2006-01-31,2.8989000000000003
2006-02-01,2.8878
2006-02-02,2.8989000000000003
2006-02-03,2.9005
2006-02-06,2.9149000000000003
2006-02-07,2.9892
2006-02-08,2.9574
2006-02-09,3.0114
2006-02-10,2.9657
2006-02-13,3.0235
2006-02-14,2.9977
2006-02-15,2.9842
2006-02-16,2.9607
2006-02-17,2.923
2006-02-21,2.9808
2006-02-22,2.9591
2006-02-23,2.9508
2006-02-24,2.9426
2006-02-27,2.9116999999999997
2006-02-28,2.9085
2006-03-01,2.9409
2006-03-02,2.9181
2006-03-03,2.9165
2006-03-06,2.969
2006-03-07,2.9393000000000002
2006-03-08,2.9977
2006-03-09,2.996
2006-03-10,2.9311
2006-03-13,2.8632
2006-03-14,2.7827
2006-03-15,2.7652
2006-03-16,2.7638
2006-03-17,2.7337
2006-03-20,2.7696
2006-03-21,2.7915
2006-03-22,2.7308
2006-03-23,2.7842000000000002
2006-03-24,2.7666
2006-03-27,2.7915
2006-03-28,2.8124000000000002
2006-03-29,2.7493
2006-03-30,2.771
2006-03-31,2.7798
2006-04-03,2.7168
2006-04-04,2.7827
2006-04-05,2.7196
2006-04-06,2.6917999999999997
2006-04-07,2.7015000000000002
2006-04-10,2.7154
2006-04-11,2.7422
2006-04-12,2.7479
2006-04-13,2.7522
2006-04-17,2.7436
2006-04-18,2.7266
2006-04-19,2.7182
2006-04-20,2.7394
2006-04-21,2.7436
2006-04-24,2.7551
2006-04-25,2.7379
2006-04-26,2.7422
2006-04-27,2.7323
2006-04-28,2.7394
2006-05-01,2.7294
2006-05-02,2.7084
2006-05-03,2.7196
2006-05-04,2.6782
2006-05-05,2.6566
2006-05-08,2.6513
2006-05-09,2.6606
2006-05-10,2.67
2006-05-11,2.67
2006-05-12,2.7351
2006-05-15,2.7365
2006-05-16,2.7451
2006-05-17,2.7842000000000002
2006-05-18,2.7768
2006-05-19,2.8199
2006-05-22,2.8519
2006-05-23,2.8124000000000002
2006-05-24,2.8846
2006-05-25,2.8381
2006-05-26,2.8596
2006-05-30,2.8799
2006-05-31,3.4388
2006-06-01,3.4175
2006-06-02,3.3366
2006-06-05,3.4194
2006-06-06,3.4388
2006-06-07,3.4822
2006-06-08,3.5267
2006-06-09,3.4703
2006-06-12,3.3495
2006-06-13,3.4862
2006-06-14,3.4466
2006-06-15,3.4544
2006-06-16,3.4466
2006-06-19,3.4407
2006-06-20,3.4252000000000002
2006-06-21,3.4136
2006-06-22,3.4842
2006-06-23,3.4942
2006-06-26,3.5003
2006-06-27,3.5682
2006-06-28,3.5391
2006-06-29,3.4862
2006-06-30,3.4136
2006-07-03,3.4486
2006-07-05,3.5023
2006-07-06,3.4703
2006-07-07,3.4643
2006-07-10,3.4762
2006-07-11,3.4098
2006-07-12,3.4544
2006-07-13,3.5042999999999997
2006-07-14,3.4922
2006-07-17,3.5288
2006-07-18,3.4983
2006-07-19,3.3828
2006-07-20,3.3888
2006-07-21,3.2967
2006-07-24,3.2914
2006-07-25,3.2701000000000002
2006-07-26,3.2232
2006-07-27,3.2301
2006-07-28,3.2129
2006-07-31,3.2095
2006-08-01,3.2421
2006-08-02,3.1776
2006-08-03,2.7202
2006-08-04,2.7548
2006-08-07,2.8346
2006-08-08,2.7699
2006-08-09,2.7813
2006-08-10,2.7762000000000002
2006-08-11,2.8331
2006-08-14,2.7941000000000003
2006-08-15,2.7573
2006-08-16,2.751
2006-08-17,2.751
2006-08-18,2.789
2006-08-21,2.7598000000000003
2006-08-22,2.7864
2006-08-23,2.7648
2006-08-24,2.7838000000000003
2006-08-25,2.7993
2006-08-28,2.8346
2006-08-29,3.0134
2006-08-30,2.9706
2006-08-31,2.9911
2006-09-01,2.9576000000000002
2006-09-05,2.9911
2006-09-06,3.0179
2006-09-07,3.0698
2006-09-08,3.059
2006-09-11,3.003
2006-09-12,2.959
2006-09-13,2.9461
2006-09-14,2.9276
2006-09-15,2.9107
2006-09-18,2.9533
2006-09-19,2.9882
2006-09-20,3.0339
2006-09-21,3.0015
2006-09-22,2.9485
2006-09-25,2.9413
2006-09-26,2.9582
2006-09-27,2.922
2006-09-28,2.9755000000000003
2006-09-29,2.9769
2006-10-02,2.9840999999999998
2006-10-03,2.9655
2006-10-04,2.9812
2006-10-05,2.9655
2006-10-06,2.9193
2006-10-09,2.8691
2006-10-10,2.8718
2006-10-11,2.8259
2006-10-12,2.7851
2006-10-13,2.8194
2006-10-16,2.8259
2006-10-17,2.8117
2006-10-18,2.8129999999999997
