Date,EQY_DVD_YLD_12M
2007-09-28,0.3951
2007-10-01,0.3859
2007-10-02,0.3894
2007-10-03,0.3926
2007-10-04,0.39
2007-10-05,0.3883
2007-10-08,0.3772
2007-10-09,0.3812
2007-10-10,0.38
2007-10-11,0.382
2007-10-12,0.3784
2007-10-15,0.3787
2007-10-16,0.3785
2007-10-17,0.3794
2007-10-18,0.3796
2007-10-19,0.3863
2007-10-22,0.3924
2007-10-23,0.3986
2007-10-24,0.4051
2007-10-25,0.4113
2007-10-26,0.4154
2007-10-29,0.4072
2007-10-30,0.4
2007-10-31,0.3925
2007-11-01,0.3981
2007-11-02,0.3958
2007-11-05,0.4147
2007-11-06,0.4146
2007-11-07,0.4244
2007-11-08,0.4225
2007-11-09,0.4298
2007-11-12,0.4464
2007-11-13,0.4328
2007-11-14,0.4308
2007-11-15,0.423
2007-11-16,0.3998
2007-11-19,0.3994
2007-11-20,0.3977
2007-11-21,0.3999
2007-11-23,0.3951
2007-11-26,0.4042
2007-11-27,0.406
2007-11-28,0.3923
2007-11-29,0.3825
2007-11-30,0.3744
2007-12-03,0.3757
2007-12-04,0.3804
2007-12-05,0.3804
2007-12-06,0.372
2007-12-07,0.3741
2007-12-10,0.3745
2007-12-11,0.3835
2007-12-12,0.377
2007-12-13,0.3788
2007-12-14,0.3831
2007-12-17,0.3832
2007-12-18,0.3803
2007-12-19,0.3804
2007-12-20,0.3827
2007-12-21,0.3755
2007-12-24,0.369
2007-12-26,0.3687
2007-12-27,0.3738
2007-12-28,0.3704
2007-12-31,0.3771
2008-01-02,0.3807
2008-01-03,0.3817
2008-01-04,0.3941
2008-01-07,0.4086
2008-01-08,0.4253
2008-01-09,0.4195
2008-01-10,0.8279
2008-01-11,0.8378
2008-01-14,0.8159
2008-01-15,0.8441
2008-01-16,0.8306
2008-01-17,0.856
2008-01-18,0.8679
2008-01-22,0.8822
2008-01-23,0.8914
2008-01-24,0.8586
2008-01-25,0.8426
2008-01-28,0.8393
2008-01-29,0.8534
2008-01-30,0.8381
2008-01-31,0.8299
2008-02-01,0.8262
2008-02-04,0.8274
2008-02-05,0.8586
2008-02-06,0.8058
2008-02-07,0.7973
2008-02-08,0.8092
2008-02-11,0.7973
2008-02-12,0.7955
2008-02-13,0.781
2008-02-14,0.7955
2008-02-15,0.7982
2008-02-19,0.7959
2008-02-20,0.8
2008-02-21,0.8197
2008-02-22,0.8109
2008-02-25,0.8074
2008-02-26,0.8076
2008-02-27,0.813
2008-02-28,0.8361
2008-02-29,0.8511
2008-03-03,0.8498
2008-03-04,0.8508
2008-03-05,0.8565
2008-03-06,0.8623
2008-03-07,0.8634
2008-03-10,0.8909
2008-03-11,0.8701
2008-03-12,0.8688
2008-03-13,0.8728
2008-03-14,0.8824
2008-03-17,0.898
2008-03-18,0.8712
2008-03-19,0.8747
2008-03-20,0.8521
2008-03-24,0.8284
2008-03-25,0.8331
2008-03-26,0.8226
2008-03-27,0.8366
2008-03-28,0.8277
2008-03-31,0.8159
2008-04-01,0.8121
2008-04-02,0.8
2008-04-03,0.8007
2008-04-04,0.7813
2008-04-07,0.7821
2008-04-08,0.7993
2008-04-09,0.8016
2008-04-10,1.209
2008-04-11,1.2302
2008-04-14,1.2199
2008-04-15,1.2338
2008-04-16,1.2027
2008-04-17,1.1871
2008-04-18,1.1391
2008-04-21,1.1545
2008-04-22,1.1831
2008-04-23,1.1644
2008-04-24,1.1293
2008-04-25,1.1167
2008-04-28,1.1296
2008-04-29,1.1161
2008-04-30,1.1227
2008-05-01,1.0513
2008-05-02,1.055
2008-05-05,1.0717
2008-05-06,1.0884
2008-05-07,1.1082
2008-05-08,1.0983
2008-05-09,1.1009
2008-05-12,1.0957
2008-05-13,1.1027
2008-05-14,1.1129
2008-05-15,1.1224
2008-05-16,1.0722
2008-05-19,1.0753
2008-05-20,1.0943
2008-05-21,1.1044
2008-05-22,1.1114
2008-05-23,1.1015
2008-05-27,1.0728
2008-05-28,1.0665
2008-05-29,1.0636
2008-05-30,1.0469
2008-06-02,1.055
2008-06-03,1.0755
2008-06-04,1.0789
2008-06-05,1.0772
2008-06-06,1.0969
2008-06-09,1.0828
2008-06-10,1.0966
2008-06-11,1.1218
2008-06-12,1.105
2008-06-13,1.0895
2008-06-16,1.0742
2008-06-17,1.096
2008-06-18,1.129
2008-06-19,1.1158
2008-06-20,1.141
2008-06-23,1.1586
2008-06-24,1.1348
2008-06-25,1.1432
2008-06-26,1.1798
2008-06-27,1.1657
2008-06-30,1.1724999999999999
2008-07-01,1.1848
2008-07-02,1.1868
2008-07-03,1.1952
2008-07-07,1.1962
2008-07-08,1.1939
2008-07-09,1.2024
2008-07-10,1.1881
2008-07-11,1.6040999999999999
2008-07-14,1.6227
2008-07-15,1.612
2008-07-16,1.5905
2008-07-17,1.5168
2008-07-18,1.5393
2008-07-21,1.5525
2008-07-22,1.5171999999999999
2008-07-23,1.4973
2008-07-24,1.5448
2008-07-25,1.5393
2008-07-28,1.577
2008-07-29,1.5744
2008-07-30,1.6598000000000002
2008-07-31,1.6898
2008-08-01,1.7104
2008-08-04,1.7247
2008-08-05,1.6893
2008-08-06,1.6568
2008-08-07,1.6751
2008-08-08,1.6327
2008-08-11,1.6124
2008-08-12,1.6148
2008-08-13,1.635
2008-08-14,1.6166
2008-08-15,1.6289
2008-08-18,1.6246
2008-08-19,1.6303
2008-08-20,1.6745999999999999
2008-08-21,1.6873
2008-08-22,1.7021
2008-08-25,1.7445
2008-08-26,1.75
2008-08-27,1.7462
2008-08-28,1.7021
2008-08-29,1.7016
2008-09-02,1.7052
2008-09-03,1.7616
2008-09-04,1.8331
2008-09-05,1.8361
2008-09-08,1.8427
2008-09-09,1.8586
2008-09-10,1.8561
2008-09-11,1.8622999999999998
2008-09-12,1.8735
2008-09-15,1.9767000000000001
2008-09-16,1.9971
2008-09-17,2.0818
2008-09-18,2.0818
2008-09-19,1.8574000000000002
2008-09-22,1.9211
2008-09-23,1.9746000000000001
2008-09-24,1.9823
2008-09-25,1.9752999999999998
2008-09-26,2.0445
2008-09-29,2.24
2008-09-30,2.0246
2008-10-01,2.0283
2008-10-02,2.1739
2008-10-03,2.1832
2008-10-06,2.2293
2008-10-07,2.4232
2008-10-08,2.5282
2008-10-09,2.7632
2008-10-10,2.8473
2008-10-13,2.5986000000000002
2008-10-14,2.5755
2008-10-15,2.8155
2008-10-16,2.7885
2008-10-17,2.8798
2008-10-20,2.7672
2008-10-21,2.8209999999999997
2008-10-22,2.9073
2008-10-23,2.9897
2008-10-24,3.2787
2008-10-27,3.436
2008-10-28,3.1116
2008-10-29,3.2658
2008-10-30,3.1166
2008-10-31,2.9835000000000003
2008-11-03,2.916
2008-11-04,2.8543
2008-11-05,3.051
2008-11-06,3.4565
2008-11-07,3.2805
2008-11-10,3.625
2008-11-11,4.1047
2008-11-12,4.4275
2008-11-13,3.9031000000000002
2008-11-14,4.0
2008-11-17,4.1106
2008-11-18,3.9835000000000003
2008-11-19,4.1369
2008-11-20,4.4719
2008-11-21,3.9726
2008-11-24,3.8667
2008-11-25,3.7908
2008-11-26,3.6386
2008-11-28,3.5194
2008-12-01,3.8208
2008-12-02,3.7638
2008-12-03,3.4259
2008-12-04,3.6025
2008-12-05,3.3584
2008-12-08,3.2843
2008-12-09,3.4198
2008-12-10,3.436
2008-12-11,3.6524
2008-12-12,3.6115
2008-12-15,3.7371
2008-12-16,3.4877000000000002
2008-12-17,3.4919000000000002
2008-12-18,3.5258000000000003
2008-12-19,3.6896
2008-12-22,3.754
2008-12-23,3.8083
2008-12-24,3.8033
2008-12-26,3.8083
2008-12-29,3.8233
2008-12-30,3.6318
2008-12-31,3.578
2009-01-02,3.3662
2009-01-05,3.4198
2009-01-06,3.3048
2009-01-07,3.3143000000000002
2009-01-08,3.4018
2009-01-09,3.5461
2009-01-12,3.5315
2009-01-13,3.7453
2009-01-14,3.95
2009-01-15,3.7831
2009-01-16,3.7927
2009-01-20,3.9814
2009-01-21,3.8510999999999997
2009-01-22,3.8536
2009-01-23,3.8363
2009-01-26,3.8834999999999997
2009-01-27,3.8119
2009-01-28,3.9867
2009-01-29,4.065
2009-01-30,4.2373
2009-02-02,4.37
2009-02-03,4.3541
2009-02-04,4.2949
2009-02-05,4.187
2009-02-06,4.0623
2009-02-09,4.1012
2009-02-10,4.3541
2009-02-11,4.3165
2009-02-12,4.3764
2009-02-13,4.3321
2009-02-17,4.6875
2009-02-18,4.886
2009-02-19,5.1858
2009-02-20,5.4496
2009-02-23,5.9113
2009-02-24,5.6444
2009-02-25,5.8027
2009-02-26,6.1538
2009-02-27,6.3291
2009-03-02,6.7039
2009-03-03,6.7644
2009-03-04,6.5934
2009-03-05,7.5094
2009-03-06,7.6142
2009-03-09,8.0645
2009-03-10,7.2202
2009-03-11,6.9204
2009-03-12,6.6152
2009-03-13,6.3091
2009-03-16,6.4033999999999995
2009-03-17,6.5217
2009-03-18,6.0545
2009-03-19,5.6872
2009-03-20,5.7971
2009-03-23,5.425
2009-03-24,5.5969999999999995
2009-03-25,5.4595
2009-03-26,4.9423
2009-03-27,5.0083
2009-03-30,5.6926
2009-03-31,5.4348
2009-04-01,5.3571
2009-04-02,4.6765
2009-04-03,4.6802
2009-04-06,4.7733
2009-04-07,5.0167
2009-04-08,4.882
2009-04-09,4.62
2009-04-13,4.7437000000000005
2009-04-14,4.7077
2009-04-15,4.7692
2009-04-16,4.3448
2009-04-17,3.8201
2009-04-20,4.1472
2009-04-21,3.9617
2009-04-22,3.8653
2009-04-23,3.8533
2009-04-24,3.6364
2009-04-27,3.6949
2009-04-28,3.673
2009-04-29,3.4676
2009-04-30,3.555
2009-05-01,3.4949
2009-05-04,3.3423
2009-05-05,3.3806
2009-05-06,3.4179
2009-05-07,3.5286999999999997
2009-05-08,3.454
2009-05-11,3.551
2009-05-12,3.4734
2009-05-13,3.8084
2009-05-14,3.6279
2009-05-15,3.6905
2009-05-18,3.5469
2009-05-19,3.5008
2009-05-20,3.5388
2009-05-21,3.6795
2009-05-22,3.6773
2009-05-26,3.5286999999999997
2009-05-27,3.5612
2009-05-28,3.5591
2009-05-29,3.5694
2009-06-01,3.2891
2009-06-02,3.3423
2009-06-03,3.2996
2009-06-04,3.0407
2009-06-05,3.1219
2009-06-08,3.1297
2009-06-09,3.1062
2009-06-10,3.1219
2009-06-11,3.0923
2009-06-12,3.1203
2009-06-15,3.2191
2009-06-16,3.1031
2009-06-17,3.1536
2009-06-18,3.0527
2009-06-19,3.0663
2009-06-22,3.2478
2009-06-23,3.3351
2009-06-24,3.4066
2009-06-25,3.4444
2009-06-26,3.3787
2009-06-29,3.355
2009-06-30,3.3351
2009-07-01,3.3568
2009-07-02,3.4734
2009-07-06,3.6492
2009-07-07,3.717
2009-07-08,3.7104
2009-07-09,3.7037
2009-07-10,3.717
2009-07-13,3.6428000000000003
2009-07-14,3.5838
2009-07-15,3.3067
2009-07-16,3.2874
2009-07-17,3.3031
2009-07-20,3.2041
2009-07-21,3.2025
2009-07-22,3.1844
2009-07-23,3.0557
2009-07-24,3.0244
2009-07-27,2.9981
2009-07-28,3.001
2009-07-29,2.9273
2009-07-30,2.8704
2009-07-31,2.8878
2009-08-03,2.808
2009-08-04,2.7903000000000002
2009-08-05,2.8207
2009-08-06,2.8585000000000003
2009-08-07,2.7853
2009-08-10,2.784
2009-08-11,2.7853
2009-08-12,2.7217000000000002
2009-08-13,2.6621
2009-08-14,2.7265
2009-08-17,2.7828
2009-08-18,2.7325
2009-08-19,2.6759
2009-08-20,2.6518
2009-08-21,2.6327
2009-08-24,2.6439
2009-08-25,2.6394
2009-08-26,2.6587
2009-08-27,2.6654999999999998
2009-08-28,2.6473
2009-08-31,2.7169
2009-09-01,2.1838
2009-09-02,2.2222
2009-09-03,2.1371
2009-09-04,2.0933
2009-09-08,2.0672
