Date,EQY_DVD_YLD_12M
2006-01-03,2.0032
2006-01-04,1.9839
2006-01-05,1.9616
2006-01-06,1.9395
2006-01-09,1.9213
2006-01-10,1.9304000000000001
2006-01-11,1.9055
2006-01-12,1.9028
2006-01-13,1.8843999999999999
2006-01-17,1.8702999999999999
2006-01-18,1.8734
2006-01-19,1.8251
2006-01-20,1.8599999999999999
2006-01-23,1.8808
2006-01-24,1.867
2006-01-25,1.877
2006-01-26,1.881
2006-01-27,1.881
2006-01-30,1.8385
2006-01-31,1.8126
2006-02-01,1.7972000000000001
2006-02-02,1.8171
2006-02-03,1.8227
2006-02-06,1.7883
2006-02-07,1.8066
2006-02-08,1.8007
2006-02-09,1.7795
2006-02-10,1.7846
2006-02-13,1.7981
2006-02-14,1.7917999999999998
2006-02-15,1.8011
2006-02-16,1.7894
2006-02-17,1.7892000000000001
2006-02-21,1.7788
2006-02-22,1.7548
2006-02-23,1.7734999999999999
2006-02-24,1.7606000000000002
2006-02-27,1.75
2006-02-28,1.7682
2006-03-01,1.7831000000000001
2006-03-02,1.8003
2006-03-03,1.7759
2006-03-06,1.7883
2006-03-07,1.7959
2006-03-08,1.7929
2006-03-09,1.7851
2006-03-10,1.7844
2006-03-13,1.7788
2006-03-14,1.7469000000000001
2006-03-15,1.7504
2006-03-16,1.7438
2006-03-17,1.7465000000000002
2006-03-20,1.7671999999999999
2006-03-21,1.7633999999999999
2006-03-22,1.7433999999999998
2006-03-23,1.7438
2006-03-24,1.732
2006-03-27,1.7096
2006-03-28,1.7082000000000002
2006-03-29,1.7041
2006-03-30,1.7072
2006-03-31,1.7031
2006-04-03,1.7031
2006-04-04,1.7134
2006-04-05,1.7092
2006-04-06,1.7215
2006-04-07,1.7248999999999999
2006-04-10,1.7389000000000001
2006-04-11,1.7532999999999999
2006-04-12,1.7346
2006-04-13,1.7353
2006-04-17,1.734
2006-04-18,1.712
2006-04-19,1.6918
2006-04-20,1.6031
2006-04-21,1.5809
2006-04-24,1.5735000000000001
2006-04-25,1.5887
2006-04-26,1.5983
2006-04-27,1.6193
2006-04-28,1.6183999999999998
2006-05-01,1.5937999999999999
2006-05-02,1.5773000000000001
2006-05-03,1.5768
2006-05-04,1.5574
2006-05-05,1.5497
2006-05-08,1.553
2006-05-09,1.5625
2006-05-10,1.5697999999999999
2006-05-11,1.6047
2006-05-12,1.6171
2006-05-15,1.6257000000000001
2006-05-16,1.6263999999999998
2006-05-17,1.6674
2006-05-18,1.6957
2006-05-19,1.6881
2006-05-22,1.7269999999999999
2006-05-23,1.6851
2006-05-24,1.6665
2006-05-25,1.6446
2006-05-26,1.645
2006-05-30,1.6714
2006-05-31,1.6618
2006-06-01,1.6629
2006-06-02,1.6707999999999998
2006-06-05,1.6862
2006-06-06,1.7208999999999999
2006-06-07,1.7348
2006-06-08,1.7504
2006-06-09,1.7654999999999998
2006-06-12,1.7898
2006-06-13,1.7993999999999999
2006-06-14,1.7521
2006-06-15,1.7021
2006-06-16,1.7155
2006-06-19,1.749
2006-06-20,1.7610999999999999
2006-06-21,1.7431999999999999
2006-06-22,1.7185000000000001
2006-06-23,1.6905000000000001
