Date,EQY_DVD_YLD_12M
2006-01-03,1.0239
2006-01-04,1.0183
2006-01-05,1.0108
2006-01-06,0.9631
2006-01-09,0.9659
2006-01-10,0.9872
2006-01-11,0.9791
2006-01-12,0.9807
2006-01-13,0.993
2006-01-17,0.9728
2006-01-18,0.9681
2006-01-19,0.9649
2006-01-20,0.9618
2006-01-23,0.9762
2006-01-24,0.9807
2006-01-25,0.9687
2006-01-26,0.9609
2006-01-27,0.9545
2006-01-30,0.9545
2006-01-31,0.9515
2006-02-01,0.9458
2006-02-02,0.9476
2006-02-03,0.9533
2006-02-06,0.9378
2006-02-07,0.9291
2006-02-08,0.9248
2006-02-09,0.9452
2006-02-10,0.9384
2006-02-13,0.9323
2006-02-14,0.9407
2006-02-15,0.9271
2006-02-16,0.9138
2006-02-17,0.9174
2006-02-21,0.9276
2006-02-22,0.9248
2006-02-23,0.9262
2006-02-24,0.9259
2006-02-27,0.9107
2006-02-28,0.9186
2006-03-01,0.9194
2006-03-02,0.9202
2006-03-03,0.9225
2006-03-06,0.9268
2006-03-07,0.941
2006-03-08,0.9515
2006-03-09,0.9545
2006-03-10,0.9506
2006-03-13,0.9509
2006-03-14,0.9473
2006-03-15,0.9407
2006-03-16,0.9422
2006-03-17,0.9521
2006-03-20,0.9542
2006-03-21,0.9398
2006-03-22,0.9274
2006-03-23,0.9328
2006-03-24,0.9524
2006-03-27,0.9734
2006-03-28,0.9709
2006-03-29,1.0306
2006-03-30,0.998
2006-03-31,0.9977
2006-04-03,1.003
2006-04-04,0.9885
2006-04-05,1.0101
2006-04-06,1.0204
2006-04-07,1.0334
2006-04-10,1.0341
2006-04-11,1.0435
2006-04-12,1.0208
2006-04-13,1.0173
2006-04-17,1.0108
2006-04-18,0.981
2006-04-19,0.9934
2006-04-20,0.9947
2006-04-21,0.9997
2006-04-24,1.0098
2006-04-25,1.0118
2006-04-26,1.0135
2006-04-27,1.0104
2006-04-28,1.032
2006-05-01,1.018
2006-05-02,1.0187
2006-05-03,1.0218
2006-05-04,1.0221
2006-05-05,1.0187
2006-05-08,1.0169
2006-05-09,1.0201
2006-05-10,1.0169
2006-05-11,1.0128
2006-05-12,1.0285
2006-05-15,1.0395
2006-05-16,1.0356
2006-05-17,1.0468
2006-05-18,1.0815
2006-05-19,1.0838
2006-05-22,1.1005
2006-05-23,1.0965
2006-05-24,1.0772
2006-05-25,1.0707
2006-05-26,1.0733
2006-05-30,1.0826
2006-05-31,1.0657
2006-06-01,1.0684
2006-06-02,1.0757
2006-06-05,1.0921
2006-06-06,1.0933
2006-06-07,1.1099
2006-06-08,1.1095
2006-06-09,1.1086
2006-06-12,1.1274
2006-06-13,1.1538
2006-06-14,1.1547
2006-06-15,1.1437
2006-06-16,1.1637
2006-06-19,1.1547
2006-06-20,1.1411
2006-06-21,1.0993
2006-06-22,1.1173
2006-06-23,1.107
2006-06-26,1.1005
2006-06-27,1.1091
2006-06-28,1.0929
2006-06-29,1.0676
2006-06-30,1.0593
2006-07-03,1.053
2006-07-05,1.0549
2006-07-06,1.0623
2006-07-07,1.0714
2006-07-10,1.0726
2006-07-11,1.0834
2006-07-12,1.0623
2006-07-13,1.0695000000000001
2006-07-14,1.0575
2006-07-17,1.0672
2006-07-18,1.0718
2006-07-19,1.0377
