Date,EQY_DVD_YLD_12M
2006-01-03,1.7641
2006-01-04,1.732
2006-01-05,1.7409
2006-01-06,1.7417
2006-01-09,1.6999
2006-01-10,1.7266
2006-01-11,1.7050999999999998
2006-01-12,1.7379
2006-01-13,1.7689
2006-01-17,1.8111000000000002
2006-01-18,1.8258999999999999
2006-01-19,1.8047
2006-01-20,1.8457
2006-01-23,1.8377
2006-01-24,1.7938
2006-01-25,1.7907
2006-01-26,1.8719000000000001
2006-01-27,1.8311
2006-01-30,1.7992
2006-01-31,1.8185
2006-02-01,1.8093
2006-02-02,1.7988
2006-02-03,1.8042
2006-02-06,1.8138999999999998
2006-02-07,1.8380999999999998
2006-02-08,1.8300999999999998
2006-02-09,1.8486
2006-02-10,1.94
2006-02-13,1.9529999999999998
2006-02-14,1.8963
2006-02-15,1.8757000000000001
2006-02-16,1.8622999999999998
2006-02-17,1.8573
2006-02-21,1.8537
2006-02-22,1.8197999999999999
2006-02-23,1.7961
2006-02-24,1.8
2006-02-27,1.8107
2006-02-28,1.8473000000000002
2006-03-01,1.8064
2006-03-02,1.83
2006-03-03,1.8286
2006-03-06,1.8532
2006-03-07,1.8378999999999999
2006-03-08,1.8353000000000002
2006-03-09,1.8628
2006-03-10,1.8207
2006-03-13,1.8348
2006-03-14,1.8012000000000001
2006-03-15,1.7851
2006-03-16,1.778
2006-03-17,1.7619
2006-03-20,1.7598
2006-03-21,1.7944
2006-03-22,1.7644
2006-03-23,1.7877
2006-03-24,1.7445
2006-03-27,1.7397
2006-03-28,1.7365
2006-03-29,1.7648000000000001
2006-03-30,1.7978
2006-03-31,1.8136999999999999
2006-04-03,1.8043
2006-04-04,1.7705
2006-04-05,1.7457
2006-04-06,1.7627000000000002
2006-04-07,1.7713999999999999
2006-04-10,1.7675999999999998
2006-04-11,1.8004
2006-04-12,1.7656
2006-04-13,1.791
2006-04-17,1.7822
2006-04-18,1.701
2006-04-19,1.6907999999999999
2006-04-20,1.6714
2006-04-21,1.7223000000000002
2006-04-24,1.7469000000000001
2006-04-25,1.7738
2006-04-26,1.6995
2006-04-27,1.7210999999999999
2006-04-28,1.7325
2006-05-01,1.7033
2006-05-02,1.6659000000000002
2006-05-03,1.6364
2006-05-04,1.6141
2006-05-05,1.612
2006-05-08,1.5974
2006-05-09,1.612
2006-05-10,1.592
2006-05-11,1.5914000000000001
2006-05-12,1.7122000000000002
2006-05-15,1.7133
2006-05-16,1.7203
2006-05-17,1.7541
2006-05-18,1.7833999999999999
2006-05-19,1.7846
2006-05-22,1.8096
2006-05-23,1.8026
2006-05-24,1.7930000000000001
2006-05-25,1.7708
2006-05-26,1.7610999999999999
2006-05-30,1.8165
2006-05-31,1.8386
2006-06-01,1.8083
2006-06-02,1.8112
2006-06-05,1.8742999999999999
2006-06-06,1.8955
2006-06-07,1.9576
2006-06-08,1.9862
2006-06-09,1.9725000000000001
2006-06-12,2.0315
2006-06-13,2.0273
2006-06-14,2.001
2006-06-15,1.9302000000000001
2006-06-16,1.9438
2006-06-19,1.9438
2006-06-20,1.9499
2006-06-21,1.9466
2006-06-22,1.9735
2006-06-23,1.9527999999999999
2006-06-26,1.9214
2006-06-27,1.9527999999999999
2006-06-28,1.9256
2006-06-29,1.8664
2006-06-30,1.8742999999999999
2006-07-03,1.8538999999999999
2006-07-05,1.8946
2006-07-06,1.9205
2006-07-07,1.9748999999999999
2006-07-10,1.9754
2006-07-11,1.9969999999999999
2006-07-12,2.0121
2006-07-13,2.0826000000000002
2006-07-14,2.1525
2006-07-17,2.1712
2006-07-18,2.1747
2006-07-19,2.1145
2006-07-20,2.1931
2006-07-21,2.2236
2006-07-24,2.186
2006-07-25,2.1824
2006-07-26,2.1986
2006-07-27,2.2089
2006-07-28,2.2359999999999998
2006-07-31,2.2397
2006-08-01,2.2721
2006-08-02,2.2064
2006-08-03,2.1117
2006-08-04,2.1117
2006-08-07,2.1173
2006-08-08,2.1319
2006-08-09,2.1812
2006-08-10,2.1595
2006-08-11,2.2354
2006-08-14,2.2861000000000002
2006-08-15,2.2288
2006-08-16,2.1361
2006-08-17,2.1483
2006-08-18,2.1235
2006-08-21,2.1731
2006-08-22,2.155
2006-08-23,2.2192
2006-08-24,2.2222
2006-08-25,2.2186
2006-08-28,2.2091
2006-08-29,2.1933
2006-08-30,2.2121
2006-08-31,2.1748
2006-09-01,2.1422
2006-09-05,2.1191
2006-09-06,2.1388
2006-09-07,2.1623
2006-09-08,2.1561
2006-09-11,2.2198
2006-09-12,2.2073
2006-09-13,2.1477
2006-09-14,2.1416
2006-09-15,2.1455
2006-09-18,2.13
