Date,EQY_DVD_YLD_12M
2006-01-03,1.8444
2006-01-04,1.8524
2006-01-05,1.8627
2006-01-06,1.8354
2006-01-09,1.8254000000000001
2006-01-10,1.8439
2006-01-11,1.8357
2006-01-12,1.8856000000000002
2006-01-13,1.9062000000000001
2006-01-17,1.9231
2006-01-18,1.9013
2006-01-19,1.8759000000000001
2006-01-20,1.9112
2006-01-23,1.8848
2006-01-24,1.8723
2006-01-25,1.892
2006-01-26,1.8925999999999998
2006-01-27,1.8549
2006-01-30,1.8669
2006-01-31,1.8731
2006-02-01,1.8655
2006-02-02,1.9300000000000002
2006-02-03,1.9234
2006-02-06,1.9207999999999998
2006-02-07,1.9251
2006-02-08,1.9188
2006-02-09,1.9285999999999999
2006-02-10,1.9133
2006-02-13,1.9205
2006-02-14,1.8524
2006-02-15,1.8667
2006-02-16,1.8545
2006-02-17,1.8457
2006-02-21,1.8740999999999999
2006-02-22,1.8322
2006-02-23,1.8195000000000001
2006-02-24,1.8082
2006-02-27,1.8164
2006-02-28,1.8372000000000002
2006-03-01,1.8028
2006-03-02,1.8169
2006-03-03,1.8203
2006-03-06,1.8457
2006-03-07,1.8441
2006-03-08,1.8537
2006-03-09,1.8755
2006-03-10,1.847
2006-03-13,1.8618000000000001
2006-03-14,1.8112
2006-03-15,1.7837
2006-03-16,1.784
2006-03-17,1.7795
2006-03-20,1.7854999999999999
2006-03-21,1.8026
2006-03-22,1.782
2006-03-23,1.7997999999999998
2006-03-24,1.8043
2006-03-27,1.7962
2006-03-28,1.7974999999999999
2006-03-29,1.7812000000000001
2006-03-30,1.7465000000000002
2006-03-31,1.7541
2006-04-03,1.7351
2006-04-04,1.7250999999999999
2006-04-05,1.7207
2006-04-06,1.7549000000000001
2006-04-07,1.7389000000000001
2006-04-10,1.7187999999999999
2006-04-11,1.7321
2006-04-12,1.7255
2006-04-13,1.7154
2006-04-17,1.6844000000000001
2006-04-18,1.645
2006-04-19,1.6491
2006-04-20,1.6474
2006-04-21,1.6591
2006-04-24,1.6697
2006-04-25,1.6721
2006-04-26,1.6587
2006-04-27,1.6707999999999998
2006-04-28,1.6699000000000002
2006-05-01,1.6632
2006-05-02,1.6548
2006-05-03,1.6535
2006-05-04,1.696
2006-05-05,1.6901000000000002
2006-05-08,1.6958
2006-05-09,1.6945000000000001
2006-05-10,1.6884000000000001
2006-05-11,1.6732
2006-05-12,1.7227999999999999
2006-05-15,1.7174
2006-05-16,1.6914
2006-05-17,1.7305000000000001
2006-05-18,1.7450999999999999
2006-05-19,1.7426
2006-05-22,1.7826
2006-05-23,1.7856999999999998
2006-05-24,1.808
2006-05-25,1.7811
2006-05-26,1.7635
2006-05-30,1.8065
2006-05-31,1.7949000000000002
2006-06-01,1.7723
2006-06-02,1.7706
2006-06-05,1.8138999999999998
2006-06-06,1.8359
2006-06-07,1.8555000000000001
2006-06-08,1.8718
2006-06-09,1.8643999999999998
2006-06-12,1.8911
2006-06-13,1.8898000000000001
2006-06-14,1.8657
2006-06-15,1.8207
2006-06-16,1.8222
2006-06-19,1.8372000000000002
2006-06-20,1.8218999999999999
2006-06-21,1.7826
2006-06-22,1.8109
2006-06-23,1.8159
2006-06-26,1.8085
2006-06-27,1.804
2006-06-28,1.803
2006-06-29,1.7558
2006-06-30,1.7507000000000001
2006-07-03,1.7633
2006-07-05,1.7742
2006-07-06,1.7862
2006-07-07,1.8218999999999999
2006-07-10,1.8077
2006-07-11,1.8247
2006-07-12,1.8584
2006-07-13,1.9072
2006-07-14,1.9398
2006-07-17,2.0289
2006-07-18,1.99
2006-07-19,1.9769
2006-07-20,2.0292
2006-07-21,2.0648
2006-07-24,2.0342
2006-07-25,2.0283
2006-07-26,2.0427
2006-07-27,2.0729
2006-07-28,2.0336
2006-07-31,2.0593
2006-08-01,2.0751
2006-08-02,2.0506
2006-08-03,2.1469
2006-08-04,2.1558
2006-08-07,2.1665
2006-08-08,2.1776
2006-08-09,2.202
2006-08-10,2.1773
2006-08-11,2.1705
2006-08-14,2.2222
2006-08-15,2.1479
2006-08-16,2.1142
2006-08-17,2.0643
2006-08-18,2.0802
2006-08-21,2.1072
2006-08-22,2.1116
2006-08-23,2.1368
2006-08-24,2.1302
2006-08-25,2.1433
2006-08-28,2.1241
2006-08-29,2.1312
2006-08-30,2.1154
2006-08-31,2.1053
2006-09-01,2.064
2006-09-05,2.0516
2006-09-06,2.093
2006-09-07,2.1244
2006-09-08,2.1065
2006-09-11,2.1021
2006-09-12,2.0722
2006-09-13,2.0185
2006-09-14,2.0325
2006-09-15,2.0275
2006-09-18,2.0287
2006-09-19,2.0387
2006-09-20,2.0103
2006-09-21,2.0591
2006-09-22,2.0768
2006-09-25,2.0631
2006-09-26,2.019
2006-09-27,2.0225
2006-09-28,1.992
2006-09-29,2.0334
2006-10-02,2.0077
2006-10-03,2.0135
2006-10-04,2.0086
2006-10-05,1.9858
2006-10-06,1.9867
2006-10-09,1.9891999999999999
2006-10-10,1.9668
2006-10-11,1.9512
2006-10-12,1.9526
2006-10-13,1.9915
2006-10-16,1.8531
2006-10-17,1.881
2006-10-18,1.8978000000000002
2006-10-19,1.9058000000000002
2006-10-20,1.9334
2006-10-23,1.9146999999999998
2006-10-24,1.9001000000000001
2006-10-25,1.8947
2006-10-26,1.8929
2006-10-27,1.9181
2006-10-30,1.9329
2006-10-31,1.9329
2006-11-01,1.96
2006-11-02,2.0627
2006-11-03,2.0717
2006-11-06,2.023
2006-11-07,2.0227
2006-11-08,2.0101
2006-11-09,2.0111
2006-11-10,1.9786000000000001
2006-11-13,1.9768
2006-11-14,1.966
2006-11-15,1.9525000000000001
2006-11-16,1.9595
2006-11-17,1.9577
2006-11-20,1.9369
2006-11-21,1.9384000000000001
2006-11-22,1.9321000000000002
2006-11-24,1.9341
2006-11-27,1.9564
2006-11-28,1.9676
2006-11-29,1.9487
2006-11-30,1.9201000000000001
2006-12-01,1.9261
2006-12-04,1.8965
2006-12-05,1.9035
2006-12-06,1.8948
2006-12-07,1.8931
2006-12-08,1.8881999999999999
2006-12-11,1.9216
2006-12-12,1.9223
2006-12-13,1.9216
2006-12-14,1.9001000000000001
2006-12-15,1.9786000000000001
2006-12-18,1.9733
2006-12-19,1.9579
2006-12-20,1.9433
2006-12-21,1.9644
2006-12-22,1.9876
2006-12-26,1.9823
2006-12-27,1.9621
2006-12-28,1.9525000000000001
2006-12-29,1.9697
2007-01-03,1.9683000000000002
2007-01-04,1.9665
2007-01-05,1.9834
2007-01-08,1.9844
2007-01-09,1.9941
2007-01-10,1.9933
2007-01-11,1.9925000000000002
2007-01-12,1.986
2007-01-16,1.9694
2007-01-17,1.9263
2007-01-18,1.9386999999999999
2007-01-19,1.9060000000000001
2007-01-22,2.0054
2007-01-23,1.9456
2007-01-24,1.9497
2007-01-25,1.9736
2007-01-26,1.9564
2007-01-29,1.9409999999999998
2007-01-30,1.9231
2007-01-31,1.889
2007-02-01,1.9910999999999999
2007-02-02,1.9842
2007-02-05,1.9792
2007-02-06,1.9971999999999999
2007-02-07,1.9862
2007-02-08,2.0046
2007-02-09,2.0147
2007-02-12,2.0202
2007-02-13,1.9992
2007-02-14,1.9689999999999999
2007-02-15,1.9522
2007-02-16,1.9628
2007-02-20,1.9586000000000001
2007-02-21,1.9312
2007-02-22,1.8716
2007-02-23,1.8563
2007-02-26,1.8702999999999999
2007-02-27,1.9498
2007-02-28,1.9259
2007-03-01,1.9257
2007-03-02,1.9566
2007-03-05,1.9651999999999998
2007-03-06,1.9285
2007-03-07,1.929
2007-03-08,1.9125
2007-03-09,1.8788
2007-03-12,1.8893
2007-03-13,1.9202
2007-03-14,1.8888
2007-03-15,1.899
2007-03-16,1.8904999999999998
2007-03-19,1.8591
2007-03-20,1.8662999999999998
2007-03-21,1.8494000000000002
2007-03-22,1.8357
2007-03-23,1.8239
2007-03-26,1.8334000000000001
2007-03-27,1.8563
2007-03-28,1.8605
2007-03-29,1.8811
2007-03-30,1.8669
2007-04-02,1.8605
2007-04-03,1.8407
2007-04-04,1.8383
2007-04-05,1.8258
2007-04-09,1.8243
2007-04-10,1.8368
2007-04-11,1.8549
2007-04-12,1.8385
2007-04-13,1.8317999999999999
2007-04-16,1.7829000000000002
2007-04-17,1.7972000000000001
2007-04-18,1.8035
2007-04-19,1.8096999999999999
2007-04-20,1.7917
2007-04-23,1.7758
2007-04-24,1.7711000000000001
2007-04-25,1.7647
2007-04-26,1.7601
2007-04-27,1.7219
2007-04-30,1.7487
2007-05-01,1.7401
2007-05-02,1.7133
2007-05-03,1.8075999999999999
2007-05-04,1.8102
2007-05-07,1.8112
2007-05-08,1.803
2007-05-09,1.7986
2007-05-10,1.8148
2007-05-11,1.8024
2007-05-14,1.7892000000000001
2007-05-15,1.7884
2007-05-16,1.7845
2007-05-17,1.7904
2007-05-18,1.7749000000000001
2007-05-21,1.7766
2007-05-22,1.7927
2007-05-23,1.8016
2007-05-24,1.7933
2007-05-25,1.7732
2007-05-29,1.7627000000000002
2007-05-30,1.7530999999999999
2007-05-31,1.7495
2007-06-01,1.7538
2007-06-04,1.7597
2007-06-05,1.7673999999999999
2007-06-06,1.8117999999999999
2007-06-07,1.8599999999999999
2007-06-08,1.8399999999999999
2007-06-11,1.8378999999999999
2007-06-12,1.8002
2007-06-13,1.7661
2007-06-14,1.7501
2007-06-15,1.7425000000000002
2007-06-18,1.7484
2007-06-19,1.7419
2007-06-20,1.7431999999999999
2007-06-21,1.7441
2007-06-22,1.7644
2007-06-25,1.7782
2007-06-26,1.7882
2007-06-27,1.7896
2007-06-28,1.7713999999999999
2007-06-29,1.7633999999999999
2007-07-02,1.7327
2007-07-03,1.7372999999999998
2007-07-05,1.7391
2007-07-06,1.7362
2007-07-09,1.6921
2007-07-10,1.7322
2007-07-11,1.7216
2007-07-12,1.6667999999999998
2007-07-13,1.6718
2007-07-16,1.6259000000000001
2007-07-17,1.6078000000000001
2007-07-18,1.6042
2007-07-19,1.6059999999999999
2007-07-20,1.6309
2007-07-23,1.5992
2007-07-24,1.6261999999999999
2007-07-25,1.6514
2007-07-26,1.6829
2007-07-27,1.7323
2007-07-30,1.6713
2007-07-31,1.6876
2007-08-01,1.6606
2007-08-02,1.6869
2007-08-03,1.7366000000000001
2007-08-06,1.7252
2007-08-07,1.7649
2007-08-08,1.7936999999999999
2007-08-09,1.9428999999999998
2007-08-10,1.7978
2007-08-13,1.8065
2007-08-14,1.8731
2007-08-15,1.9144999999999999
2007-08-16,1.9737
2007-08-17,1.8638
2007-08-20,1.8549
2007-08-21,1.8555000000000001
2007-08-22,1.7995
2007-08-23,1.8329
2007-08-24,1.7759
2007-08-27,1.7901
2007-08-28,1.8598
2007-08-29,1.7924
2007-08-30,1.8105
2007-08-31,1.7831000000000001
2007-09-04,1.7751000000000001
2007-09-05,1.8138999999999998
2007-09-06,1.7755
2007-09-07,1.8385
2007-09-10,1.8735
2007-09-11,1.8492
2007-09-12,1.8260999999999998
2007-09-13,1.8311
2007-09-14,1.8155999999999999
2007-09-17,1.8349
2007-09-18,1.7328999999999999
2007-09-19,1.678
2007-09-20,1.7077
2007-09-21,1.7001
2007-09-24,1.7257
2007-09-25,1.7449
2007-09-26,1.7391
2007-09-27,1.7078
2007-09-28,1.6963
2007-10-01,1.6686999999999999
2007-10-02,1.6591
2007-10-03,1.6698
2007-10-04,1.6846999999999999
2007-10-05,1.6657
2007-10-08,1.6653
2007-10-09,1.6673
2007-10-10,1.697
2007-10-11,1.7263
2007-10-12,1.7427000000000001
2007-10-15,1.8056999999999999
2007-10-16,1.7548
2007-10-17,1.756
2007-10-18,1.7581
2007-10-19,1.8178
2007-10-22,1.8241
2007-10-23,1.8235000000000001
2007-10-24,1.7931
2007-10-25,1.8327
2007-10-26,1.8164
2007-10-29,1.8016
2007-10-30,1.8383
2007-10-31,1.8146
2007-11-01,1.9081000000000001
2007-11-02,1.8936
2007-11-05,1.9101
2007-11-06,1.8675000000000002
2007-11-07,1.9565000000000001
2007-11-08,1.8812
2007-11-09,1.9435
2007-11-12,2.0058
2007-11-13,1.9302000000000001
2007-11-14,1.9048
2007-11-15,1.9444
2007-11-16,1.9684
2007-11-19,2.0166
2007-11-20,1.9607999999999999
2007-11-21,1.9797
2007-11-23,1.9554
2007-11-26,1.9944
2007-11-27,1.9641
2007-11-28,1.9122
2007-11-29,1.9413
2007-11-30,1.9259
2007-12-03,1.9501
2007-12-04,1.927
2007-12-05,1.8749
2007-12-06,1.8026
2007-12-07,1.8174000000000001
2007-12-10,1.7963
2007-12-11,1.8609
2007-12-12,1.8595000000000002
2007-12-13,1.8777
2007-12-14,1.9192
2007-12-17,1.9426
2007-12-18,1.9302000000000001
2007-12-19,1.9235
2007-12-20,1.8128
2007-12-21,1.7302
2007-12-24,1.7564
2007-12-26,1.7344
2007-12-27,1.7582
2007-12-28,1.7601
2007-12-31,1.7741
2008-01-02,1.8364
2008-01-03,1.7883
2008-01-04,1.8671
2008-01-07,1.8451
2008-01-08,1.9521
2008-01-09,1.9393
2008-01-10,1.9506000000000001
2008-01-11,1.9990999999999999
2008-01-14,1.9315
2008-01-15,1.9937
2008-01-16,2.0386
2008-01-17,2.1364
2008-01-18,2.1214
2008-01-22,2.1185
2008-01-23,2.0978
2008-01-24,2.1159
2008-01-25,2.0793
2008-01-28,2.0879
2008-01-29,2.0859
2008-01-30,2.1076
2008-01-31,2.1673
2008-02-01,2.0809
2008-02-04,2.1113
2008-02-05,2.1872
2008-02-06,2.2261
2008-02-07,2.2272
2008-02-08,2.2242
2008-02-11,2.228
2008-02-12,2.2033
2008-02-13,2.17
2008-02-14,2.2189
2008-02-15,2.2595
2008-02-19,2.2684
2008-02-20,2.2707
2008-02-21,2.2465
2008-02-22,2.2222
2008-02-25,2.1538
2008-02-26,2.133
2008-02-27,2.1391
2008-02-28,2.1419
2008-02-29,2.22
2008-03-03,2.18
2008-03-04,2.1813
2008-03-05,2.1917
2008-03-06,2.2132
2008-03-07,2.2742
2008-03-10,2.3082
2008-03-11,2.2242
2008-03-12,2.1891
2008-03-13,2.1644
2008-03-14,2.1869
2008-03-17,2.2392
2008-03-18,2.1315
2008-03-19,2.2375
2008-03-20,2.2236
2008-03-24,2.1808
2008-03-25,2.1514
2008-03-26,2.1776
2008-03-27,2.2264
2008-03-28,2.2558
2008-03-31,2.2468
2008-04-01,2.1875
2008-04-02,2.2015000000000002
2008-04-03,2.2322
2008-04-04,2.1742
2008-04-07,2.1928
2008-04-08,2.2047
2008-04-09,2.2439999999999998
2008-04-10,2.2381
2008-04-11,2.2675
2008-04-14,2.2367
2008-04-15,2.1939
2008-04-16,2.0882
2008-04-17,2.1108
2008-04-18,1.9750999999999999
2008-04-21,2.0355
2008-04-22,2.1037
2008-04-23,2.1211
2008-04-24,2.0804
2008-04-25,2.0696
2008-04-28,2.0427
2008-04-29,2.0309
2008-04-30,2.0378
2008-05-01,2.0979
2008-05-02,2.0972
2008-05-05,2.1141
2008-05-06,2.112
2008-05-07,2.1678
2008-05-08,2.1458
2008-05-09,2.1714
2008-05-12,2.1323
2008-05-13,2.1294
2008-05-14,2.1036
2008-05-15,2.106
2008-05-16,2.1034
2008-05-19,2.0577
2008-05-20,2.0796
2008-05-21,2.0829
2008-05-22,2.0866
2008-05-23,2.1029
2008-05-27,2.084
2008-05-28,1.9942
2008-05-29,1.9733
2008-05-30,1.9239000000000002
2008-06-02,1.9365
2008-06-03,1.9581
2008-06-04,1.9689
2008-06-05,1.9237
2008-06-06,1.9921
2008-06-09,1.9472
2008-06-10,1.971
2008-06-11,2.0128
2008-06-12,1.9483000000000001
2008-06-13,1.9367
2008-06-16,1.9339
2008-06-17,1.9474
2008-06-18,1.9752
2008-06-19,1.9391
2008-06-20,1.9906000000000001
2008-06-23,2.0013
2008-06-24,2.044
2008-06-25,2.1005
2008-06-26,2.1844
2008-06-27,2.209
2008-06-30,2.189
2008-07-01,2.2056
2008-07-02,2.2628
2008-07-03,2.2353
2008-07-07,2.2622
2008-07-08,2.2334
2008-07-09,2.2989
2008-07-10,2.2842000000000002
2008-07-11,2.2983000000000002
2008-07-14,2.3282
2008-07-15,2.4977
2008-07-16,2.5351
2008-07-17,2.5108
2008-07-18,2.5507
2008-07-21,2.5985
2008-07-22,2.5396
2008-07-23,2.5289
2008-07-24,2.6447000000000003
2008-07-25,2.6197
2008-07-28,2.6925
2008-07-29,2.6579
2008-07-30,2.5623
2008-07-31,2.7168
2008-08-01,2.7794
2008-08-04,2.8155
2008-08-05,2.6948
2008-08-06,2.6824
2008-08-07,2.7069
2008-08-08,2.6566
2008-08-11,2.6039
2008-08-12,2.6489000000000003
2008-08-13,2.6612999999999998
2008-08-14,2.6558
2008-08-15,2.6250999999999998
2008-08-18,2.661
2008-08-19,2.6963
2008-08-20,2.6974
2008-08-21,2.7149
2008-08-22,2.6828
2008-08-25,2.7198
2008-08-26,2.7283
2008-08-27,2.7038
2008-08-28,2.6169000000000002
2008-08-29,2.6372999999999998
2008-09-02,2.6791
2008-09-03,2.6982
2008-09-04,2.7862
2008-09-05,2.7702
2008-09-08,2.7271
2008-09-09,2.8754
2008-09-10,2.7595
2008-09-11,2.7118
2008-09-12,2.7012
2008-09-15,2.8081
2008-09-16,2.8228999999999997
2008-09-17,2.9556
2008-09-18,2.8424
2008-09-19,2.7838000000000003
2008-09-22,2.9093
2008-09-23,3.0674
2008-09-24,3.2183
2008-09-25,3.2442
2008-09-26,3.3241
2008-09-29,3.5894
2008-09-30,3.4354
2008-10-01,3.5361000000000002
2008-10-02,3.7717
2008-10-03,3.9228
2008-10-06,4.0192
2008-10-07,4.0225
2008-10-08,3.9745
2008-10-09,4.0977
2008-10-10,4.0208
2008-10-13,3.7725
2008-10-14,3.9212
2008-10-15,4.4439
2008-10-16,4.2727
2008-10-17,4.3449
2008-10-20,4.268
2008-10-21,4.5898
2008-10-22,4.9487
2008-10-23,4.6845
2008-10-24,4.6228
2008-10-27,4.7855
2008-10-28,4.3537
2008-10-29,4.3342
2008-10-30,4.3057
2008-10-31,4.4484
2008-11-03,4.4209
2008-11-04,4.0404
2008-11-05,4.111
2008-11-06,4.4336
2008-11-07,4.5198
2008-11-10,4.5455
2008-11-11,4.6264
2008-11-12,5.0113
2008-11-13,4.697
2008-11-14,4.8603
2008-11-17,4.8391
2008-11-18,4.7585
2008-11-19,5.015
2008-11-20,5.1573
2008-11-21,4.7893
2008-11-24,4.5588999999999995
2008-11-25,4.4287
2008-11-26,4.3917
2008-11-28,4.3159
2008-12-01,4.7824
2008-12-02,4.6243
2008-12-03,4.6019
2008-12-04,4.8100000000000005
2008-12-05,4.6849
2008-12-08,4.345
2008-12-09,4.4218
2008-12-10,4.2355
2008-12-11,4.4454
2008-12-12,4.4944
2008-12-15,4.5548
2008-12-16,4.6555
2008-12-17,4.4954
2008-12-18,4.5465
2008-12-19,4.3889
2008-12-22,4.4346
2008-12-23,4.3898
2008-12-24,4.3002
2008-12-26,4.2535
2008-12-29,4.2553
2008-12-30,4.1597
2008-12-31,4.0233
2009-01-02,3.8595
2009-01-05,3.8521
2009-01-06,3.8234
2009-01-07,3.9936
2009-01-08,3.9293
2009-01-09,3.9864
2009-01-12,4.0445
2009-01-13,4.0683
2009-01-14,4.2159
2009-01-15,4.1068
2009-01-16,4.1186
2009-01-20,4.2553
2009-01-21,4.2373
2009-01-22,4.3601
2009-01-23,4.4121
2009-01-26,4.4893
2009-01-27,4.4043
2009-01-28,4.2735
2009-01-29,4.4199
2009-01-30,4.5434
2009-02-02,4.6598
2009-02-03,4.6664
2009-02-04,4.6243
2009-02-05,4.5882
2009-02-06,4.4573
2009-02-09,4.4435
2009-02-10,4.649
2009-02-11,4.5177
2009-02-12,4.5527
2009-02-13,4.5662
2009-02-17,4.7574
2009-02-18,4.7699
2009-02-19,4.9116
2009-02-20,4.9652
2009-02-23,5.2576
2009-02-24,5.034
2009-02-25,5.2002
2009-02-26,5.5142
2009-02-27,5.5325
2009-03-02,5.9827
2009-03-03,5.8156
2009-03-04,5.8962
2009-03-05,6.3072
2009-03-06,6.4288
2009-03-09,6.6072
2009-03-10,6.2305
2009-03-11,6.2364
2009-03-12,6.0241
2009-03-13,5.9506
2009-03-16,6.0459
2009-03-17,5.9102
2009-03-18,5.7061
2009-03-19,5.6625
2009-03-20,5.8617
2009-03-23,5.3836
2009-03-24,5.3462
2009-03-25,5.3149
2009-03-26,5.0774
2009-03-27,5.1414
2009-03-30,5.5233
2009-03-31,5.4259
2009-04-01,5.3333
2009-04-02,4.8309
2009-04-03,4.7608
2009-04-06,4.8263
2009-04-07,5.048
2009-04-08,4.9913
2009-04-09,4.5631
2009-04-13,4.7192
2009-04-14,4.7687
2009-04-15,4.7192
2009-04-16,4.6019
2009-04-17,4.4693
2009-04-20,4.948
2009-04-21,4.8146
2009-04-22,4.6815999999999995
2009-04-23,4.6795
2009-04-24,4.5455
2009-04-27,4.6458
2009-04-28,4.7517
2009-04-29,4.5055
2009-04-30,4.5662
2009-05-01,4.5851
2009-05-04,4.3716
2009-05-05,4.3735
2009-05-06,4.3706
2009-05-07,4.3792
2009-05-08,4.1938
2009-05-11,4.3318
2009-05-12,4.3356
2009-05-13,4.4663
2009-05-14,4.4573
2009-05-15,4.414
2009-05-18,4.3011
2009-05-19,4.315
2009-05-20,4.3169
2009-05-21,4.4934
2009-05-22,4.53
2009-05-26,4.364
2009-05-27,4.5443999999999996
2009-05-28,4.5872
2009-05-29,4.5977
2009-06-01,4.2409
2009-06-02,4.1451
2009-06-03,4.2382
2009-06-04,4.1771
2009-06-05,4.1606
2009-06-08,4.1118
2009-06-09,4.0883
2009-06-10,4.085
2009-06-11,4.1042
2009-06-12,4.0667
2009-06-15,4.249
2009-06-16,4.3159
2009-06-17,4.3601
2009-06-18,4.3754
2009-06-19,4.3889
2009-06-22,4.6243
2009-06-23,4.6718
2009-06-24,4.6371
2009-06-25,4.5218
2009-06-26,4.4267
2009-06-29,4.384
2009-06-30,4.4833
2009-07-01,4.417
2009-07-02,4.6522
2009-07-06,4.707
2009-07-07,4.8828
2009-07-08,4.8804
2009-07-09,4.8995999999999995
2009-07-10,4.8852
2009-07-13,4.7472
2009-07-14,4.6815999999999995
2009-07-15,4.5055
2009-07-16,4.4014
2009-07-17,4.4494
2009-07-20,4.0866
2009-07-21,4.0825
2009-07-22,4.0469
2009-07-23,3.951
2009-07-24,3.9063
2009-07-27,3.8175
2009-07-28,3.888
2009-07-29,3.9331
2009-07-30,3.8722
2009-07-31,3.8521
2009-08-03,3.7279
2009-08-04,3.7092
2009-08-05,3.7538
2009-08-06,3.7636
2009-08-07,3.6523
2009-08-10,3.6576
2009-08-11,3.7202
2009-08-12,3.6330999999999998
2009-08-13,3.6153
2009-08-14,3.6962
2009-08-17,3.838
2009-08-18,3.7376
2009-08-19,3.7453
2009-08-20,3.714
2009-08-21,3.6121
2009-08-24,3.6324
2009-08-25,3.5855
2009-08-26,3.6121
2009-08-27,3.601
2009-08-28,3.649
2009-08-31,3.7071
2009-09-01,3.7664999999999997
2009-09-02,3.7885999999999997
2009-09-03,3.7265
2009-09-04,3.6738
2009-09-08,3.6344
2009-09-09,3.5442
2009-09-10,3.4928
2009-09-11,3.4447
2009-09-14,3.4572
2009-09-15,3.3852
