Date,EQY_DVD_YLD_12M
2014-03-13,0.1493
2014-03-14,0.1501
2014-03-17,0.1511
2014-03-18,0.1502
2014-03-19,0.1502
2014-03-20,0.1477
2014-03-21,0.1487
2014-03-24,0.1496
2014-03-25,0.1503
2014-03-26,0.1537
2014-03-27,0.1555
2014-03-28,0.1534
2014-03-31,0.1533
2014-04-01,0.1484
2014-04-02,0.1463
2014-04-03,0.1456
2014-04-04,0.1489
2014-04-07,0.155
2014-04-08,0.1556
2014-04-09,0.1553
2014-04-10,0.1579
2014-04-11,0.16
2014-04-14,0.1607
2014-04-15,0.1601
2014-04-16,0.1593
2014-04-17,0.1595
2014-04-21,0.158
2014-04-22,0.1569
2014-04-23,0.1587
2014-04-24,0.1592
2014-04-25,0.1615
2014-04-28,0.1639
2014-04-29,0.1636
2014-04-30,0.1621
2014-05-01,0.1561
2014-05-02,0.1578
2014-05-05,0.1598
2014-05-06,0.1604
2014-05-07,0.1602
2014-05-08,0.1621
2014-05-09,0.16
2014-05-12,0.1585
2014-05-13,0.1585
2014-05-14,0.1607
2014-05-15,0.1657
2014-05-16,0.1623
2014-05-19,0.1593
2014-05-20,0.1584
2014-05-21,0.1578
2014-05-22,0.1554
2014-05-23,0.1525
2014-05-27,0.1525
2014-05-28,0.1511
2014-05-29,0.1495
2014-05-30,0.1527
2014-06-02,0.1536
2014-06-03,0.1526
2014-06-04,0.1505
2014-06-05,0.1473
2014-06-06,0.1433
2014-06-09,0.142
2014-06-10,0.141
2014-06-11,0.142
2014-06-12,0.2851
2014-06-13,0.2853
2014-06-16,0.2801
2014-06-17,0.2795
2014-06-18,0.279
2014-06-19,0.2794
2014-06-20,0.2777
2014-06-23,0.278
2014-06-24,0.2823
2014-06-25,0.2822
2014-06-26,0.2841
2014-06-27,0.2879
2014-06-30,0.2823
2014-07-01,0.2804
2014-07-02,0.2789
2014-07-03,0.2799
2014-07-07,0.2855
2014-07-08,0.2882
2014-07-09,0.2877
2014-07-10,0.2878
2014-07-11,0.2856
2014-07-14,0.2858
2014-07-15,0.2877
2014-07-16,0.2887
2014-07-17,0.2948
2014-07-18,0.2915
2014-07-21,0.2922
2014-07-22,0.2914
2014-07-23,0.2938
2014-07-24,0.2911
2014-07-25,0.2904
2014-07-28,0.2987
2014-07-29,0.3051
2014-07-30,0.2982
