Date,EQY_DVD_YLD_12M
2017-02-24,0.2853
2017-02-27,0.2843
2017-02-28,0.2859
2017-03-01,0.2854
2017-03-02,0.2858
2017-03-03,0.285
2017-03-06,0.2888
2017-03-07,0.2922
2017-03-08,0.2923
2017-03-09,0.2914
2017-03-10,0.2903
2017-03-13,0.2909
2017-03-14,0.2923
2017-03-15,0.2909
2017-03-16,0.2924
2017-03-17,0.2949
2017-03-20,0.2954
2017-03-21,0.2984
2017-03-22,0.2992
2017-03-23,0.2975
2017-03-24,0.2949
2017-03-27,0.2924
2017-03-28,0.291
2017-03-29,0.29
2017-03-30,0.2919
2017-03-31,0.293
2017-04-03,0.2945
2017-04-04,0.2936
2017-04-05,0.2944
2017-04-06,0.2937
2017-04-07,0.2931
2017-04-10,0.2915
2017-04-11,0.2928
2017-04-12,0.2943
2017-04-13,0.2943
2017-04-17,0.2964
2017-04-18,0.2987
2017-04-19,0.2962
2017-04-20,0.2942
2017-04-21,0.2962
2017-04-24,0.2954
2017-04-25,0.2938
2017-04-26,0.2923
2017-04-27,0.288
2017-04-28,0.287
2017-05-01,0.2854
2017-05-02,0.2851
