Date,EQY_DVD_YLD_12M
2006-01-03,1.2456
2006-01-04,1.25
2006-01-05,1.2522
2006-01-06,1.2417
2006-01-09,1.231
2006-01-10,1.2387
2006-01-11,1.2486
2006-01-12,1.2359
2006-01-13,1.224
2006-01-17,1.2596
2006-01-18,1.3093
2006-01-19,1.3054000000000001
2006-01-20,1.3378
2006-01-23,1.3384
2006-01-24,1.3365
2006-01-25,1.3235999999999999
2006-01-26,1.3343
2006-01-27,1.3559
2006-01-30,1.3569
2006-01-31,1.3692
2006-02-01,1.3474
2006-02-02,1.2732999999999999
2006-02-03,1.2641
2006-02-06,1.2615
2006-02-07,1.2877
2006-02-08,1.2844
2006-02-09,1.2701
2006-02-10,1.263
2006-02-13,1.2548
2006-02-14,1.2265
2006-02-15,1.2082
2006-02-16,1.2015
2006-02-17,1.22
2006-02-21,1.2444
2006-02-22,1.2444
2006-02-23,1.248
2006-02-24,1.2584
2006-02-27,1.306
2006-02-28,1.3164
2006-03-01,1.2961
2006-03-02,1.3019
2006-03-03,1.2978
2006-03-06,1.3263
2006-03-07,1.3309
2006-03-08,1.3426
2006-03-09,1.3564
2006-03-10,1.346
2006-03-13,1.3251
2006-03-14,1.3266
2006-03-15,1.3324
2006-03-16,1.3718
2006-03-17,1.3663
2006-03-20,1.3803
2006-03-21,1.3813
2006-03-22,1.357
2006-03-23,1.4112
2006-03-24,1.3881999999999999
2006-03-27,1.377
2006-03-28,1.3806
2006-03-29,1.3721
2006-03-30,1.3647
2006-03-31,1.3803
2006-04-03,1.3593
2006-04-04,1.3692
2006-04-05,1.3796
2006-04-06,1.3757
2006-04-07,1.3796
2006-04-10,1.38
2006-04-11,1.3872
2006-04-12,1.3862
2006-04-13,1.3764
2006-04-17,1.3846
2006-04-18,1.3919000000000001
2006-04-19,1.4064
2006-04-20,1.3959
2006-04-21,1.3561
2006-04-24,1.3663
2006-04-25,1.381
2006-04-26,1.376
2006-04-27,1.38
2006-04-28,1.3879000000000001
2006-05-01,1.4033
2006-05-02,1.3846
2006-05-03,1.3796
2006-05-04,1.3596
2006-05-05,1.3529
2006-05-08,1.3485
2006-05-09,1.3657
2006-05-10,1.3757
2006-05-11,1.3929
2006-05-12,1.4198
2006-05-15,1.4428
2006-05-16,1.545
2006-05-17,1.5731000000000002
2006-05-18,1.5684
2006-05-19,1.5617
2006-05-22,1.5920999999999998
2006-05-23,1.6111
2006-05-24,1.6274
2006-05-25,1.6141999999999999
2006-05-26,1.6435
2006-05-30,1.6251
2006-05-31,1.5231
2006-06-01,1.5271
2006-06-02,1.4879
2006-06-05,1.4968
2006-06-06,1.5541
2006-06-07,1.603
2006-06-08,1.6583999999999999
2006-06-09,1.6322
2006-06-12,1.6497000000000002
2006-06-13,1.6821000000000002
2006-06-14,1.694
2006-06-15,1.5996000000000001
2006-06-16,1.5936
2006-06-19,1.5979
2006-06-20,1.6
2006-06-21,1.5636999999999999
2006-06-22,1.5877
2006-06-23,1.5873
2006-06-26,1.5756000000000001
2006-06-27,1.5897999999999999
2006-06-28,1.5957
2006-06-29,1.5548
2006-06-30,1.5686
2006-07-03,1.5588
2006-07-05,1.5785
2006-07-06,1.5789
2006-07-07,1.5831
2006-07-10,1.6069
2006-07-11,1.6177000000000001
2006-07-12,1.6547
2006-07-13,1.6840000000000002
2006-07-14,1.6764000000000001
2006-07-17,1.7036
2006-07-18,1.7410999999999999
2006-07-19,1.6760000000000002
2006-07-20,1.7321
2006-07-21,1.7442
2006-07-24,1.7167
2006-07-25,1.662
2006-07-26,1.6644
2006-07-27,1.7261
2006-07-28,1.7356
2006-07-31,1.7699
2006-08-01,1.7847
2006-08-02,1.7290999999999999
2006-08-03,1.7678
2006-08-04,1.7227000000000001
2006-08-07,1.7290999999999999
2006-08-08,1.7361
2006-08-09,1.7715
2006-08-10,1.771
2006-08-11,1.79
2006-08-14,1.8293
2006-08-15,1.8388
2006-08-16,1.7862
2006-08-17,1.7725
2006-08-18,1.7483
2006-08-21,1.7683
2006-08-22,1.7715
2006-08-23,1.7841
2006-08-24,1.8377
2006-08-25,1.8405
2006-08-28,1.804
2006-08-29,1.7862
2006-08-30,1.7741
2006-08-31,1.6447
