Date,EQY_DVD_YLD_12M
2006-01-03,0.0425
2006-01-04,0.0424
2006-01-05,0.0428
2006-01-06,0.0426
2006-01-09,0.0429
2006-01-10,0.0432
2006-01-11,0.0442
2006-01-12,0.0437
2006-01-13,0.0445
2006-01-17,0.0448
2006-01-18,0.0432
2006-01-19,0.0435
2006-01-20,0.0447
2006-01-23,0.0449
2006-01-24,0.0439
2006-01-25,0.0442
2006-01-26,0.044
2006-01-27,0.0432
2006-01-30,0.0429
2006-01-31,0.0413
2006-02-01,0.0411
2006-02-02,0.0412
2006-02-03,0.0407
2006-02-06,0.041
2006-02-07,0.0414
2006-02-08,0.0416
2006-02-09,0.0403
2006-02-10,0.0398
2006-02-13,0.0402
2006-02-14,0.039
2006-02-15,0.039
2006-02-16,0.0394
2006-02-17,0.0395
2006-02-21,0.0402
2006-02-22,0.0387
2006-02-23,0.0382
2006-02-24,0.0383
2006-02-27,0.0384
2006-02-28,0.0392
2006-03-01,0.039
2006-03-02,0.0396
2006-03-03,0.0396
2006-03-06,0.0408
2006-03-07,0.04
2006-03-08,0.0394
2006-03-09,0.0402
2006-03-10,0.0393
2006-03-13,0.0396
2006-03-14,0.0392
2006-03-15,0.0389
2006-03-16,0.0389
2006-03-17,0.0392
2006-03-20,0.0385
2006-03-21,0.0397
2006-03-22,0.0388
2006-03-23,0.0396
2006-03-24,0.0397
2006-03-27,0.04
2006-03-28,0.0407
2006-03-29,0.0396
2006-03-30,0.04
2006-03-31,0.0407
2006-04-03,0.0406
2006-04-04,0.0407
2006-04-05,0.0405
2006-04-06,0.0418
2006-04-07,0.0425
2006-04-10,0.0425
2006-04-11,0.0439
2006-04-12,0.0426
2006-04-13,0.0417
2006-04-17,0.0421
2006-04-18,0.0426
2006-04-19,0.0438
2006-04-20,0.0423
2006-04-21,0.0425
2006-04-24,0.0427
2006-04-25,0.0434
2006-04-26,0.0431
2006-04-27,0.0541
2006-04-28,0.0519
2006-05-01,0.0503
2006-05-02,0.0502
2006-05-03,0.0537
2006-05-04,0.0542
2006-05-05,0.0526
2006-05-08,0.0517
2006-05-09,0.0529
2006-05-10,0.0508
2006-05-11,0.0504
2006-05-12,0.0505
2006-05-15,0.0502
2006-05-16,0.0488
2006-05-17,0.0491
2006-05-18,0.0496
2006-05-19,0.0497
2006-05-22,0.0502
2006-05-23,0.0514
2006-05-24,0.0527
2006-05-25,0.0521
2006-05-26,0.0521
2006-05-30,0.0523
2006-05-31,0.052
2006-06-01,0.0499
2006-06-02,0.0493
2006-06-05,0.0503
2006-06-06,0.0506
2006-06-07,0.0496
2006-06-08,0.049
2006-06-09,0.048
2006-06-12,0.0502
2006-06-13,0.0503
2006-06-14,0.0511
2006-06-15,0.0506
2006-06-16,0.051
2006-06-19,0.051
2006-06-20,0.0513
2006-06-21,0.05
2006-06-22,0.0497
2006-06-23,0.0488
2006-06-26,0.0481
2006-06-27,0.0493
2006-06-28,0.0508
2006-06-29,0.051
2006-06-30,0.0501
2006-07-03,0.0507
2006-07-05,0.0514
2006-07-06,0.0517
2006-07-07,0.0515
2006-07-10,0.051
2006-07-11,0.05
2006-07-12,0.051
2006-07-13,0.0519
2006-07-14,0.0529
2006-07-17,0.0529
2006-07-18,0.0526
2006-07-19,0.0501
2006-07-20,0.051
2006-07-21,0.0513
2006-07-24,0.0494
2006-07-25,0.0485
2006-07-26,0.0501
2006-07-27,0.0602
2006-07-28,0.0622
2006-07-31,0.0635
2006-08-01,0.0645
2006-08-02,0.0616
2006-08-03,0.0615
2006-08-04,0.0599
2006-08-07,0.0598
2006-08-08,0.0587
2006-08-09,0.0577
2006-08-10,0.0565
2006-08-11,0.0565
2006-08-14,0.0562
2006-08-15,0.0568
2006-08-16,0.0561
2006-08-17,0.0552
2006-08-18,0.0547
2006-08-21,0.0551
2006-08-22,0.0549
2006-08-23,0.055
2006-08-24,0.0531
2006-08-25,0.0535
2006-08-28,0.0531
2006-08-29,0.0531
2006-08-30,0.0526
2006-08-31,0.0537
2006-09-01,0.0544
2006-09-05,0.0553
2006-09-06,0.0555
2006-09-07,0.0562
2006-09-08,0.0548
2006-09-11,0.052
2006-09-12,0.0506
2006-09-13,0.0507
2006-09-14,0.0502
2006-09-15,0.051
2006-09-18,0.0521
2006-09-19,0.0519
2006-09-20,0.0513
2006-09-21,0.0518
2006-09-22,0.0522
2006-09-25,0.0508
2006-09-26,0.051
2006-09-27,0.0518
2006-09-28,0.0514
2006-09-29,0.0506
2006-10-02,0.0512
2006-10-03,0.0502
2006-10-04,0.0495
2006-10-05,0.0486
2006-10-06,0.0496
2006-10-09,0.0497
2006-10-10,0.0502
2006-10-11,0.0501
2006-10-12,0.0497
2006-10-13,0.0509
2006-10-16,0.0504
2006-10-17,0.0505
2006-10-18,0.0502
2006-10-19,0.0501
2006-10-20,0.0496
2006-10-23,0.0502
2006-10-24,0.0506
2006-10-25,0.0519
2006-10-26,0.0483
2006-10-27,0.0481
2006-10-30,0.0491
2006-10-31,0.0485
2006-11-01,0.0497
2006-11-02,0.0484
2006-11-03,0.0493
2006-11-06,0.0481
2006-11-07,0.0485
2006-11-08,0.0496
2006-11-09,0.0512
2006-11-10,0.0497
2006-11-13,0.0981
2006-11-14,0.098
2006-11-15,0.0965
2006-11-16,0.0966
2006-11-17,0.0969
2006-11-20,0.0967
2006-11-21,0.0973
2006-11-22,0.0968
2006-11-24,0.0965
2006-11-27,0.0964
2006-11-28,0.0966
2006-11-29,0.0982
2006-11-30,0.0968
2006-12-01,0.0968
2006-12-04,0.0946
2006-12-05,0.0947
2006-12-06,0.0943
2006-12-07,0.0937
2006-12-08,0.0944
2006-12-11,0.093
2006-12-12,0.0926
2006-12-13,0.0937
2006-12-14,0.0939
2006-12-15,0.0926
2006-12-18,0.0924
2006-12-19,0.0931
2006-12-20,0.0919
2006-12-21,0.092
2006-12-22,0.0924
2006-12-26,0.0917
2006-12-27,0.0915
2006-12-28,0.0921
2006-12-29,0.0926
2007-01-03,0.0933
2007-01-04,0.095
2007-01-05,0.0966
2007-01-08,0.0963
2007-01-09,0.0978
2007-01-10,0.0976
2007-01-11,0.0945
2007-01-12,0.0945
2007-01-16,0.0937
2007-01-17,0.0946
2007-01-18,0.0956
2007-01-19,0.0955
2007-01-22,0.0957
2007-01-23,0.0948
2007-01-24,0.0958
2007-01-25,0.0973
2007-01-26,0.0976
2007-01-29,0.0974
2007-01-30,0.0959
2007-01-31,0.0949
2007-02-01,0.0946
2007-02-02,0.0941
2007-02-05,0.0933
2007-02-06,0.0918
2007-02-07,0.0909
2007-02-08,0.0932
2007-02-09,0.094
2007-02-12,0.093
2007-02-13,0.0921
2007-02-14,0.0917
2007-02-15,0.0888
2007-02-16,0.0877
2007-02-20,0.0864
2007-02-21,0.0873
2007-02-22,0.0867
2007-02-23,0.0868
2007-02-26,0.0872
2007-02-27,0.0903
2007-02-28,0.0905
2007-03-01,0.0892
2007-03-02,0.0905
2007-03-05,0.0921
2007-03-06,0.09
2007-03-07,0.0903
2007-03-08,0.0908
2007-03-09,0.0914
2007-03-12,0.0921
2007-03-13,0.0935
2007-03-14,0.0941
2007-03-15,0.0937
2007-03-16,0.0926
2007-03-19,0.0912
2007-03-20,0.0905
2007-03-21,0.0878
2007-03-22,0.0877
2007-03-23,0.0885
2007-03-26,0.0887
2007-03-27,0.0894
2007-03-28,0.0906
2007-03-29,0.0921
2007-03-30,0.0913
2007-04-02,0.0905
2007-04-03,0.0892
2007-04-04,0.0896
2007-04-05,0.0889
2007-04-09,0.0883
2007-04-10,0.0888
2007-04-11,0.0901
2007-04-12,0.09
2007-04-13,0.0896
2007-04-16,0.0882
2007-04-17,0.088
2007-04-18,0.0873
2007-04-19,0.0888
2007-04-20,0.0892
2007-04-23,0.0892
2007-04-24,0.0878
2007-04-25,0.0889
2007-04-26,0.0847
2007-04-27,0.085
2007-04-30,0.0853
2007-05-01,0.0838
2007-05-02,0.0829
2007-05-03,0.0831
2007-05-04,0.0821
2007-05-07,0.08
2007-05-08,0.0801
2007-05-09,0.0797
2007-05-10,0.0805
2007-05-11,0.08
2007-05-14,0.0804
2007-05-15,0.0795
2007-05-16,0.0768
2007-05-17,0.0761
2007-05-18,0.0765
2007-05-21,0.0764
2007-05-22,0.0764
2007-05-23,0.0771
2007-05-24,0.0775
2007-05-25,0.0763
2007-05-29,0.0756
2007-05-30,0.0754
2007-05-31,0.0756
2007-06-01,0.0751
2007-06-04,0.0757
2007-06-05,0.0764
2007-06-06,0.0779
2007-06-07,0.0778
2007-06-08,0.0766
2007-06-11,0.0765
2007-06-12,0.0773
2007-06-13,0.0778
2007-06-14,0.0791
2007-06-15,0.0796
2007-06-18,0.0792
2007-06-19,0.079
2007-06-20,0.0808
2007-06-21,0.081
2007-06-22,0.0814
2007-06-25,0.0825
2007-06-26,0.0809
2007-06-27,0.0798
2007-06-28,0.0802
2007-06-29,0.081
2007-07-02,0.0793
2007-07-03,0.08
2007-07-05,0.0793
2007-07-06,0.0783
2007-07-09,0.0786
2007-07-10,0.0793
2007-07-11,0.0794
2007-07-12,0.0773
2007-07-13,0.0786
2007-07-16,0.08
2007-07-17,0.0801
2007-07-18,0.0784
2007-07-19,0.0793
2007-07-20,0.0805
2007-07-23,0.0783
2007-07-24,0.0788
2007-07-25,0.079
2007-07-26,0.0802
2007-07-27,0.0822
2007-07-30,0.0813
2007-07-31,0.0832
2007-08-01,0.0817
2007-08-02,0.0789
2007-08-03,0.0811
2007-08-06,0.08
2007-08-07,0.0807
2007-08-08,0.0825
2007-08-09,0.0852
2007-08-10,0.0822
2007-08-13,0.0826
2007-08-14,0.085
2007-08-15,0.0849
2007-08-16,0.0819
2007-08-17,0.0816
2007-08-20,0.082
2007-08-21,0.0822
2007-08-22,0.0807
2007-08-23,0.081
2007-08-24,0.0799
2007-08-27,0.08
2007-08-28,0.0807
2007-08-29,0.0792
2007-08-30,0.0793
2007-08-31,0.0786
2007-09-04,0.0782
2007-09-05,0.0791
2007-09-06,0.0781
2007-09-07,0.0796
2007-09-10,0.0801
2007-09-11,0.0798
2007-09-12,0.0795
2007-09-13,0.0784
2007-09-14,0.0777
2007-09-17,0.0772
2007-09-18,0.0743
2007-09-19,0.0753
2007-09-20,0.0765
2007-09-21,0.0764
2007-09-24,0.0758
2007-09-25,0.075
2007-09-26,0.0751
2007-09-27,0.0741
2007-09-28,0.0737
2007-10-01,0.0734
2007-10-02,0.0735
2007-10-03,0.0748
2007-10-04,0.0754
2007-10-05,0.0743
2007-10-08,0.0738
2007-10-09,0.0729
2007-10-10,0.0733
2007-10-11,0.0753
2007-10-12,0.0753
2007-10-15,0.0753
2007-10-16,0.0756
2007-10-17,0.0744
2007-10-18,0.0743
2007-10-19,0.0757
2007-10-22,0.075
2007-10-23,0.0749
2007-10-24,0.0756
2007-10-25,0.0714
2007-10-26,0.0716
2007-10-29,0.0725
2007-10-30,0.0723
2007-10-31,0.0712
2007-11-01,0.0727
2007-11-02,0.0736
2007-11-05,0.0735
2007-11-06,0.0733
2007-11-07,0.0747
2007-11-08,0.0732
2007-11-09,0.0732
2007-11-12,0.0741
2007-11-13,0.0736
2007-11-14,0.0728
2007-11-15,0.0729
2007-11-16,0.0728
2007-11-19,0.0731
2007-11-20,0.0725
2007-11-21,0.0743
2007-11-23,0.0739
2007-11-26,0.0722
2007-11-27,0.072
2007-11-28,0.0712
2007-11-29,0.0718
2007-11-30,0.0716
2007-12-03,0.0707
2007-12-04,0.0713
2007-12-05,0.0698
2007-12-06,0.0684
2007-12-07,0.0679
2007-12-10,0.0669
2007-12-11,0.0691
2007-12-12,0.0693
2007-12-13,0.069
2007-12-14,0.0691
2007-12-17,0.0701
2007-12-18,0.0693
2007-12-19,0.0697
2007-12-20,0.0689
2007-12-21,0.0683
2007-12-24,0.0685
2007-12-26,0.068
2007-12-27,0.0692
2007-12-28,0.0691
2007-12-31,0.0693
2008-01-02,0.0706
2008-01-03,0.0699
2008-01-04,0.0715
2008-01-07,0.0691
2008-01-08,0.0686
2008-01-09,0.0685
2008-01-10,0.0676
2008-01-11,0.0685
2008-01-14,0.0692
2008-01-15,0.0711
2008-01-16,0.0687
2008-01-17,0.0704
2008-01-18,0.0713
2008-01-22,0.0749
2008-01-23,0.0739
2008-01-24,0.0748
2008-01-25,0.076
2008-01-28,0.0748
2008-01-29,0.0741
2008-01-30,0.0748
2008-01-31,0.0751
2008-02-01,0.0752
2008-02-04,0.0751
2008-02-05,0.0763
2008-02-06,0.0751
2008-02-07,0.077
2008-02-08,0.0789
2008-02-11,0.0798
2008-02-12,0.0791
2008-02-13,0.0812
2008-02-14,0.0813
2008-02-15,0.0787
2008-02-19,0.0775
2008-02-20,0.0767
2008-02-21,0.0788
2008-02-22,0.0798
2008-02-25,0.0772
2008-02-26,0.0765
2008-02-27,0.0771
2008-02-28,0.0778
2008-02-29,0.0806
2008-03-03,0.0808
2008-03-04,0.0814
2008-03-05,0.0799
2008-03-06,0.0823
2008-03-07,0.0852
2008-03-10,0.086
2008-03-11,0.0938
2008-03-12,0.0898
2008-03-13,0.0895
2008-03-14,0.0915
2008-03-17,0.0934
2008-03-18,0.0948
2008-03-19,0.0946
2008-03-20,0.0928
2008-03-24,0.0904
2008-03-25,0.0888
2008-03-26,0.091
2008-03-27,0.0925
2008-03-28,0.094
2008-03-31,0.095
2008-04-01,0.0905
2008-04-02,0.0929
2008-04-03,0.0946
2008-04-04,0.0951
2008-04-07,0.0945
2008-04-08,0.0946
2008-04-09,0.0961
2008-04-10,0.0949
2008-04-11,0.0975
2008-04-14,0.0983
2008-04-15,0.0951
2008-04-16,0.097
2008-04-17,0.0967
2008-04-18,0.0957
2008-04-21,0.0949
2008-04-22,0.0991
2008-04-23,0.0928
2008-04-24,0.0947
2008-04-25,0.0911
2008-04-28,0.091
2008-04-29,0.0909
2008-04-30,0.0917
2008-05-01,0.0927
2008-05-02,0.093
2008-05-05,0.0913
2008-05-06,0.0914
2008-05-07,0.0915
2008-05-08,0.0919
2008-05-09,0.0925
2008-05-12,0.0917
2008-05-13,0.0917
2008-05-14,0.0921
2008-05-15,0.0934
2008-05-16,0.0918
2008-05-19,0.0913
2008-05-20,0.0901
2008-05-21,0.0896
2008-05-22,0.0858
2008-05-23,0.0877
2008-05-27,0.0875
2008-05-28,0.0881
2008-05-29,0.086
2008-05-30,0.0848
2008-06-02,0.0882
2008-06-03,0.0876
2008-06-04,0.086
2008-06-05,0.0842
2008-06-06,0.0861
2008-06-09,0.0867
2008-06-10,0.0886
2008-06-11,0.0894
2008-06-12,0.0898
2008-06-13,0.0899
2008-06-16,0.0901
2008-06-17,0.0916
2008-06-18,0.0939
2008-06-19,0.0956
2008-06-20,0.0977
2008-06-23,0.0973
2008-06-24,0.0987
