Date,EQY_DVD_YLD_12M
2015-09-02,0.1998
2015-09-03,0.1937
2015-09-04,0.194
2015-09-08,0.1988
2015-09-09,0.2046
2015-09-10,0.1999
2015-09-11,0.1955
2015-09-14,0.1874
2015-09-15,0.1889
2015-09-16,0.1888
2015-09-17,0.1899
2015-09-18,0.1897
2015-09-21,0.1941
2015-09-22,0.1989
2015-09-23,0.2024
2015-09-24,0.2052
2015-09-25,0.2124
2015-09-28,0.2246
2015-09-29,0.2253
2015-09-30,0.2222
2015-10-01,0.2181
2015-10-02,0.2158
2015-10-05,0.2163
2015-10-06,0.2239
2015-10-07,0.2262
2015-10-08,0.2252
2015-10-09,0.2256
2015-10-12,0.2244
2015-10-13,0.2275
2015-10-14,0.2256
2015-10-15,0.2098
2015-10-16,0.2124
2015-10-19,0.2117
2015-10-20,0.2181
2015-10-21,0.2206
2015-10-22,0.2232
2015-10-23,0.2095
2015-10-26,0.2069
2015-10-27,0.2009
2015-10-28,0.1946
2015-10-29,0.2032
2015-10-30,0.2031
2015-11-02,0.2009
2015-11-03,0.2069
2015-11-04,0.2028
2015-11-05,0.2043
2015-11-06,0.1994
2015-11-09,0.2038
2015-11-10,0.2079
2015-11-11,0.2078
2015-11-12,0.2105
2015-11-13,0.2072
2015-11-16,0.203
2015-11-17,0.2027
2015-11-18,0.2033
2015-11-19,0.203
2015-11-20,0.2039
2015-11-23,0.2088
2015-11-24,0.1962
2015-11-25,0.1956
2015-11-27,0.1964
2015-11-30,0.2036
2015-12-01,0.2021
2015-12-02,0.3929
2015-12-03,0.4002
2015-12-04,0.3907
2015-12-07,0.3918
2015-12-08,0.3788
2015-12-09,0.3762
2015-12-10,0.3715
2015-12-11,0.378
2015-12-14,0.3669
2015-12-15,0.3774
2015-12-16,0.3723
2015-12-17,0.3759
2015-12-18,0.3644
2015-12-21,0.3678
2015-12-22,0.3518
2015-12-23,0.356
2015-12-24,0.3565
2015-12-28,0.3637
2015-12-29,0.3554
2015-12-30,0.3581
2015-12-31,0.3587
2016-01-04,0.3401
2016-01-05,0.3373
2016-01-06,0.3562
2016-01-07,0.346
2016-01-08,0.3499
2016-01-11,0.3581
2016-01-12,0.3473
2016-01-13,0.3472
2016-01-14,0.3414
2016-01-15,0.3489
2016-01-19,0.344
2016-01-20,0.3478
2016-01-21,0.3441
2016-01-22,0.3349
2016-01-25,0.3364
2016-01-26,0.341
2016-01-27,0.349
2016-01-28,0.3513
2016-01-29,0.3499
2016-02-01,0.3485
2016-02-02,0.3518
2016-02-03,0.3581
2016-02-04,0.36
2016-02-05,0.3686
2016-02-08,0.384
2016-02-09,0.3806
2016-02-10,0.3737
2016-02-11,0.3782
2016-02-12,0.362
2016-02-16,0.359
2016-02-17,0.349
2016-02-18,0.3554
2016-02-19,0.3552
2016-02-22,0.3542
2016-02-23,0.3562
2016-02-24,0.3592
2016-02-25,0.3544
2016-02-26,0.3572
2016-02-29,0.3634
2016-03-01,0.3551
2016-03-02,0.3509
2016-03-03,0.3562
2016-03-04,0.3547
2016-03-07,0.3523
2016-03-08,0.5378
2016-03-09,0.5354
2016-03-10,0.5329
2016-03-11,0.533
2016-03-14,0.533
2016-03-15,0.5507
2016-03-16,0.5519
2016-03-17,0.549
2016-03-18,0.5376
2016-03-21,0.5271
2016-03-22,0.5224
2016-03-23,0.5242
2016-03-24,0.525
2016-03-28,0.5276
2016-03-29,0.5204
2016-03-30,0.523
2016-03-31,0.5198
2016-04-01,0.5145
2016-04-04,0.5052
2016-04-05,0.5455
2016-04-06,0.5166
2016-04-07,0.5206
2016-04-08,0.5216
2016-04-11,0.5204
2016-04-12,0.5203
2016-04-13,0.5122
2016-04-14,0.5148
2016-04-15,0.5184
2016-04-18,0.508
2016-04-19,0.509
2016-04-20,0.5165
2016-04-21,0.5112
2016-04-22,0.5075
2016-04-25,0.5084
2016-04-26,0.5095
2016-04-27,0.5147
2016-04-28,0.5136
2016-04-29,0.5006
2016-05-02,0.4983
2016-05-03,0.4967
2016-05-04,0.5076
2016-05-05,0.508
2016-05-06,0.5101
2016-05-09,0.4959
2016-05-10,0.4892
2016-05-11,0.4932
2016-05-12,0.5026
2016-05-13,0.4954
2016-05-16,0.4904
2016-05-17,0.4909
2016-05-18,0.4834
2016-05-19,0.4803
2016-05-20,0.4727
2016-05-23,0.4707
2016-05-24,0.4667
2016-05-25,0.4594
2016-05-26,0.4595
2016-05-27,0.4612
2016-05-31,0.4643
2016-06-01,0.4545
2016-06-02,0.4563
