Date,EQY_DVD_YLD_12M
2008-03-31,0.3232
2008-04-01,0.3103
2008-04-02,0.3052
2008-04-03,0.3058
2008-04-04,0.308
2008-04-07,0.3011
2008-04-08,0.3047
2008-04-09,0.3109
2008-04-10,0.3131
2008-04-11,0.3181
2008-04-14,0.3161
2008-04-15,0.3171
2008-04-16,0.3136
2008-04-17,0.31
2008-04-18,0.3082
2008-04-21,0.3091
2008-04-22,0.3139
2008-04-23,0.3163
2008-04-24,0.316
2008-04-25,0.32
2008-04-28,0.3149
2008-04-29,0.3085
2008-04-30,0.3041
2008-05-01,0.2801
2008-05-02,0.2845
2008-05-05,0.289
2008-05-06,0.286
2008-05-07,0.2898
2008-05-08,0.2834
2008-05-09,0.2883
2008-05-12,0.2836
2008-05-13,0.2829
2008-05-14,0.2794
2008-05-15,0.2773
2008-05-16,0.2831
2008-05-19,0.2832
2008-05-20,0.2854
2008-05-21,0.2872
2008-05-22,0.2815
2008-05-23,0.2891
2008-05-27,0.2855
2008-05-28,0.2875
2008-05-29,0.2822
2008-05-30,0.2778
2008-06-02,0.2775
2008-06-03,0.2806
2008-06-04,0.2762
2008-06-05,0.2751
2008-06-06,0.2849
2008-06-09,0.2846
2008-06-10,0.2875
2008-06-11,0.2907
2008-06-12,0.2927
2008-06-13,0.2875
2008-06-16,0.2937
2008-06-17,0.2961
2008-06-18,0.3055
2008-06-19,0.3041
2008-06-20,0.3173
2008-06-23,0.3264
2008-06-24,0.3293
2008-06-25,0.3245
2008-06-26,0.3358
2008-06-27,0.3355
2008-06-30,0.3295
2008-07-01,0.3326
2008-07-02,0.3389
2008-07-03,0.341
2008-07-07,0.6771
2008-07-08,0.66
2008-07-09,0.6764
2008-07-10,0.6699
2008-07-11,0.676
2008-07-14,0.6834
2008-07-15,0.679
2008-07-16,0.6569
2008-07-17,0.6342
2008-07-18,0.6176
2008-07-21,0.6326
2008-07-22,0.6304
2008-07-23,0.6234
2008-07-24,0.6291
2008-07-25,0.6371
2008-07-28,0.6614
2008-07-29,0.6517
2008-07-30,0.6228
2008-07-31,0.6062
2008-08-01,0.6143
2008-08-04,0.6083
2008-08-05,0.5806
2008-08-06,0.5885
2008-08-07,0.595
2008-08-08,0.5755
2008-08-11,0.5729
2008-08-12,0.5726
2008-08-13,0.5718
2008-08-14,0.5682
2008-08-15,0.561
2008-08-18,0.5729
2008-08-19,0.5817
2008-08-20,0.5874
2008-08-21,0.5822
2008-08-22,0.5758
2008-08-25,0.601
2008-08-26,0.5927
2008-08-27,0.5874
2008-08-28,0.5771
2008-08-29,0.5902
2008-09-02,0.5907
2008-09-03,0.58
2008-09-04,0.5995
2008-09-05,0.6065
2008-09-08,0.5863
2008-09-09,0.6036
2008-09-10,0.5919
2008-09-11,0.5806
2008-09-12,0.5758
2008-09-15,0.5992
2008-09-16,0.6086
2008-09-17,0.642
2008-09-18,0.6115
2008-09-19,0.6036
2008-09-22,0.6288
2008-09-23,0.649
2008-09-24,0.6517
2008-09-25,0.6281
2008-09-26,0.6039
2008-09-29,0.6941
2008-09-30,0.6368
2008-10-01,0.646
2008-10-02,0.6812
2008-10-03,0.6786
2008-10-06,1.0336
2008-10-07,1.0933
2008-10-08,1.1036
2008-10-09,1.1496
2008-10-10,1.2207
2008-10-13,1.1049
2008-10-14,1.1268
2008-10-15,1.3176
2008-10-16,1.2207
2008-10-17,1.2311
2008-10-20,1.1741
2008-10-21,1.2207
2008-10-22,1.3204
2008-10-23,1.3186
2008-10-24,1.4346
2008-10-27,1.3767
2008-10-28,1.1055
2008-10-29,1.2271
2008-10-30,1.2417
2008-10-31,1.1897
2008-11-03,1.0971
2008-11-04,1.0551
2008-11-05,1.1095
2008-11-06,1.1228
2008-11-07,1.077
2008-11-10,1.1336
2008-11-11,1.1912
2008-11-12,1.2525
2008-11-13,1.1531
2008-11-14,1.2073
2008-11-17,1.2344
2008-11-18,1.216
2008-11-19,1.3617
2008-11-20,1.4098
2008-11-21,1.3326
2008-11-24,1.2271
2008-11-25,1.1943
2008-11-26,1.1261
2008-11-28,1.0813
2008-12-01,1.2136
2008-12-02,1.1719
2008-12-03,1.1675
2008-12-04,1.1882
2008-12-05,1.1602999999999999
2008-12-08,1.1329
2008-12-09,1.1426
2008-12-10,1.1398
2008-12-11,1.1741
2008-12-12,1.1981
2008-12-15,1.2019
2008-12-16,1.1398
2008-12-17,1.1475
2008-12-18,1.186
2008-12-19,1.1897
2008-12-22,1.195
2008-12-23,1.2073
2008-12-24,1.2183
2008-12-26,1.2019
2008-12-29,1.2073
2008-12-30,1.1391
2008-12-31,1.1108
2009-01-02,1.0422
2009-01-05,1.468
2009-01-06,1.451
2009-01-07,1.5024
2009-01-08,1.4784
2009-01-09,1.5309
2009-01-12,1.5924
2009-01-13,1.6308
2009-01-14,1.688
2009-01-15,1.6656
2009-01-16,1.6308
2009-01-20,1.7832
2009-01-21,1.6589
2009-01-22,1.6903000000000001
2009-01-23,1.6678
2009-01-26,1.6611
2009-01-27,1.6756
2009-01-28,1.5664
2009-01-29,1.6308
2009-01-30,1.7065000000000001
2009-02-02,1.7006999999999999
2009-02-03,1.7029999999999998
2009-02-04,1.7654999999999998
2009-02-05,1.8077
2009-02-06,1.7643
2009-02-09,1.7349
2009-02-10,1.8464
2009-02-11,1.8423
2009-02-12,1.8142
2009-02-13,1.8302
2009-02-17,1.9395
2009-02-18,2.0227
2009-02-19,1.9245999999999999
2009-02-20,1.947
2009-02-23,1.9701
2009-02-24,1.8012000000000001
2009-02-25,1.7793999999999999
2009-02-26,1.8740999999999999
2009-02-27,1.9142000000000001
2009-03-02,1.9857
2009-03-03,2.0
2009-03-04,1.9623
2009-03-05,2.0833
2009-03-06,2.1496
2009-03-09,2.2282
2009-03-10,2.0475
2009-03-11,2.021
2009-03-12,1.935
2009-03-13,1.9186
2009-03-16,1.9889000000000001
2009-03-17,1.8839000000000001
2009-03-18,1.8423
2009-03-19,1.9157
2009-03-20,1.9654
2009-03-23,1.7755999999999998
2009-03-24,1.787
2009-03-25,1.7934
2009-03-26,1.7182
2009-03-27,1.7194
2009-03-30,1.8315000000000001
2009-03-31,1.8328
2009-04-01,1.796
2009-04-02,1.7159
2009-04-03,1.7241
2009-04-06,1.7758
2009-04-07,1.8162
2009-04-08,1.7882
2009-04-09,1.7442
2009-04-13,1.7770000000000001
2009-04-14,1.8397999999999999
2009-04-15,1.7732999999999999
2009-04-16,1.7276
2009-04-17,1.7610000000000001
2009-04-20,1.8306
2009-04-21,1.787
2009-04-22,1.8149
2009-04-23,1.8736000000000002
2009-04-24,1.8359
2009-04-27,1.8532
2009-04-28,1.7970000000000002
2009-04-29,1.6732
2009-04-30,1.6494
2009-05-01,1.5587
2009-05-04,1.5314999999999999
2009-05-05,1.5692
2009-05-06,1.5937999999999999
2009-05-07,1.6252
2009-05-08,1.619
2009-05-11,1.6548
2009-05-12,1.6776
2009-05-13,1.7045
2009-05-14,1.716
2009-05-15,1.7684
2009-05-18,1.6821000000000002
2009-05-19,1.7
2009-05-20,1.7149
2009-05-21,1.7647
2009-05-22,1.7932000000000001
2009-05-26,1.7370999999999999
2009-05-27,1.7832
2009-05-28,1.7970000000000002
2009-05-29,1.8519
2009-06-01,1.8319
2009-06-02,1.7635
2009-06-03,1.7970000000000002
2009-06-04,1.7623
2009-06-05,1.8072
2009-06-08,1.7770000000000001
2009-06-09,1.7708
2009-06-10,1.7845
2009-06-11,1.7574
2009-06-12,1.7770000000000001
2009-06-15,1.8452
2009-06-16,1.8847
2009-06-17,1.8397999999999999
2009-06-18,1.8385
2009-06-19,1.8385
2009-06-22,1.8721999999999999
2009-06-23,1.8492
2009-06-24,1.8437999999999999
2009-06-25,1.7758
2009-06-26,1.7932000000000001
2009-06-29,1.7758
2009-06-30,1.7635
2009-07-01,1.7623
2009-07-02,1.8359
2009-07-06,1.8705
2009-07-07,1.9548999999999999
2009-07-08,1.9259
2009-07-09,1.9417
2009-07-10,1.9607999999999999
2009-07-13,1.9231
2009-07-14,1.9174
2009-07-15,1.8439999999999999
2009-07-16,1.8362
2009-07-17,1.8375
2009-07-20,1.7931
2009-07-21,1.8169
2009-07-22,1.8375
2009-07-23,1.7943
2009-07-24,1.7931
2009-07-27,1.7461
2009-07-28,1.7461
2009-07-29,1.782
2009-07-30,1.7309999999999999
2009-07-31,1.7497
2009-08-03,1.7184
2009-08-04,1.6883
2009-08-05,1.7264
2009-08-06,1.7276
2009-08-07,1.738
2009-08-10,1.7332999999999998
2009-08-11,1.7614999999999998
2009-08-12,1.7508
2009-08-13,1.7391
2009-08-14,1.7556
2009-08-17,1.7856999999999998
2009-08-18,1.8131
2009-08-19,1.7795999999999998
2009-08-20,1.7869000000000002
2009-08-21,1.7252999999999998
2009-08-24,1.7219
2009-08-25,1.7094
2009-08-26,1.7173
2009-08-27,1.6720000000000002
2009-08-28,1.655
2009-08-31,1.6971
2009-09-01,1.7162
2009-09-02,1.6861000000000002
2009-09-03,1.6796
2009-09-04,1.5922
2009-09-08,1.5786
2009-09-09,1.5430000000000001
2009-09-10,1.516
2009-09-11,1.5107
2009-09-14,1.4908000000000001
2009-09-15,1.4925
2009-09-16,1.4815
2009-09-17,1.5249000000000001
2009-09-18,1.5038
2009-09-21,1.5064
2009-09-22,1.5107
2009-09-23,1.5439
2009-09-24,1.5550000000000002
2009-09-25,1.5577999999999999
2009-09-28,1.5258
2009-09-29,1.496
2009-09-30,1.5403
2009-10-01,1.6592
2009-10-02,1.706
2009-10-05,1.7275
2009-10-06,1.7141
2009-10-07,1.7064
2009-10-08,1.6933
2009-10-09,1.7042000000000002
2009-10-12,1.7343
2009-10-13,1.7252999999999998
2009-10-14,1.7252999999999998
2009-10-15,1.7354
2009-10-16,1.7366000000000001
2009-10-19,1.7163
2009-10-20,1.7252999999999998
2009-10-21,1.7538
2009-10-22,1.7075
2009-10-23,1.7596
2009-10-26,1.7856999999999998
2009-10-27,1.8014999999999999
2009-10-28,1.8089
2009-10-29,1.7654999999999998
2009-10-30,1.8276
2009-11-02,1.8263
2009-11-03,1.8263
2009-11-04,1.8848
2009-11-05,1.8662
2009-11-06,1.8163
2009-11-09,1.7492
2009-11-10,1.7845
2009-11-11,1.755
2009-11-12,1.7286000000000001
2009-11-13,1.7174
2009-11-16,1.6719
2009-11-17,1.7086000000000001
2009-11-18,1.7515
2009-11-19,1.762
2009-11-20,1.7654999999999998
2009-11-23,1.7561
2009-11-24,1.7526000000000002
2009-11-25,1.7585
2009-11-27,1.7809
2009-11-30,1.8075999999999999
2009-12-01,1.7713999999999999
2009-12-02,1.7738
2009-12-03,1.6656
2009-12-04,1.6429
2009-12-07,1.5345
2009-12-08,1.5265
2009-12-09,1.5108000000000001
2009-12-10,1.5074
2009-12-11,1.5023
2009-12-14,1.5083
2009-12-15,1.5083
2009-12-16,1.5133999999999999
2009-12-17,1.5488
2009-12-18,1.5371000000000001
2009-12-21,1.5255999999999998
2009-12-22,1.5407
2009-12-23,1.5488
2009-12-24,1.5434
2009-12-28,1.5524
2009-12-29,1.5514999999999999
2009-12-30,1.5524
2009-12-31,1.5718
2010-01-04,1.7501
2010-01-05,1.7742
2010-01-06,1.787
2010-01-07,1.7501
2010-01-08,1.7553
2010-01-11,1.7668
2010-01-12,1.7989000000000002
2010-01-13,1.771
2010-01-14,1.7816
2010-01-15,1.7859
2010-01-19,1.7668
2010-01-20,1.7978
2010-01-21,1.8563
2010-01-22,1.8738000000000001
2010-01-25,1.8551
2010-01-26,1.8917000000000002
2010-01-27,1.8738000000000001
2010-01-28,1.9014
2010-01-29,1.8761999999999999
2010-02-01,1.8632
2010-02-02,1.8232
2010-02-03,1.8597000000000001
2010-02-04,1.9137
2010-02-05,1.9261
2010-02-08,1.9527
2010-02-09,1.9298
2010-02-10,1.9399
2010-02-11,1.9374
2010-02-12,1.9361000000000002
2010-02-16,1.8953
2010-02-17,1.8965999999999998
2010-02-18,1.8881000000000001
2010-02-19,1.8563
2010-02-22,1.8345
2010-02-23,1.8401
2010-02-24,1.8088
2010-02-25,1.8401
2010-02-26,1.8066
2010-03-01,1.7647
2010-03-02,1.7679
2010-03-03,1.7511999999999999
2010-03-04,1.7298
2010-03-05,1.704
2010-03-08,1.6913
2010-03-09,1.6962000000000002
2010-03-10,1.6942
2010-03-11,1.6904
2010-03-12,1.7048999999999999
2010-03-15,1.6942
2010-03-16,1.6981000000000002
2010-03-17,1.6894
2010-03-18,1.6808
2010-03-19,1.6942
2010-03-22,1.6703999999999999
2010-03-23,1.6418
2010-03-24,1.6337000000000002
2010-03-25,1.6106
2010-03-26,1.6194
2010-03-29,1.6054
2010-03-30,1.5848
2010-03-31,1.5773000000000001
2010-04-01,1.5748
2010-04-05,1.7216
2010-04-06,1.7271
2010-04-07,1.7715
2010-04-08,1.758
2010-04-09,1.7513999999999998
2010-04-12,1.7391
2010-04-13,1.7354
2010-04-14,1.7116
2010-04-15,1.7179
2010-04-16,1.7686
2010-04-19,1.7438
2010-04-20,1.7476
2010-04-21,1.7485
