Date,EQY_DVD_YLD_12M
2006-01-03,0.8267
2006-01-04,0.8095
2006-01-05,0.8233
2006-01-06,0.8114
2006-01-09,0.8309
2006-01-10,0.8119
2006-01-11,0.7932
2006-01-12,0.7843
2006-01-13,0.7691
2006-01-17,0.7676
2006-01-18,0.7795
2006-01-19,0.7673
2006-01-20,0.7795
2006-01-23,0.789
2006-01-24,0.7624
2006-01-25,0.7762
2006-01-26,0.7808
2006-01-27,0.7763
2006-01-30,0.7703
2006-01-31,0.7682
2006-02-01,0.7782
2006-02-02,0.7946
2006-02-03,0.8109
2006-02-06,0.7906
2006-02-07,0.8498
2006-02-08,0.8513
2006-02-09,0.8701
2006-02-10,0.8698
2006-02-13,0.9106
2006-02-14,0.9158
2006-02-15,0.9261
2006-02-16,0.8967
2006-02-17,0.8871
2006-02-21,0.8629
2006-02-22,0.8784
2006-02-23,0.8706
2006-02-24,0.854
2006-02-27,0.8745
2006-02-28,0.8747
2006-03-01,0.8589
2006-03-02,0.8472
2006-03-03,0.8379
2006-03-06,0.8534
2006-03-07,0.8757
2006-03-08,0.8777
2006-03-09,0.8754
2006-03-10,0.884
2006-03-13,0.8724
2006-03-14,0.8607
2006-03-15,0.8682
2006-03-16,0.8509
2006-03-17,0.8567
2006-03-20,0.8671
2006-03-21,0.8563
2006-03-22,0.8098
2006-03-23,0.7746
2006-03-24,0.7832
2006-03-27,0.7804
2006-03-28,0.7793
2006-03-29,0.7758
2006-03-30,0.7635
2006-03-31,0.7551
2006-04-03,0.7265
2006-04-04,0.7134
2006-04-05,0.7048
2006-04-06,0.704
2006-04-07,0.7089
2006-04-10,0.704
2006-04-11,0.7143
2006-04-12,0.7175
2006-04-13,0.7143
2006-04-17,0.707
2006-04-18,0.6871
2006-04-19,0.6615
2006-04-20,0.6722
2006-04-21,0.6587
2006-04-24,0.6478
2006-04-25,0.6523
2006-04-26,0.6521
2006-04-27,0.6738
2006-04-28,0.6576
2006-05-01,0.6438
2006-05-02,0.6349
2006-05-03,0.6249
2006-05-04,0.6282
2006-05-05,0.6144
2006-05-08,0.6134
2006-05-09,0.614
2006-05-10,0.5944
2006-05-11,0.5817
2006-05-12,0.609
2006-05-15,0.6308
2006-05-16,0.6294
2006-05-17,0.6531
2006-05-18,0.6615
2006-05-19,0.6738
2006-05-22,0.687
2006-05-23,0.6683
2006-05-24,0.6785
2006-05-25,0.6552
2006-05-26,0.6378
2006-05-30,0.6521
2006-05-31,0.6346
2006-06-01,0.6397
2006-06-02,0.6181
2006-06-05,0.6401
2006-06-06,0.657
2006-06-07,0.6983
2006-06-08,0.7032
2006-06-09,0.7132
2006-06-12,0.7561
2006-06-13,0.7867
2006-06-14,0.7671
2006-06-15,0.7156
2006-06-16,0.7191
2006-06-19,0.7568
2006-06-20,0.7699
2006-06-21,0.7425
2006-06-22,0.7309
2006-06-23,0.6541
2006-06-26,0.6291
2006-06-27,0.6292
2006-06-28,0.6229
2006-06-29,0.608
2006-06-30,0.5993
