Date,EQY_DVD_YLD_12M
2006-01-03,0.8914
2006-01-04,0.8886
2006-01-05,0.8939
2006-01-06,0.8927
2006-01-09,0.8891
2006-01-10,0.89
2006-01-11,0.8779
2006-01-12,0.8772
2006-01-13,0.8725
2006-01-17,0.8794
2006-01-18,0.877
2006-01-19,0.8796
2006-01-20,0.8956
2006-01-23,0.9058
2006-01-24,0.8981
2006-01-25,0.8911
2006-01-26,0.8884
2006-01-27,0.8891
2006-01-30,0.8957
2006-01-31,0.892
2006-02-01,0.899
2006-02-02,0.8863
2006-02-03,0.8999
2006-02-06,0.9032
2006-02-07,0.9442
2006-02-08,0.9374
2006-02-09,0.9394
2006-02-10,0.9248
2006-02-13,0.918
2006-02-14,0.8988
2006-02-15,0.892
2006-02-16,0.8891
2006-02-17,0.9023
2006-02-21,0.9073
2006-02-22,0.893
2006-02-23,0.9
2006-02-24,0.9075
2006-02-27,0.8913
2006-02-28,0.8986
2006-03-01,0.8814
2006-03-02,0.8712
2006-03-03,0.8595
2006-03-06,0.8557
2006-03-07,0.8579
2006-03-08,0.8555
2006-03-09,0.8668
2006-03-10,0.8523
2006-03-13,0.8482
2006-03-14,0.8323
2006-03-15,0.8364
2006-03-16,0.8364
2006-03-17,0.8232
2006-03-20,0.8214
2006-03-21,0.8303
2006-03-22,0.8339
2006-03-23,0.8365
2006-03-24,0.8419
2006-03-27,0.8399
2006-03-28,0.8476
2006-03-29,0.8413
2006-03-30,0.8484
2006-03-31,0.8493
2006-04-03,0.8468
2006-04-04,0.841
2006-04-05,0.8342
2006-04-06,0.8129
2006-04-07,0.8259
2006-04-10,0.8451
2006-04-11,0.8481
2006-04-12,0.8445
2006-04-13,0.8504
2006-04-17,0.8536
2006-04-18,0.8318
2006-04-19,0.8396
2006-04-20,0.8387
2006-04-21,0.8523
2006-04-24,0.8443
2006-04-25,0.8434
2006-04-26,0.8437
2006-04-27,0.8462
2006-04-28,0.8451
2006-05-01,0.85
2006-05-02,0.8522
2006-05-03,0.8525
2006-05-04,0.8284
2006-05-05,0.8113
2006-05-08,0.8355
2006-05-09,0.8391
2006-05-10,0.8363
2006-05-11,0.8473
2006-05-12,0.86
2006-05-15,0.8551
2006-05-16,0.8599
2006-05-17,0.8795
2006-05-18,0.8883
2006-05-19,0.8764
2006-05-22,0.8778
2006-05-23,0.8855
2006-05-24,0.8827
2006-05-25,0.8732
2006-05-26,0.8727
2006-05-30,0.8869
2006-05-31,0.8974
2006-06-01,0.8759
2006-06-02,0.8887
2006-06-05,0.9036
2006-06-06,0.9046
2006-06-07,0.9084
2006-06-08,0.8887
2006-06-09,0.8956
2006-06-12,0.908
2006-06-13,0.9025
2006-06-14,0.8966
2006-06-15,0.8818
2006-06-16,0.8837
2006-06-19,0.887
2006-06-20,0.8655
2006-06-21,0.8519
2006-06-22,0.8594
2006-06-23,0.8559
2006-06-26,0.8437
2006-06-27,0.8535
2006-06-28,0.8473
2006-06-29,0.8311
2006-06-30,0.8314
2006-07-03,0.8249
2006-07-05,0.8355
2006-07-06,0.8505
2006-07-07,0.8458
2006-07-10,0.8435
2006-07-11,0.8373
2006-07-12,0.85
2006-07-13,0.8629
2006-07-14,0.8875
2006-07-17,0.8803
2006-07-18,0.8983
2006-07-19,0.8831
2006-07-20,0.8903
2006-07-21,0.9037
2006-07-24,0.8902
2006-07-25,0.8796
2006-07-26,0.8907
2006-07-27,0.9232
2006-07-28,0.9447
2006-07-31,0.9287
2006-08-01,0.9378
2006-08-02,0.9344
2006-08-03,0.9608
2006-08-04,0.9463
2006-08-07,0.952
2006-08-08,0.9485
2006-08-09,0.9761
2006-08-10,0.9559
2006-08-11,0.9655
2006-08-14,0.9487
2006-08-15,0.9456
2006-08-16,0.9432
2006-08-17,0.945
2006-08-18,0.9324
2006-08-21,0.9528
2006-08-22,0.9498
2006-08-23,0.9703
2006-08-24,0.9877
2006-08-25,1.0084
2006-08-28,0.9967
2006-08-29,0.9949
2006-08-30,1.0386
