Date,EQY_DVD_YLD_12M
2006-01-03,0.9136
2006-01-04,0.9211
2006-01-05,0.9031
2006-01-06,0.906
2006-01-09,0.8448
2006-01-10,0.8366
2006-01-11,0.8154
2006-01-12,0.8325
2006-01-13,0.8379
2006-01-17,0.8527
2006-01-18,0.8438
2006-01-19,0.8685
2006-01-20,0.8854
2006-01-23,0.8889
2006-01-24,0.8863
2006-01-25,0.9946
2006-01-26,0.9827
2006-01-27,0.964
2006-01-30,0.9719
2006-01-31,0.9914
2006-02-01,1.0269
2006-02-02,1.0568
2006-02-03,1.0423
2006-02-06,1.0587
2006-02-07,1.0989
2006-02-08,1.1015
2006-02-09,1.1018
2006-02-10,1.1233
2006-02-13,1.1360000000000001
2006-02-14,1.1185
2006-02-15,1.0908
2006-02-16,1.0562
2006-02-17,1.0725
2006-02-21,1.0556
2006-02-22,1.0084
2006-02-23,1.0232
2006-02-24,1.0249
2006-02-27,1.0502
2006-02-28,1.0847
2006-03-01,1.0934
2006-03-02,1.1012
2006-03-03,1.1308
2006-03-06,1.1452
2006-03-07,1.1724
2006-03-08,1.178
2006-03-09,1.192
2006-03-10,1.1665
2006-03-13,1.1727
2006-03-14,1.0986
2006-03-15,1.1111
2006-03-16,1.0898
2006-03-17,1.07
2006-03-20,1.1075
2006-03-21,1.1437
2006-03-22,1.1409
2006-03-23,1.1051
2006-03-24,1.0914
2006-03-27,1.0976
2006-03-28,1.0937000000000001
2006-03-29,1.0889
2006-03-30,1.1058
2006-03-31,1.1138
2006-04-03,1.0986
2006-04-04,1.0927
2006-04-05,1.0517
2006-04-06,1.0641
2006-04-07,1.0725
2006-04-10,1.0876
2006-04-11,1.0866
2006-04-12,1.1192
2006-04-13,1.1205
2006-04-17,1.1078000000000001
2006-04-18,1.0835
2006-04-19,1.1028
2006-04-20,1.1161
2006-04-21,1.142
2006-04-24,1.1694
2006-04-25,1.2005
2006-04-26,1.181
2006-04-27,1.2195
2006-04-28,1.2325
2006-05-01,1.2441
2006-05-02,1.2568
2006-05-03,1.3005
2006-05-04,1.3185
2006-05-05,1.2772999999999999
2006-05-08,1.3094000000000001
2006-05-09,1.3075999999999999
2006-05-10,1.2772999999999999
2006-05-11,1.3054000000000001
2006-05-12,1.3081
2006-05-15,1.3385
2006-05-16,1.3709
2006-05-17,1.4079
2006-05-18,1.3818
2006-05-19,1.4032
2006-05-22,1.4421
2006-05-23,1.4074
2006-05-24,1.4032
2006-05-25,1.3899
2006-05-26,1.3864
2006-05-30,1.4383
2006-05-31,1.4416
2006-06-01,1.4205999999999999
2006-06-02,1.4526
2006-06-05,1.5316
2006-06-06,1.6232
2006-06-07,1.6301999999999999
2006-06-08,1.6225
2006-06-09,1.592
2006-06-12,1.6232
2006-06-13,1.6239
2006-06-14,1.6054
2006-06-15,1.5267
2006-06-16,1.541
2006-06-19,1.5827
2006-06-20,1.6239
2006-06-21,1.5735000000000001
2006-06-22,1.6101999999999999
2006-06-23,1.6061
2006-06-26,1.5574
2006-06-27,1.6205
2006-06-28,1.6162999999999998
2006-06-29,1.5651000000000002
2006-06-30,1.5953
2006-07-03,1.5933000000000002
2006-07-05,1.6162999999999998
2006-07-06,1.596
2006-07-07,1.5899999999999999
2006-07-10,1.617
2006-07-11,1.6515
2006-07-12,1.6644999999999999
2006-07-13,1.6623
2006-07-14,1.7925
2006-07-17,1.834
2006-07-18,1.9
2006-07-19,1.8225
2006-07-20,1.9
2006-07-21,1.9
2006-07-24,1.8859
2006-07-25,1.7799
2006-07-26,1.7908
2006-07-27,1.8087
2006-07-28,1.7407
2006-07-31,1.7732
2006-08-01,1.7957999999999998
2006-08-02,1.774
2006-08-03,1.6799
2006-08-04,1.6733
2006-08-07,1.6689
2006-08-08,1.7344
2006-08-09,1.8366
2006-08-10,1.8331
2006-08-11,1.8673
2006-08-14,1.9
2006-08-15,1.8357
2006-08-16,1.7407
2006-08-17,2.0183
2006-08-18,2.0046
2006-08-21,2.0503
2006-08-22,2.0437
2006-08-23,2.0932
2006-08-24,2.0561
2006-08-25,2.0677
2006-08-28,2.0137
2006-08-29,2.011
2006-08-30,2.0211
2006-08-31,2.0064
2006-09-01,1.9955
2006-09-05,2.0183
2006-09-06,2.0952
2006-09-07,2.0745
2006-09-08,1.9990999999999999
2006-09-11,1.9687000000000001
2006-09-12,1.8613
2006-09-13,1.8605
2006-09-14,1.8340999999999998
2006-09-15,1.8077
2006-09-18,1.8136999999999999
2006-09-19,1.8288
2006-09-20,1.866
2006-09-21,1.9072
2006-09-22,1.8723
2006-09-25,1.804
2006-09-26,1.7699
2006-09-27,1.7879
2006-09-28,1.7886
2006-09-29,1.8372000000000002
2006-10-02,1.7989000000000002
2006-10-03,1.8692
2006-10-04,1.8340999999999998
2006-10-05,1.8441
2006-10-06,1.8652
2006-10-09,1.8456000000000001
2006-10-10,1.7771
2006-10-11,1.8189
2006-10-12,1.7742
2006-10-13,1.8418
2006-10-16,1.8317999999999999
2006-10-17,1.8692
2006-10-18,1.8811
2006-10-19,2.1295
2006-10-20,2.1524
2006-10-23,2.172
2006-10-24,2.1204
2006-10-25,2.0859
2006-10-26,2.0408
2006-10-27,2.1053
2006-10-30,2.1213
2006-10-31,2.134
2006-11-01,2.157
2006-11-02,2.172
2006-11-03,2.1997
2006-11-06,2.1844
2006-11-07,2.2292
2006-11-08,2.2727
2006-11-09,2.3159
2006-11-10,2.2252
2006-11-13,2.2341
2006-11-14,2.0408
2006-11-15,2.0064
2006-11-16,2.004
2006-11-17,1.992
2006-11-20,2.0276
2006-11-21,2.0032
2006-11-22,1.9508
2006-11-24,1.9562
2006-11-27,1.9992
2006-11-28,2.0161
2006-11-29,1.9693
2006-11-30,1.8769
2006-12-01,1.8803999999999998
2006-12-04,1.9019
2006-12-05,1.8776000000000002
2006-12-06,1.8162
2006-12-07,1.8376000000000001
2006-12-08,1.8748
2006-12-11,1.8678
2006-12-12,1.8692
2006-12-13,1.8671
2006-12-14,1.8769
2006-12-15,1.8437000000000001
2006-12-18,1.865
2006-12-19,1.8889
2006-12-20,1.9011
2006-12-21,1.9077
2006-12-22,1.9238
2006-12-26,1.915
2006-12-27,1.8811
2006-12-28,1.8797000000000001
2006-12-29,1.8875
2007-01-03,1.9201000000000001
2007-01-04,1.9245999999999999
2007-01-05,1.935
2007-01-08,1.9693
2007-01-09,1.9630999999999998
2007-01-10,1.9662
2007-01-11,1.9253
2007-01-12,1.8939
2007-01-16,1.8975
2007-01-17,1.8538999999999999
2007-01-18,1.8457
2007-01-19,1.8162
2007-01-22,1.843
2007-01-23,1.7624
2007-01-24,1.913
2007-01-25,1.9468999999999999
2007-01-26,1.9769999999999999
2007-01-29,1.9713
2007-01-30,1.9769999999999999
2007-01-31,1.8925999999999998
2007-02-01,1.8395000000000001
2007-02-02,1.7822
2007-02-05,1.8122
2007-02-06,1.8352
2007-02-07,1.8556
