Date,EQY_DVD_YLD_12M
2006-01-03,3.3855
2006-01-04,3.3766
2006-01-05,3.4585
2006-01-06,3.4245
2006-01-09,3.4328
2006-01-10,3.4027
2006-01-11,3.4205
2006-01-12,3.4572
2006-01-13,3.4311
2006-01-17,3.3753
2006-01-18,3.3963
2006-01-19,3.3454
2006-01-20,3.4079
2006-01-23,3.4302
2006-01-24,3.4249
2006-01-25,3.4769
2006-01-26,3.5497
2006-01-27,3.561
2006-01-30,3.5431
2006-01-31,3.5483000000000002
2006-02-01,3.5286
2006-02-02,3.5577
2006-02-03,3.5709999999999997
2006-02-06,3.5653
2006-02-07,3.5709999999999997
2006-02-08,3.56
2006-02-09,3.552
2006-02-10,3.6002
2006-02-13,3.6265
2006-02-14,3.6388
2006-02-15,3.63
2006-02-16,3.5939
2006-02-17,3.5853
2006-02-21,3.5417
2006-02-22,3.601
2006-02-23,3.6369
2006-02-24,3.6315
2006-02-27,3.5842
2006-02-28,3.5952
2006-03-01,3.6159
2006-03-02,3.6324
2006-03-03,3.6561
2006-03-06,3.7464
2006-03-07,3.7521
2006-03-08,3.7401
2006-03-09,3.7683
2006-03-10,3.781
2006-03-13,3.7464
2006-03-14,3.6946
2006-03-15,3.7047
2006-03-16,3.6561
2006-03-17,3.686
2006-03-20,3.7474
2006-03-21,3.7631
2006-03-22,3.7504999999999997
2006-03-23,3.8007
2006-03-24,3.7736
2006-03-27,3.8244
2006-03-28,3.8352
2006-03-29,3.838
2006-03-30,3.8737
2006-03-31,3.9112999999999998
2006-04-03,3.8352
2006-04-04,3.7652
2006-04-05,3.7536
2006-04-06,3.7794
2006-04-07,3.805
2006-04-10,3.75
2006-04-11,3.7683
2006-04-12,3.7762000000000002
2006-04-13,3.8152
2006-04-17,3.7948
2006-04-18,3.677
2006-04-19,3.675
2006-04-20,3.6790000000000003
2006-04-21,3.6344
2006-04-24,3.6462
2006-04-25,3.6398
2006-04-26,3.629
2006-04-27,3.5919
2006-04-28,3.6063
2006-05-01,3.6324
2006-05-02,3.613
2006-05-03,3.6261
2006-05-04,3.6310000000000002
2006-05-05,3.5573
2006-05-08,3.6067
2006-05-09,3.6359
2006-05-10,3.5747
2006-05-11,3.5938
2006-05-12,3.67
2006-05-15,3.6814999999999998
2006-05-16,3.7195
2006-05-17,3.7589
2006-05-18,3.762
2006-05-19,3.6654999999999998
2006-05-22,3.6765
2006-05-23,3.7293
2006-05-24,3.7641
2006-05-25,3.7432
2006-05-26,3.7057
2006-05-30,3.737
2006-05-31,3.7476000000000003
2006-06-01,3.7123
2006-06-02,3.6658
2006-06-05,3.6856
2006-06-06,3.6806
2006-06-07,3.7337
2006-06-08,3.7439999999999998
2006-06-09,3.7363
2006-06-12,3.726
2006-06-13,3.7382999999999997
2006-06-14,3.7878
2006-06-15,3.7057
2006-06-16,3.6747
2006-06-19,3.7296
2006-06-20,3.7466
2006-06-21,3.7445
2006-06-22,3.7809
2006-06-23,3.7424
2006-06-26,3.6931000000000003
2006-06-27,3.7189
2006-06-28,3.7037
2006-06-29,3.6141
2006-06-30,3.6368
2006-07-03,3.5965
2006-07-05,3.6243
2006-07-06,3.6079
2006-07-07,3.6089
2006-07-10,3.6026
2006-07-11,3.5998
2006-07-12,3.6199
2006-07-13,3.6267
2006-07-14,3.5974
2006-07-17,3.5893
2006-07-18,3.6257
2006-07-19,3.5556
2006-07-20,3.5219
2006-07-21,3.4997
2006-07-24,3.511
2006-07-25,3.4849
2006-07-26,3.4579
2006-07-27,3.4769
2006-07-28,3.4606
2006-07-31,3.4659
2006-08-01,3.4596999999999998
2006-08-02,3.4805
2006-08-03,3.4712
2006-08-04,3.4492
2006-08-07,3.5033
2006-08-08,3.4863
2006-08-09,3.4474
2006-08-10,3.4378
2006-08-11,3.4313000000000002
2006-08-14,3.4409
2006-08-15,3.4137
2006-08-16,3.4535
2006-08-17,3.4769
2006-08-18,3.4313000000000002
2006-08-21,3.4205
2006-08-22,3.4043
2006-08-23,3.4374000000000002
2006-08-24,3.3869
2006-08-25,3.363
2006-08-28,3.3539
2006-08-29,3.3448
2006-08-30,3.4552
2006-08-31,3.4297
2006-09-01,3.4431
2006-09-05,3.4465
2006-09-06,3.4927
2006-09-07,3.5052
2006-09-08,3.5259
2006-09-11,3.5659
2006-09-12,3.5756
2006-09-13,3.5598
2006-09-14,3.5798
2006-09-15,3.5511
2006-09-18,3.5645
2006-09-19,3.5524
2006-09-20,3.5761
2006-09-21,3.5557
2006-09-22,3.5911
2006-09-25,3.5483000000000002
2006-09-26,3.5378
2006-09-27,3.4971
2006-09-28,3.5501
2006-09-29,3.5822000000000003
2006-10-02,3.5728
2006-10-03,3.57
2006-10-04,3.5686
2006-10-05,3.5742000000000003
2006-10-06,3.5953
2006-10-09,3.5883000000000003
2006-10-10,3.5423
2006-10-11,3.5318
2006-10-12,3.5237
2006-10-13,3.5196
2006-10-16,3.5003
2006-10-17,3.4985
2006-10-18,3.4936
2006-10-19,3.4422
2006-10-20,3.4182
2006-10-23,3.3872999999999998
2006-10-24,3.3911
2006-10-25,3.3624
2006-10-26,3.3669000000000002
2006-10-27,3.3978
2006-10-30,3.4003
2006-10-31,3.3830999999999998
2006-11-01,3.2771
2006-11-02,3.3830999999999998
2006-11-03,3.3966
2006-11-06,3.4353
2006-11-07,3.4199
2006-11-08,3.3936
2006-11-09,3.3806
2006-11-10,3.3736
2006-11-13,3.3744
2006-11-14,3.4046
2006-11-15,3.4101
2006-11-16,3.408
2006-11-17,3.3877
2006-11-20,3.3869
2006-11-21,3.3877
2006-11-22,3.3806
2006-11-24,3.3827
2006-11-27,3.3944
2006-11-28,3.3872999999999998
2006-11-29,3.418
2006-11-30,3.4184
2006-12-01,3.4125
2006-12-04,3.4061
2006-12-05,3.3994
2006-12-06,3.4011
2006-12-07,3.4019
2006-12-08,3.4019
2006-12-11,3.3999
2006-12-12,3.3824
2006-12-13,3.3398
2006-12-14,3.3341
2006-12-15,3.3293
2006-12-18,3.3491
2006-12-19,3.3125
2006-12-20,3.3483
2006-12-21,3.3568
2006-12-22,3.3511
2006-12-26,3.3257
2006-12-27,3.2873
2006-12-28,3.2849
2006-12-29,3.292
2007-01-03,3.2995
2007-01-04,3.3078
2007-01-05,3.356
2007-01-08,3.3712
2007-01-09,3.377
2007-01-10,3.3865
2007-01-11,3.4129
2007-01-12,3.45
2007-01-16,3.4478
2007-01-17,3.4457
2007-01-18,3.4358
2007-01-19,3.4175
2007-01-22,3.4277
2007-01-23,3.4137
2007-01-24,3.3642
2007-01-25,3.3708
2007-01-26,3.363
2007-01-29,3.3691
2007-01-30,3.3495
2007-01-31,3.3269
2007-02-01,3.2782999999999998
2007-02-02,3.1893
2007-02-05,3.19
2007-02-06,3.1673
2007-02-07,3.1728
2007-02-08,3.155
2007-02-09,3.1557
2007-02-12,3.1525
2007-02-13,3.179
2007-02-14,3.1794000000000002
2007-02-15,3.1797
2007-02-16,3.1885
2007-02-20,3.1981
2007-02-21,3.2557
2007-02-22,3.2572
2007-02-23,3.2446
2007-02-26,3.1811
2007-02-27,3.2641
2007-02-28,3.2503
2007-03-01,3.248
2007-03-02,3.2706
2007-03-05,3.3166
2007-03-06,3.2829
2007-03-07,3.2763999999999998
2007-03-08,3.2903000000000002
2007-03-09,3.2864
2007-03-12,3.2427
2007-03-13,3.2806
2007-03-14,3.2822
2007-03-15,3.2545
2007-03-16,3.2717
2007-03-19,3.2247
2007-03-20,3.1717
2007-03-21,3.1356
2007-03-22,3.1377
2007-03-23,3.1268
2007-03-26,3.1121
2007-03-27,3.1194
2007-03-28,3.1388
2007-03-29,3.1189999999999998
2007-03-30,3.1317
2007-04-02,3.0889
2007-04-03,3.0896
2007-04-04,3.1037
2007-04-05,3.0841
2007-04-09,3.082
2007-04-10,3.0745
2007-04-11,3.0934
2007-04-12,3.1048
2007-04-13,3.1187
2007-04-16,3.1061
2007-04-17,3.1148
2007-04-18,3.1327
2007-04-19,3.1208
2007-04-20,3.0597
2007-04-23,3.0339
2007-04-24,3.0373
2007-04-25,3.008
2007-04-26,3.0109
2007-04-27,3.0366
2007-04-30,3.0482
2007-05-01,3.0139
2007-05-02,3.0208
2007-05-03,3.0503
2007-05-04,3.061
2007-05-07,3.0739
2007-05-08,3.0992
2007-05-09,3.0824
2007-05-10,3.1183
2007-05-11,3.0708
2007-05-14,3.0728
2007-05-15,3.0848
2007-05-16,3.064
2007-05-17,3.0779
2007-05-18,3.0529
