Date,EQY_DVD_YLD_12M
2009-12-17,0.5346
2009-12-18,0.5325
2009-12-21,0.5295
2009-12-22,0.5247
2009-12-23,0.5174
2009-12-24,0.5155
2009-12-28,0.5144
2009-12-29,0.5169
2009-12-30,0.5205
2009-12-31,0.53
2010-01-04,0.5155
2010-01-05,0.5216
2010-01-06,0.5102
2010-01-07,0.5158
2010-01-08,0.5196
2010-01-11,0.523
2010-01-12,0.5317
2010-01-13,0.5271
2010-01-14,0.5263
2010-01-15,0.5274
2010-01-19,0.5282
2010-01-20,0.5293
2010-01-21,0.5405
2010-01-22,0.5482
2010-01-25,0.5482
2010-01-26,0.5468
2010-01-27,0.5455
2010-01-28,0.5433
2010-01-29,0.5423
2010-02-01,0.5396
2010-02-02,0.5346
2010-02-03,0.5346
2010-02-04,0.5589
2010-02-05,0.5535
2010-02-08,0.5589
2010-02-09,0.5585
2010-02-10,0.5589
2010-02-11,0.5521
2010-02-12,0.5539
2010-02-16,0.5466
2010-02-17,0.5247
2010-02-18,0.5148
2010-02-19,0.5185
2010-02-22,0.5236
2010-02-23,0.5278
2010-02-24,0.5236
2010-02-25,0.4713
2010-02-26,0.4724
2010-03-01,0.4811
2010-03-02,0.4762
2010-03-03,0.4739
2010-03-04,0.4695
2010-03-05,0.4637
2010-03-08,0.4566
2010-03-09,0.4482
2010-03-10,0.4458
2010-03-11,0.4282
2010-03-12,0.4289
2010-03-15,0.4292
2010-03-16,0.4113
2010-03-17,0.4089
2010-03-18,0.8181
2010-03-19,0.8292
2010-03-22,0.8152
2010-03-23,0.8203
2010-03-24,0.8258
2010-03-25,0.8303
2010-03-26,0.838
2010-03-29,0.8418
2010-03-30,0.842
2010-03-31,0.853
2010-04-01,0.8455
2010-04-05,0.8458
2010-04-06,0.8463
2010-04-07,0.8584
2010-04-08,0.8518
2010-04-09,0.8535
2010-04-12,0.8567
2010-04-13,0.8603
2010-04-14,0.8633
2010-04-15,0.8764
2010-04-16,0.8816
2010-04-19,0.88
2010-04-20,0.8821
2010-04-21,0.8878
2010-04-22,0.8982
2010-04-23,0.8931
2010-04-26,0.8813
2010-04-27,0.9031
2010-04-28,0.8953
2010-04-29,0.8734
2010-04-30,0.9166
2010-05-03,0.8774
2010-05-04,0.9028
2010-05-05,0.8826
2010-05-06,0.8729
2010-05-07,0.8399
2010-05-10,0.8192
2010-05-11,0.8157
2010-05-12,0.7922
2010-05-13,0.7918
2010-05-14,0.8054
2010-05-17,0.7895
2010-05-18,0.787
2010-05-19,0.788
2010-05-20,0.8271
2010-05-21,0.817
2010-05-24,0.8146
2010-05-25,0.8084
2010-05-26,0.8045
2010-05-27,0.786
2010-05-28,0.7924
2010-06-01,0.7968
2010-06-02,0.7907
2010-06-03,0.8065
2010-06-04,0.8221
2010-06-07,0.8368
2010-06-08,0.821
2010-06-09,0.8301
2010-06-10,0.8137
2010-06-11,0.8045
2010-06-14,0.8013
2010-06-15,0.7941
2010-06-16,0.7891
2010-06-17,1.4383
2010-06-18,1.4489
2010-06-21,1.4421
2010-06-22,1.4698
2010-06-23,1.4748999999999999
2010-06-24,1.4793
2010-06-25,1.504
2010-06-28,1.4447
2010-06-29,1.4554
2010-06-30,1.471
2010-07-01,1.4689999999999999
2010-07-02,1.4753
2010-07-06,1.4485000000000001
2010-07-07,1.4474
2010-07-08,1.4398
2010-07-09,1.4271
2010-07-12,1.4256
2010-07-13,1.4045
2010-07-14,1.4013
2010-07-15,1.411
2010-07-16,1.4379
2010-07-19,1.4146
2010-07-20,1.3889
2010-07-21,1.4146
2010-07-22,1.3889
2010-07-23,1.3812
2010-07-26,1.3716
2010-07-27,1.3854
2010-07-28,1.4386999999999999
2010-07-29,1.4817
2010-07-30,1.4647000000000001
2010-08-02,1.4585
2010-08-03,1.4616
2010-08-04,1.4562
2010-08-05,1.4748999999999999
2010-08-06,1.4917
2010-08-09,1.4974
2010-08-10,1.4761
2010-08-11,1.4925
2010-08-12,1.4868999999999999
2010-08-13,1.4929000000000001
2010-08-16,1.4938
2010-08-17,1.4958
2010-08-18,1.4897
2010-08-19,1.4946
2010-08-20,1.4962
2010-08-23,1.5056
2010-08-24,1.4905
2010-08-25,1.4777
2010-08-26,1.4837
2010-08-27,1.4714
2010-08-30,1.4865
2010-08-31,1.4938
2010-09-01,1.4585
2010-09-02,1.4455
2010-09-03,1.436
2010-09-07,1.4402
2010-09-08,1.4424000000000001
2010-09-09,1.5453999999999999
2010-09-10,1.5836000000000001
2010-09-13,1.5777
2010-09-14,1.5878
2010-09-15,1.5449000000000002
2010-09-16,2.2734
2010-09-17,2.2656
2010-09-20,2.2605
2010-09-21,2.2989
2010-09-22,2.3236
2010-09-23,2.3571
2010-09-24,2.289
2010-09-27,2.2975
2010-09-28,2.2396
2010-09-29,2.2612
2010-09-30,2.2523
2010-10-01,2.2786
2010-10-04,2.3095
2010-10-05,2.2542
2010-10-06,2.2805
2010-10-07,2.3121
2010-10-08,2.3035
2010-10-11,2.2936
2010-10-12,2.3002000000000002
2010-10-13,2.2637
2010-10-14,2.2838
2010-10-15,2.2877
2010-10-18,2.3283
2010-10-19,2.3606
2010-10-20,2.2786
2010-10-21,2.2309
2010-10-22,2.229
2010-10-25,2.2241
2010-10-26,2.2415
2010-10-27,2.193
2010-10-28,2.1918
2010-10-29,2.1864
2010-11-01,2.1875999999999998
2010-11-02,2.1494
2010-11-03,2.1592000000000002
2010-11-04,2.1494
2010-11-05,2.1534
2010-11-08,2.187
2010-11-09,2.2167
2010-11-10,2.1894
2010-11-11,2.2106
2010-11-12,2.2112
2010-11-15,2.1875999999999998
2010-11-16,2.196
2010-11-17,2.1966
2010-11-18,2.1558
2010-11-19,2.1064
2010-11-22,2.1008
2010-11-23,2.1408
2010-11-24,2.1243
2010-11-26,2.1453
2010-11-29,2.1875999999999998
2010-11-30,2.184
2010-12-01,2.1587
2010-12-02,2.117
2010-12-03,2.1254
2010-12-06,2.1692
2010-12-07,2.1781
2010-12-08,2.1864
2010-12-09,2.126
2010-12-10,2.1379
2010-12-13,2.1598
2010-12-14,2.1459
2010-12-15,2.1477
2010-12-16,2.4252000000000002
2010-12-17,2.3703
2010-12-20,2.4324
2010-12-21,2.4436999999999998
2010-12-22,2.4787
2010-12-23,2.4834
2010-12-27,2.4979
2010-12-28,2.5
2010-12-29,2.5140000000000002
2010-12-30,2.5231
2010-12-31,2.5597
2011-01-03,2.5431
2011-01-04,2.5352
2011-01-05,2.4828
2011-01-06,2.4604
2011-01-07,2.5395
2011-01-10,2.5656
2011-01-11,2.526
2011-01-12,2.5098000000000003
2011-01-13,2.5175
2011-01-14,2.5316
2011-01-18,2.5467
2011-01-19,2.5438
2011-01-20,2.57
2011-01-21,2.5583
2011-01-24,2.5758
2011-01-25,2.5409
2011-01-26,2.5445
2011-01-27,2.5409
2011-01-28,2.5832
2011-01-31,2.5402
2011-02-01,2.5460000000000003
2011-02-02,2.5431
2011-02-03,2.5517
2011-02-04,2.5253
2011-02-07,2.5202999999999998
2011-02-08,2.5525
2011-02-09,2.5583
2011-02-10,2.6502
2011-02-11,2.6502
2011-02-14,2.6682
2011-02-15,2.6471
2011-02-16,2.6277
2011-02-17,2.4862
2011-02-18,2.4718
2011-02-22,2.5140000000000002
2011-02-23,2.5316
2011-02-24,2.5112
2011-02-25,2.4705
2011-02-28,2.4958
2011-03-01,2.4651
2011-03-02,2.4712
2011-03-03,2.4122
2011-03-04,2.4058
2011-03-07,2.4096
2011-03-08,2.3949
2011-03-09,2.3703
2011-03-10,2.4154999999999998
2011-03-11,2.4019
2011-03-14,2.3872999999999998
2011-03-15,2.4051
2011-03-16,2.4331
2011-03-17,2.6837999999999997
2011-03-18,2.6399
2011-03-21,2.7027
2011-03-22,2.6752000000000002
2011-03-23,2.6525
2011-03-24,2.6399
2011-03-25,2.6399
2011-03-28,2.6802
2011-03-29,2.6631
2011-03-30,2.6731
2011-03-31,2.6911
2011-04-01,2.666
2011-04-04,2.6497
2011-04-05,2.6731
2011-04-06,2.6616999999999997
2011-04-07,2.656
2011-04-08,2.6695
2011-04-11,2.6212
2011-04-12,2.586
2011-04-13,2.594
2011-04-14,2.5867
2011-04-15,2.6103
2011-04-18,2.5947
2011-04-19,2.576
2011-04-20,2.5727
2011-04-21,2.5595
2011-04-25,2.5806
2011-04-26,2.5887000000000002
2011-04-27,2.4963
2011-04-28,2.524
2011-04-29,2.551
2011-05-02,2.5387
2011-05-03,2.5176
2011-05-04,2.5504
2011-05-05,2.5458
2011-05-06,2.5458
2011-05-09,2.5394
2011-05-10,2.5221
2011-05-11,2.454
2011-05-12,2.4143
2011-05-13,2.3935
2011-05-16,2.3889
2011-05-17,2.3685
2011-05-18,2.4015
2011-05-19,2.3652
2011-05-20,2.3753
2011-05-23,2.3866
