Date,EQY_DVD_YLD_12M
2006-01-03,1.9497
2006-01-04,1.9464
2006-01-05,1.9561
2006-01-06,1.9182
2006-01-09,1.9192
2006-01-10,1.9044
2006-01-11,1.8915
2006-01-12,1.9115
2006-01-13,1.8698
2006-01-17,1.8525
2006-01-18,1.8787
2006-01-19,1.8537
2006-01-20,1.8834
2006-01-23,1.8627
2006-01-24,1.8701
2006-01-25,1.8934
2006-01-26,1.9016
2006-01-27,1.86
2006-01-30,1.8064
2006-01-31,1.8167
2006-02-01,1.8402
2006-02-02,1.8402
2006-02-03,1.857
2006-02-06,1.8396
2006-02-07,1.8827
2006-02-08,1.9705
2006-02-09,1.986
2006-02-10,2.0024
2006-02-13,1.9966
2006-02-14,1.9983
2006-02-15,1.9913
2006-02-16,1.9751
2006-02-17,1.9653
2006-02-21,1.9585
2006-02-22,1.9748
2006-02-23,1.989
2006-02-24,1.9695
2006-02-27,1.986
2006-02-28,2.0044
2006-03-01,1.9722
2006-03-02,1.9556
2006-03-03,1.9515
2006-03-06,1.984
2006-03-07,1.9883
2006-03-08,1.993
2006-03-09,2.0197
2006-03-10,2.0108
2006-03-13,1.9953
2006-03-14,1.9569
2006-03-15,1.9502
2006-03-16,1.9306
2006-03-17,1.9492
2006-03-20,1.9618
2006-03-21,1.9598
2006-03-22,1.9492
2006-03-23,1.9429
2006-03-24,1.9454
2006-03-27,1.9416
2006-03-28,1.9524
2006-03-29,1.9419
2006-03-30,1.947
2006-03-31,1.9553
2006-04-03,1.9499
2006-04-04,1.9271
2006-04-05,1.9144
2006-04-06,1.9166
2006-04-07,1.9403
2006-04-10,1.9212
2006-04-11,1.9194
2006-04-12,1.9362
2006-04-13,1.9331
2006-04-17,1.9178
2006-04-18,1.8728
2006-04-19,1.8507
2006-04-20,1.8617
2006-04-21,1.8308
2006-04-24,1.8475
2006-04-25,1.8608
2006-04-26,1.8859
2006-04-27,1.9064
2006-04-28,1.8865
2006-05-01,1.8764
2006-05-02,1.8401
2006-05-03,1.8661
2006-05-04,1.8796
2006-05-05,1.8594
2006-05-08,1.8678
2006-05-09,1.8611
2006-05-10,1.9098
2006-05-11,1.9225
2006-05-12,1.9602
2006-05-15,1.9677
2006-05-16,1.969
2006-05-17,2.0273
2006-05-18,2.0371
2006-05-19,2.0182
2006-05-22,2.0072
2006-05-23,2.0202
2006-05-24,2.03
2006-05-25,1.9831
2006-05-26,1.9812
2006-05-30,2.0266
2006-05-31,2.003
2006-06-01,1.9964
2006-06-02,1.9789
2006-06-05,2.0316
2006-06-06,2.0199
2006-06-07,2.0741
2006-06-08,2.048
2006-06-09,2.0748
2006-06-12,2.0948
2006-06-13,2.1536
2006-06-14,2.1107
2006-06-15,2.0636
2006-06-16,2.0748
2006-06-19,2.1258
2006-06-20,2.1258
2006-06-21,2.1013
2006-06-22,2.1045
2006-06-23,2.0998
2006-06-26,2.0741
2006-06-27,2.0453
2006-06-28,1.9961
2006-06-29,1.9561
2006-06-30,1.9886
2006-07-03,1.963
2006-07-05,1.9504
2006-07-06,1.9222
2006-07-07,1.9414
2006-07-10,1.9353
2006-07-11,1.9068
2006-07-12,1.9071
2006-07-13,1.9042
2006-07-14,1.8798
2006-07-17,1.9062
2006-07-18,1.8883
2006-07-19,1.8868
2006-07-20,1.8988
2006-07-21,1.9083
2006-07-24,1.8666
2006-07-25,1.8558
2006-07-26,1.8318
2006-07-27,1.8354
2006-07-28,1.8209
2006-07-31,1.801
2006-08-01,1.7894
2006-08-02,1.7815
2006-08-03,1.7844
2006-08-04,1.7761
2006-08-07,1.7622
2006-08-08,1.7612
2006-08-09,1.7607
2006-08-10,1.8027
2006-08-11,1.7926
2006-08-14,1.8051
2006-08-15,1.8198
2006-08-16,1.8499
2006-08-17,1.8361
2006-08-18,1.809
2006-08-21,1.7901
2006-08-22,1.7804
2006-08-23,1.7952
2006-08-24,1.7675
2006-08-25,1.7748
2006-08-28,1.7832
2006-08-29,1.8009
2006-08-30,1.8302
2006-08-31,1.8472
2006-09-01,1.8355
2006-09-05,1.8254
2006-09-06,1.8607
2006-09-07,1.8467
2006-09-08,1.871
2006-09-11,1.9249
2006-09-12,1.932
2006-09-13,1.9125
2006-09-14,1.9317
2006-09-15,1.9335
2006-09-18,1.8854
2006-09-19,1.9084
2006-09-20,1.9498
2006-09-21,1.9296
2006-09-22,1.9257
2006-09-25,1.9213
2006-09-26,1.8817
2006-09-27,1.8621
2006-09-28,1.8529
2006-09-29,1.8629
2006-10-02,1.8657
2006-10-03,1.911
2006-10-04,1.8766
2006-10-05,1.8568
2006-10-06,1.8513
2006-10-09,1.8783
2006-10-10,1.8601
2006-10-11,1.8789
2006-10-12,1.8477
2006-10-13,1.8275
2006-10-16,1.7901
2006-10-17,1.8009
2006-10-18,1.8071
2006-10-19,1.7926
2006-10-20,1.7973
2006-10-23,1.7878
2006-10-24,1.7885
2006-10-25,1.7603
2006-10-26,1.7453
2006-10-27,1.7492
2006-10-30,1.7645
2006-10-31,1.7502
2006-11-01,1.7591
2006-11-02,1.7559
2006-11-03,1.7325
2006-11-06,1.7144
2006-11-07,1.7234
2006-11-08,1.6862
2006-11-09,1.7156
2006-11-10,1.72
2006-11-13,1.7197
2006-11-14,1.7193
2006-11-15,1.7112
2006-11-16,1.7614
2006-11-17,1.7515
2006-11-20,1.7672
2006-11-21,1.7441
2006-11-22,1.7556
2006-11-24,1.7684
2006-11-27,1.7662
2006-11-28,1.726
2006-11-29,1.6835
2006-11-30,1.6664
2006-12-01,1.658
2006-12-04,1.6459
2006-12-05,1.6398
2006-12-06,1.6774
2006-12-07,1.6907
2006-12-08,1.6954
2006-12-11,1.6985
2006-12-12,1.6787
2006-12-13,1.6546
2006-12-14,1.6258
2006-12-15,1.6559
2006-12-18,1.6951
2006-12-19,1.6626
2006-12-20,1.6824
2006-12-21,1.6871
2006-12-22,1.6974
2006-12-26,1.6831
2006-12-27,1.6632
2006-12-28,1.6552
2006-12-29,1.6704
2007-01-03,1.7272
2007-01-04,1.7602
2007-01-05,1.7477
2007-01-08,1.7619
2007-01-09,1.7756
2007-01-10,1.8031
2007-01-11,1.8033
2007-01-12,1.7616
2007-01-16,1.787
2007-01-17,1.7665
2007-01-18,1.7788
2007-01-19,1.7408
2007-01-22,1.7558
2007-01-23,1.7184
2007-01-24,1.7089
2007-01-25,1.741
2007-01-26,1.7389
2007-01-29,1.7486
2007-01-30,1.7207
2007-01-31,1.7274
2007-02-01,1.7048
2007-02-02,1.6945
2007-02-05,1.6916
2007-02-06,1.6963
2007-02-07,1.7115
2007-02-08,1.6963
2007-02-09,1.7017
2007-02-12,1.7158
2007-02-13,1.6965
2007-02-14,1.6931
2007-02-15,1.699
2007-02-16,1.7001
2007-02-20,1.7096
2007-02-21,1.7117
2007-02-22,1.7048
2007-02-23,1.7017
2007-02-26,1.6976
2007-02-27,1.782
2007-02-28,1.7857
2007-03-01,1.8031
2007-03-02,1.8283
2007-03-05,1.8291
2007-03-06,1.8028
2007-03-07,1.7867
2007-03-08,1.7815
2007-03-09,1.7998
2007-03-12,1.8061
2007-03-13,1.8309
2007-03-14,1.8023
2007-03-15,1.8107
2007-03-16,1.8322
2007-03-19,1.8003
2007-03-20,1.7778
2007-03-21,1.7479
2007-03-22,1.7214
2007-03-23,1.7061
2007-03-26,1.696
2007-03-27,1.6907
2007-03-28,1.694
2007-03-29,1.6789
2007-03-30,1.6965
2007-04-02,1.6807
2007-04-03,1.6667
2007-04-04,1.66
2007-04-05,1.6576
