Date,EQY_DVD_YLD_12M
2006-01-03,0.898
2006-01-04,0.8862
2006-01-05,0.8926
2006-01-06,0.8759
2006-01-09,0.8666
2006-01-10,0.846
2006-01-11,0.8441
2006-01-12,0.8441
2006-01-13,0.8436
2006-01-17,0.8264
2006-01-18,0.8363
2006-01-19,0.8287
2006-01-20,0.8278
2006-01-23,0.8219
2006-01-24,0.8185
2006-01-25,0.8082
2006-01-26,0.8157
2006-01-27,0.7997
2006-01-30,0.7803
2006-01-31,0.7752
2006-02-01,0.8072
2006-02-02,0.8143
2006-02-03,0.829
2006-02-06,0.806
2006-02-07,0.8374
2006-02-08,0.8379
2006-02-09,0.8662
2006-02-10,0.8679
2006-02-13,0.8584
2006-02-14,0.8731
2006-02-15,0.8852
2006-02-16,0.8753
2006-02-17,0.8576
2006-02-21,0.8383
2006-02-22,0.8493
2006-02-23,0.8486
2006-02-24,0.8499
2006-02-27,0.8606
2006-02-28,0.8676
2006-03-01,0.8456
2006-03-02,0.8302
2006-03-03,0.8341
2006-03-06,0.8628
2006-03-07,0.8696
2006-03-08,0.868
2006-03-09,0.8796
2006-03-10,0.8653
2006-03-13,0.8457
2006-03-14,0.8423
2006-03-15,0.8357
2006-03-16,0.8255
2006-03-17,0.8351
2006-03-20,0.8542
2006-03-21,0.8597
2006-03-22,0.8615
2006-03-23,0.8623
2006-03-24,0.8532
2006-03-27,0.8448
2006-03-28,0.8491
2006-03-29,0.8419
2006-03-30,0.8412
2006-03-31,0.8427
2006-04-03,0.8528
2006-04-04,0.8302
2006-04-05,0.8095
2006-04-06,0.8032
2006-04-07,0.8228
2006-04-10,0.8122
2006-04-11,0.8264
2006-04-12,0.834
2006-04-13,0.8416
2006-04-17,0.8333
2006-04-18,0.8233
2006-04-19,0.8074
2006-04-20,0.8101
2006-04-21,0.777
2006-04-24,0.7978
2006-04-25,0.8002
2006-04-26,0.8392
2006-04-27,0.8521
2006-04-28,0.8376
2006-05-01,0.818
2006-05-02,0.8024
2006-05-03,0.8065
2006-05-04,0.829
2006-05-05,0.8234
2006-05-08,0.8368
2006-05-09,0.8276
2006-05-10,0.8086
2006-05-11,0.8119
2006-05-12,0.8274
2006-05-15,0.8451
2006-05-16,0.8418
2006-05-17,0.8356
2006-05-18,0.8518
2006-05-19,0.8463
2006-05-22,0.853
2006-05-23,0.8503
2006-05-24,0.851
2006-05-25,0.8277
2006-05-26,0.818
2006-05-30,0.827
2006-05-31,0.8
2006-06-01,0.801
2006-06-02,0.788
2006-06-05,0.8155
2006-06-06,0.8359
2006-06-07,0.8602
2006-06-08,0.8656
2006-06-09,0.8776
2006-06-12,0.8951
2006-06-13,0.9208
2006-06-14,0.9083
2006-06-15,0.8707
2006-06-16,0.8621
2006-06-19,0.8965
2006-06-20,0.9179
2006-06-21,0.8899
2006-06-22,0.8975
2006-06-23,0.8673
2006-06-26,0.8529
2006-06-27,0.8299
2006-06-28,0.7935
2006-06-29,0.7603
2006-06-30,0.7569
2006-07-03,0.7467
2006-07-05,0.7361
2006-07-06,0.7246
2006-07-07,0.7498
2006-07-10,0.7502
2006-07-11,0.7302
2006-07-12,0.7267
2006-07-13,0.7388
2006-07-14,0.714
2006-07-17,0.7519
2006-07-18,0.7529
2006-07-19,0.7407
2006-07-20,0.7666
2006-07-21,0.7893
2006-07-24,0.7498
2006-07-25,0.7502
2006-07-26,0.757
2006-07-27,0.7723
2006-07-28,0.7778
2006-07-31,0.7561
2006-08-01,0.7566
2006-08-02,0.7527
2006-08-03,0.7629
2006-08-04,0.7692
2006-08-07,0.7587
2006-08-08,0.759
2006-08-09,0.7477
2006-08-10,0.7767
2006-08-11,0.7701
2006-08-14,0.7913
2006-08-15,0.7952
2006-08-16,0.813
2006-08-17,0.8282
2006-08-18,0.8205
2006-08-21,0.8155
2006-08-22,0.8065
2006-08-23,0.8175
2006-08-24,0.8163
2006-08-25,0.8053
2006-08-28,0.8125
2006-08-29,0.8254
2006-08-30,0.8505
2006-08-31,0.8737
2006-09-01,0.8682
2006-09-05,0.843
2006-09-06,0.8925
2006-09-07,0.8869
2006-09-08,0.9137
2006-09-11,0.9503
2006-09-12,0.9711
2006-09-13,0.9643
2006-09-14,0.9926
2006-09-15,0.9963
2006-09-18,0.9583
2006-09-19,0.9847
2006-09-20,0.9978
2006-09-21,0.9804
2006-09-22,0.986
2006-09-25,0.9943
2006-09-26,0.9709
2006-09-27,0.9535
2006-09-28,0.9639
2006-09-29,0.9657
2006-10-02,0.9773
2006-10-03,1.0333
2006-10-04,1.0264
2006-10-05,1.0233
2006-10-06,1.0225
2006-10-09,1.039
2006-10-10,1.0109
2006-10-11,1.0083
2006-10-12,0.9911
2006-10-13,0.9655
2006-10-16,0.9346
2006-10-17,0.9438
2006-10-18,0.9627
2006-10-19,0.9492
2006-10-20,0.9394
2006-10-23,0.9667
2006-10-24,0.9423
2006-10-25,0.9139
2006-10-26,0.9296
2006-10-27,0.9236
2006-10-30,0.9749
2006-10-31,0.9434
2006-11-01,0.9407
2006-11-02,0.9425
2006-11-03,0.9122
2006-11-06,0.8911
2006-11-07,0.9107
2006-11-08,0.8973
2006-11-09,0.8822
2006-11-10,0.8889
2006-11-13,0.8842
2006-11-14,0.8743
2006-11-15,0.8558
2006-11-16,0.8828
2006-11-17,0.8688
2006-11-20,0.8803
2006-11-21,0.8718
2006-11-22,0.8814
2006-11-24,0.8826
2006-11-27,0.8641
2006-11-28,0.8247
2006-11-29,0.7982
2006-11-30,0.7957
2006-12-01,0.7952
2006-12-04,0.7904
2006-12-05,0.7989
2006-12-06,0.7778
2006-12-07,0.7765
2006-12-08,0.7706
2006-12-11,0.7793
2006-12-12,0.7787
2006-12-13,0.7813
2006-12-14,0.7618
2006-12-15,0.7656
2006-12-18,0.811
2006-12-19,0.8005
2006-12-20,0.7908
2006-12-21,0.7828
2006-12-22,0.7952
2006-12-26,0.7984
2006-12-27,0.7944
2006-12-28,0.7876
2006-12-29,0.8069
2007-01-03,0.8405
2007-01-04,0.8444
2007-01-05,0.8342
2007-01-08,0.8105
2007-01-09,0.8299
2007-01-10,0.8421
2007-01-11,0.8455
2007-01-12,0.816
2007-01-16,0.8217
2007-01-17,0.8122
2007-01-18,0.8198
2007-01-19,0.7918
2007-01-22,0.7913
2007-01-23,0.7731
2007-01-24,0.7762
2007-01-25,0.7865
2007-01-26,0.7701
2007-01-29,0.7676
2007-01-30,0.7579
2007-01-31,0.7409
2007-02-01,0.7334
2007-02-02,0.733
2007-02-05,0.7391
2007-02-06,0.7429
2007-02-07,0.7519
2007-02-08,0.7334
2007-02-09,0.7281
2007-02-12,0.7485
2007-02-13,0.7429
2007-02-14,0.741
2007-02-15,0.7424
2007-02-16,0.7371
2007-02-20,0.746
2007-02-21,0.7339
2007-02-22,0.7329
2007-02-23,0.7197
2007-02-26,0.7197
2007-02-27,0.7516
2007-02-28,0.7553
2007-03-01,0.752
2007-03-02,0.7779
2007-03-05,0.7918
2007-03-06,0.7767
2007-03-07,0.7666
2007-03-08,0.7612
2007-03-09,0.7576
2007-03-12,0.766
2007-03-13,0.7814
2007-03-14,0.7697
2007-03-15,0.7715
2007-03-16,0.7929
2007-03-19,0.7618
2007-03-20,0.7554
2007-03-21,0.7399
2007-03-22,0.717
2007-03-23,0.7145
2007-03-26,0.7093
2007-03-27,0.704
2007-03-28,0.703
2007-03-29,0.7029
2007-03-30,0.7211
2007-04-02,0.7078
2007-04-03,0.7106
2007-04-04,0.7114
2007-04-05,0.7106
2007-04-09,0.7262
2007-04-10,0.7095
2007-04-11,0.7092
2007-04-12,0.6942
2007-04-13,0.6912
2007-04-16,0.6897
2007-04-17,0.7026
2007-04-18,0.7116
2007-04-19,0.7123
2007-04-20,0.6949
2007-04-23,0.698
2007-04-24,0.7003
2007-04-25,0.6775
2007-04-26,0.696
2007-04-27,0.7015
2007-04-30,0.7048
2007-05-01,0.7046
2007-05-02,0.701
2007-05-03,0.6869
2007-05-04,0.6875
2007-05-07,0.6918
2007-05-08,0.688
2007-05-09,0.6845
2007-05-10,0.7036
2007-05-11,0.684
2007-05-14,0.6832
2007-05-15,0.685
2007-05-16,0.6846
2007-05-17,0.6795
2007-05-18,0.6702
2007-05-21,0.6602
2007-05-22,0.6744
2007-05-23,0.6616
2007-05-24,0.6772
2007-05-25,0.6636
2007-05-29,0.6653
2007-05-30,0.6557
2007-05-31,0.6754
2007-06-01,0.6638
2007-06-04,0.6614
2007-06-05,0.6715
2007-06-06,0.6804
2007-06-07,0.678
2007-06-08,0.6772
2007-06-11,0.679
2007-06-12,0.69
2007-06-13,0.6775
2007-06-14,0.668
2007-06-15,0.6557
2007-06-18,0.6621
2007-06-19,0.6722
2007-06-20,0.6888
2007-06-21,0.664
2007-06-22,0.6698
2007-06-25,0.6847
2007-06-26,0.7063
2007-06-27,0.7171
2007-06-28,0.705
2007-06-29,0.6784
2007-07-02,0.6724
2007-07-03,0.6657
2007-07-05,0.6593
2007-07-06,0.6563
2007-07-09,0.6486
2007-07-10,0.6329
2007-07-11,0.63
2007-07-12,0.6189
2007-07-13,0.605
2007-07-16,0.6087
2007-07-17,0.6089
2007-07-18,0.6017
2007-07-19,0.6032
2007-07-20,0.6122
2007-07-23,0.5994
2007-07-24,0.6189
2007-07-25,0.6008
2007-07-26,0.6412
2007-07-27,0.6591
2007-07-30,0.6474
2007-07-31,0.6536
2007-08-01,0.6649
2007-08-02,0.6677
2007-08-03,0.7068
2007-08-06,0.719
2007-08-07,0.6983
2007-08-08,0.6873
2007-08-09,0.6957
2007-08-10,0.6752
2007-08-13,0.6642
2007-08-14,0.6846
2007-08-15,0.7119
2007-08-16,0.7241
2007-08-17,0.6981
2007-08-20,0.6841
2007-08-21,0.7034
2007-08-22,0.6929
2007-08-23,0.6936
2007-08-24,0.6769
2007-08-27,0.6802
2007-08-28,0.6953
2007-08-29,0.674
2007-08-30,0.6824
2007-08-31,0.6518
2007-09-04,0.6442
2007-09-05,0.6485
2007-09-06,0.6352
2007-09-07,0.6488
2007-09-10,0.6595
2007-09-11,0.6406
2007-09-12,0.6233
2007-09-13,0.6248
2007-09-14,0.6315
2007-09-17,0.6306
2007-09-18,0.606
2007-09-19,0.6013
2007-09-20,0.6024
2007-09-21,0.5895
2007-09-24,0.5879
2007-09-25,0.5927
2007-09-26,0.5845
2007-09-27,0.5934
2007-09-28,0.6012
2007-10-01,0.5959
2007-10-02,0.6128
2007-10-03,0.6163
2007-10-04,0.6174
2007-10-05,0.6054
2007-10-08,0.6147
2007-10-09,0.6058
2007-10-10,0.6086
2007-10-11,0.6063
2007-10-12,0.5915
2007-10-15,0.5831
2007-10-16,0.5754
2007-10-17,0.5774
2007-10-18,0.5724
2007-10-19,0.5909
2007-10-22,0.6094
2007-10-23,0.5992
2007-10-24,0.5817
2007-10-25,0.5775
2007-10-26,0.5637
2007-10-29,0.5579
2007-10-30,0.5817
2007-10-31,0.5586
2007-11-01,0.5713
2007-11-02,0.5667
2007-11-05,0.5788
2007-11-06,0.5407
2007-11-07,0.5512
2007-11-08,0.5579
2007-11-09,0.558
2007-11-12,0.5976
2007-11-13,0.5822
2007-11-14,0.585
2007-11-15,0.6085
2007-11-16,0.5888
2007-11-19,0.5888
2007-11-20,0.5614
2007-11-21,0.5832
2007-11-23,0.5693
2007-11-26,0.5852
2007-11-27,0.6025
2007-11-28,0.5904
2007-11-29,0.575
2007-11-30,0.5616
2007-12-03,0.5349
2007-12-04,0.551
2007-12-05,0.536
2007-12-06,0.5072
2007-12-07,0.5087
2007-12-10,0.5111
