Date,EQY_DVD_YLD_12M
2006-01-03,1.4426
2006-01-04,1.4221
2006-01-05,1.4166
2006-01-06,1.4171
2006-01-09,1.3707
2006-01-10,1.372
2006-01-11,1.3832
2006-01-12,1.3784
2006-01-13,1.3889
2006-01-17,1.418
2006-01-18,1.423
2006-01-19,1.4309
2006-01-20,1.4332
2006-01-23,1.4244
2006-01-24,1.4216
2006-01-25,1.4314
2006-01-26,1.4008
2006-01-27,1.3802
2006-01-30,1.4071
2006-01-31,1.4066
2006-02-01,1.3986
2006-02-02,1.4171
2006-02-03,1.4152
2006-02-06,1.437
2006-02-07,1.4094
2006-02-08,1.3946
2006-02-09,1.3977
2006-02-10,1.3889
2006-02-13,1.3906
2006-02-14,1.3656
2006-02-15,1.4422
2006-02-16,1.4545
2006-02-17,1.474
2006-02-21,1.4941
2006-02-22,1.485
2006-02-23,1.5178
2006-02-24,1.4971
2006-02-27,1.5094
2006-02-28,1.5214
2006-03-01,1.5862
2006-03-02,1.59
2006-03-03,1.5721
2006-03-06,1.5625
2006-03-07,1.5641
2006-03-08,1.5599
2006-03-09,1.5716
2006-03-10,1.5514
2006-03-13,1.5562
2006-03-14,1.5257
2006-03-15,1.5237
2006-03-16,1.4664
2006-03-17,1.4858
2006-03-20,1.4925
2006-03-21,1.3203
2006-03-22,1.3299
2006-03-23,1.2856
2006-03-24,1.2958
2006-03-27,1.2969
2006-03-28,1.298
2006-03-29,1.2998
2006-03-30,1.2994
2006-03-31,1.3005
2006-04-03,1.3031
2006-04-04,1.2932
2006-04-05,1.3042
2006-04-06,1.3024
2006-04-07,1.3181
2006-04-10,1.3173
2006-04-11,1.3326
2006-04-12,1.326
2006-04-13,1.3218
2006-04-17,1.3276
2006-04-18,1.3264
2006-04-19,1.3276
2006-04-20,1.3333
2006-04-21,1.3384
2006-04-24,1.3399
2006-04-25,1.3514
2006-04-26,1.3207
2006-04-27,1.3395
2006-04-28,1.3392
2006-05-01,1.3392
2006-05-02,1.3372
2006-05-03,1.3357
2006-05-04,1.3218
2006-05-05,1.315
2006-05-08,1.3353
2006-05-09,1.3283
2006-05-10,1.4006
2006-05-11,1.3986
2006-05-12,1.4039
2006-05-15,1.4056
2006-05-16,1.4197
2006-05-17,1.4376
2006-05-18,1.4625
2006-05-19,1.3893
2006-05-22,1.3873
2006-05-23,1.4047
2006-05-24,1.426
2006-05-25,1.4172
2006-05-26,1.4118
2006-05-30,1.4815
2006-05-31,1.4797
2006-06-01,1.4907
2006-06-02,1.4879
2006-06-05,1.4977
2006-06-06,1.4769
2006-06-07,1.4724
2006-06-08,1.4674
2006-06-09,1.459
2006-06-12,1.4774
2006-06-13,1.4898
2006-06-14,1.5005
2006-06-15,1.4884
2006-06-16,1.5071
2006-06-19,1.5171
2006-06-20,1.5195
2006-06-21,1.5257
2006-06-22,1.5123
2006-06-23,1.5291
2006-06-26,1.5066
2006-06-27,1.538
2006-06-28,1.5409
2006-06-29,1.5094
2006-06-30,1.5099
2006-07-03,1.5137
2006-07-05,1.5166
2006-07-06,1.5123
2006-07-07,1.5199
2006-07-10,1.5047
2006-07-11,1.5128
2006-07-12,1.5355
2006-07-13,1.6277
2006-07-14,1.6563
2006-07-17,1.6807
2006-07-18,1.7082
2006-07-19,1.6667
2006-07-20,1.6901
2006-07-21,1.7015
2006-07-24,1.6644
2006-07-25,1.6467
2006-07-26,1.6478
2006-07-27,1.6615
2006-07-28,1.6266
2006-07-31,1.6216
2006-08-01,1.6512
2006-08-02,1.6512
2006-08-03,1.6162
2006-08-04,1.6027
2006-08-07,1.6005
2006-08-08,1.6156
2006-08-09,1.6162
2006-08-10,1.607
2006-08-11,1.6064
2006-08-14,1.6244
2006-08-15,1.6512
2006-08-16,1.6754
2006-08-17,1.641
2006-08-18,1.6107
2006-08-21,1.6134
2006-08-22,1.5947
2006-08-23,1.5784
2006-08-24,1.58
2006-08-25,1.5748
2006-08-28,1.5534
2006-08-29,1.5311
2006-08-30,1.5399
2006-08-31,1.5335
2006-09-01,1.5311
2006-09-05,1.5385
2006-09-06,1.5514
2006-09-07,1.5519
2006-09-08,1.5459
2006-09-11,1.5419
2006-09-12,1.4824
2006-09-13,1.4728
2006-09-14,1.4697
2006-09-15,1.4719
2006-09-18,1.4842
2006-09-19,1.476
2006-09-20,1.4665
2006-09-21,1.4679
2006-09-22,1.4769
2006-09-25,1.4701
2006-09-26,1.4603
2006-09-27,1.4625
2006-09-28,1.4679
2006-09-29,1.4797
2006-10-02,1.4879
2006-10-03,1.4765
2006-10-04,1.4648
2006-10-05,1.4893
2006-10-06,1.4888
2006-10-09,1.4838
2006-10-10,1.4692
2006-10-11,1.4661
2006-10-12,1.4484
2006-10-13,1.4471
2006-10-16,1.4484
2006-10-17,1.4559
2006-10-18,1.4484
2006-10-19,1.455
2006-10-20,1.4585
2006-10-23,1.4401
2006-10-24,1.4436
2006-10-25,1.4865
2006-10-26,1.481
2006-10-27,1.451
2006-10-30,1.4239
2006-10-31,1.4371
2006-11-01,1.4445
2006-11-02,1.4523
2006-11-03,1.455
2006-11-06,1.4541
2006-11-07,1.4341
2006-11-08,1.429
2006-11-09,1.4432
2006-11-10,1.4214
2006-11-13,1.4252
2006-11-14,1.4281
2006-11-15,1.4899
2006-11-16,1.4793
2006-11-17,1.4815
2006-11-20,1.4702
2006-11-21,1.4758
2006-11-22,1.4736
2006-11-24,1.4824
2006-11-27,1.4916
2006-11-28,1.497
2006-11-29,1.4925
2006-11-30,1.4881
2006-12-01,1.4961
2006-12-04,1.4736
2006-12-05,1.4837
2006-12-06,1.4837
2006-12-07,1.4934
2006-12-08,1.4975
2006-12-11,1.5078
2006-12-12,1.5101
2006-12-13,1.5042
2006-12-14,1.4684
2006-12-15,1.4775
2006-12-18,1.4916
2006-12-19,1.4993
2006-12-20,1.4689
2006-12-21,1.4948
2006-12-22,1.4925
2006-12-26,1.4934
2006-12-27,1.4854
2006-12-28,1.4934
2006-12-29,1.4957
2007-01-03,1.5097
2007-01-04,1.4877
2007-01-05,1.4934
2007-01-08,1.5188
2007-01-09,1.5129
2007-01-10,1.5078
2007-01-11,1.4775
2007-01-12,1.4802
2007-01-16,1.4793
2007-01-17,1.4921
2007-01-18,1.4393
2007-01-19,1.4188
2007-01-22,1.4434
2007-01-23,1.4468
2007-01-24,1.443
2007-01-25,1.4451
2007-01-26,1.4355
2007-01-29,1.4397
2007-01-30,1.4832
2007-01-31,1.4637
2007-02-01,1.4706
2007-02-02,1.4732
2007-02-05,1.481
2007-02-06,1.478
2007-02-07,1.4754
2007-02-08,1.4775
2007-02-09,1.4802
2007-02-12,1.4841
2007-02-13,1.4637
