Date,EQY_DVD_YLD_12M
2006-01-03,4.9781
2006-01-04,4.9877
2006-01-05,5.036
2006-01-06,5.0
2006-01-09,4.9645
2006-01-10,5.1018
2006-01-11,5.1261
2006-01-12,5.1607
2006-01-13,5.1347
2006-01-17,5.0511
2006-01-18,5.0385
2006-01-19,5.0123
2006-01-20,5.0552
2006-01-23,5.0137
2006-01-24,4.9796
2006-01-25,5.0989
2006-01-26,5.1261
2006-01-27,5.0721
2006-01-30,5.0876
2006-01-31,5.0947
2006-02-01,4.9891
2006-02-02,5.0455
2006-02-03,5.106
2006-02-06,5.1132
2006-02-07,5.1117
2006-02-08,5.1332
2006-02-09,5.1404
2006-02-10,5.0876
2006-02-13,5.0791
2006-02-14,5.0763
2006-02-15,5.0469
2006-02-16,5.058
2006-02-17,4.5286
2006-02-21,4.5421
2006-02-22,4.6096
2006-02-23,4.4536
2006-02-24,4.4192
2006-02-27,4.4897
2006-02-28,4.4908
2006-03-01,4.4908
2006-03-02,4.4842
2006-03-03,4.4853
2006-03-06,4.4831
2006-03-07,4.4656
2006-03-08,4.4798
2006-03-09,4.4721
2006-03-10,4.4743
2006-03-13,4.4689
2006-03-14,4.4787
2006-03-15,4.4798
2006-03-16,4.4864
2006-03-17,4.4798
2006-03-20,4.4809
2006-03-21,4.4798
2006-03-22,4.4809
2006-03-23,4.4765
2006-03-24,4.482
2006-03-27,4.4765
2006-03-28,4.4809
2006-03-29,4.4787
2006-03-30,4.4776
2006-03-31,4.4776
2006-04-03,4.4776
2006-04-04,4.4634
2006-04-05,4.4689
2006-04-06,4.4743
2006-04-07,4.4798
2006-04-10,4.5601
2006-04-11,4.5646
2006-04-12,4.5783
2006-04-13,4.5828
2006-04-17,4.5966
2006-04-18,4.5545
2006-04-19,4.5533
2006-04-20,4.5578
2006-04-21,4.5601
2006-04-24,4.5828
2006-04-25,4.584
2006-04-26,4.5771
2006-04-27,4.5545
2006-04-28,4.5567
2006-05-01,4.5533
2006-05-02,4.5578
2006-05-03,4.5466
2006-05-04,4.5556
2006-05-05,4.576
2006-05-08,4.5885
2006-05-09,4.584
2006-05-10,4.5692
2006-05-11,4.5794
2006-05-12,4.6
2006-05-15,4.576
2006-05-16,4.6
2006-05-17,4.6173
2006-05-18,4.6278
2006-05-19,4.6336
2006-05-22,4.6336
2006-05-23,4.6289
2006-05-24,4.5828
2006-05-25,4.5488
2006-05-26,4.5692
2006-05-30,4.6092
2006-05-31,4.5966
2006-06-01,4.6
2006-06-02,4.5977
2006-06-05,4.6081
2006-06-06,4.5828
2006-06-07,4.5851
2006-06-08,4.5443
2006-06-09,4.5714
2006-06-12,4.5533
2006-06-13,4.5862
2006-06-14,4.5714
2006-06-15,4.5817
2006-06-16,4.5771
2006-06-19,4.6023
2006-06-20,4.5874
2006-06-21,4.5748
2006-06-22,4.5567
2006-06-23,4.5714
2006-06-26,4.5692
2006-06-27,4.5874
2006-06-28,4.5748
2006-06-29,4.5545
2006-06-30,4.5545
2006-07-03,4.5432
2006-07-05,4.5624
2006-07-06,4.5455
2006-07-07,4.541
2006-07-10,4.6146
2006-07-11,4.602
2006-07-12,4.5815
2006-07-13,4.594
2006-07-14,4.5997
2006-07-17,4.6089
2006-07-18,4.5906
2006-07-19,4.5997
2006-07-20,4.6262
2006-07-21,4.6296
2006-07-24,4.6089
2006-07-25,4.594
2006-07-26,4.5702
2006-07-27,4.586
2006-07-28,4.5837
2006-07-31,4.594
2006-08-01,4.5522
2006-08-02,4.5611
2006-08-03,4.5533
2006-08-04,4.5645
2006-08-07,4.5792
2006-08-08,4.5837
2006-08-09,4.5668
2006-08-10,4.5611
2006-08-11,4.5623
2006-08-14,4.5645
2006-08-15,4.5623
2006-08-16,4.5803
2006-08-17,4.5724
2006-08-18,4.5792
2006-08-21,4.5724
2006-08-22,4.5679
2006-08-23,4.5567
2006-08-24,4.5377
2006-08-25,4.5455
2006-08-28,4.5365
2006-08-29,4.5277
2006-08-30,4.5277
2006-08-31,4.5122
2006-09-01,4.4925
2006-09-05,4.5001
2006-09-06,4.4838
2006-09-07,4.4859
2006-09-08,4.4816
2006-09-11,4.4848
2006-09-12,4.4881
2006-09-13,4.4838
2006-09-14,4.4968
2006-09-15,4.5023
2006-09-18,4.5056
2006-09-19,4.51
2006-09-20,4.5056
2006-09-21,4.4957
2006-09-22,4.5012
2006-09-25,4.4925
2006-09-26,4.4968
2006-09-27,4.5012
2006-09-28,4.5012
2006-09-29,4.4968
2006-10-02,4.487
2006-10-03,4.4936
2006-10-04,4.5034
2006-10-05,4.5199
2006-10-06,4.5277
2006-10-09,4.5243
2006-10-10,4.5177
2006-10-11,4.5133
2006-10-12,4.5155
2006-10-13,4.5144
2006-10-16,4.5937
2006-10-17,4.5847
2006-10-18,4.5847
2006-10-19,4.5835
2006-10-20,4.579
2006-10-23,4.5858
2006-10-24,4.5847
2006-10-25,4.5835
2006-10-26,4.5756
2006-10-27,4.5858
2006-10-30,4.5813
2006-10-31,4.5835
2006-11-01,4.5644
2006-11-02,4.5644
2006-11-03,4.5711
2006-11-06,4.5544
2006-11-07,4.5599
2006-11-08,4.5622
2006-11-09,4.5611
2006-11-10,4.551
2006-11-13,4.5532
2006-11-14,4.5477
2006-11-15,4.5622
2006-11-16,4.5622
2006-11-17,4.5599
2006-11-20,4.5588
2006-11-21,4.5555
2006-11-22,4.5555
2006-11-24,4.5555
2006-11-27,4.5577
2006-11-28,4.5532
2006-11-29,4.5455
2006-11-30,4.5333
2006-12-01,4.5377
2006-12-04,4.551
2006-12-05,4.5477
