Date,EQY_DVD_YLD_12M
2006-01-03,3.8802
2006-01-04,3.8357
2006-01-05,3.782
2006-01-06,3.7452
2006-01-09,3.7364
2006-01-10,3.7243
2006-01-11,3.7199999999999998
2006-01-12,3.7342
2006-01-13,3.7933
2006-01-17,3.7786
2006-01-18,3.7831
2006-01-19,3.7091
2006-01-20,3.7353
2006-01-23,3.708
2006-01-24,3.6919
2006-01-25,3.7113
2006-01-26,3.708
2006-01-27,3.6442
2006-01-30,3.6515
2006-01-31,3.6193
2006-02-01,3.6306000000000003
2006-02-02,3.6442
2006-02-03,3.6972
2006-02-06,3.6822
2006-02-07,3.7265
2006-02-08,3.7375
2006-02-09,3.732
2006-02-10,3.7386
2006-02-13,3.6494
2006-02-14,3.608
2006-02-15,3.5926
2006-02-16,3.5704000000000002
2006-02-17,3.5674
2006-02-21,3.5534
2006-02-22,3.4861
2006-02-23,3.4948
2006-02-24,3.5248
2006-02-27,3.5385999999999997
2006-02-28,3.5347
2006-03-01,3.5054
2006-03-02,3.5064
2006-03-03,3.5034
2006-03-06,3.425
2006-03-07,3.4389
2006-03-08,3.3984
2006-03-09,3.3768000000000002
2006-03-10,3.3263
2006-03-13,3.358
2006-03-14,3.3386
2006-03-15,3.2531
2006-03-16,3.2564
2006-03-17,3.2087
2006-03-20,3.2732
2006-03-21,3.2927
2006-03-22,3.2808
2006-03-23,3.2656
2006-03-24,3.285
2006-03-27,3.3316
2006-03-28,3.2774
2006-03-29,3.0676
2006-03-30,3.1428
2006-03-31,3.125
2006-04-03,3.2785
2006-04-04,3.3333
2006-04-05,3.3265000000000002
2006-04-06,3.3654
2006-04-07,3.4387
2006-04-10,3.4653
2006-04-11,3.5
2006-04-12,3.4849
2006-04-13,3.519
2006-04-17,3.5596
2006-04-18,3.4681
2006-04-19,3.4497
2006-04-20,3.457
2006-04-21,3.4896
2006-04-24,3.484
2006-04-25,3.5047
2006-04-26,3.5431
2006-04-27,3.4868
2006-04-28,3.4877000000000002
2006-05-01,3.5577
2006-05-02,3.5991999999999997
2006-05-03,3.6052
2006-05-04,3.5489
2006-05-05,3.5
2006-05-08,3.4849
2006-05-09,3.4756
2006-05-10,3.4524
2006-05-11,3.5567
2006-05-12,3.5863
2006-05-15,3.5286
2006-05-16,3.5479000000000003
2006-05-17,3.651
2006-05-18,3.7106
2006-05-19,3.7159
2006-05-22,3.6832000000000003
2006-05-23,3.7138
2006-05-24,3.6978999999999997
2006-05-25,3.5962
2006-05-26,3.5606
2006-05-30,3.6234
2006-05-31,3.6123
2006-06-01,3.52
2006-06-02,3.4607
2006-06-05,3.4802
2006-06-06,3.4962
2006-06-07,3.5009
2006-06-08,3.5171
2006-06-09,3.4793
2006-06-12,3.5479000000000003
2006-06-13,3.6183
2006-06-14,3.6623
2006-06-15,3.5843
2006-06-16,3.5932
2006-06-19,3.6295
2006-06-20,3.6541
2006-06-21,3.6093
2006-06-22,3.6582
2006-06-23,3.6727
2006-06-26,3.6325
2006-06-27,3.6612999999999998
2006-06-28,3.6696
2006-06-29,3.5685000000000002
2006-06-30,3.5489
2006-07-03,3.5743
2006-07-05,3.5763
2006-07-06,3.5666
2006-07-07,3.5801
2006-07-10,3.5285
2006-07-11,3.5032
2006-07-12,3.5088
2006-07-13,3.5811
2006-07-14,3.6125
2006-07-17,3.6066000000000003
2006-07-18,3.5656
2006-07-19,3.4564
2006-07-20,3.481
2006-07-21,3.5153
2006-07-24,3.4411
2006-07-25,3.4277
2006-07-26,3.4223
2006-07-27,3.4065
2006-07-28,3.3503
2006-07-31,3.3639
2006-08-01,3.382
2006-08-02,3.3942
2006-08-03,3.3588
2006-08-04,3.3
2006-08-07,3.3233
2006-08-08,3.3554
2006-08-09,3.3622
2006-08-10,3.3682
2006-08-11,3.4065
2006-08-14,3.3486000000000002
2006-08-15,3.2984
2006-08-16,3.2926
2006-08-17,3.2934
2006-08-18,3.2762000000000002
2006-08-21,3.2625
2006-08-22,3.2242
2006-08-23,3.2706
2006-08-24,3.2568
2006-08-25,3.2577
2006-08-28,3.207
2006-08-29,3.2008
2006-08-30,3.1723
2006-08-31,3.1769
2006-09-01,3.1992
2006-09-05,3.1693
2006-09-06,3.183
2006-09-07,3.2109
2006-09-08,3.1869
2006-09-11,3.1838
2006-09-12,3.1294
2006-09-13,3.0899
2006-09-14,3.1571
2006-09-15,3.1354
2006-09-18,3.1807
2006-09-19,3.1609
2006-09-20,3.1899
2006-09-21,3.2657
2006-09-22,3.2156000000000002
2006-09-25,3.1519
2006-09-26,3.1354
2006-09-27,3.1
2006-09-28,3.0899
2006-09-29,3.0791
2006-10-02,3.184
2006-10-03,3.1564
2006-10-04,3.0963
2006-10-05,3.0654
2006-10-06,3.097
2006-10-09,3.0508
2006-10-10,3.0419
2006-10-11,3.0515
2006-10-12,3.0174
2006-10-13,2.9840999999999998
2006-10-16,3.0
2006-10-17,3.0269
2006-10-18,3.0222
2006-10-19,3.0344
2006-10-20,3.0378
2006-10-23,3.0283
2006-10-24,3.0557
2006-10-25,3.0515
2006-10-26,3.0215
2006-10-27,3.0515
2006-10-30,3.0892
2006-10-31,3.0385
2006-11-01,3.0141
2006-11-02,3.0978
2006-11-03,3.1439
2006-11-06,3.1142
2006-11-07,3.1535
2006-11-08,3.1527
2006-11-09,3.1505
2006-11-10,3.152
2006-11-13,3.1425
2006-11-14,3.0892
2006-11-15,3.0689
2006-11-16,3.0371
2006-11-17,3.0578
2006-11-20,2.9840999999999998
2006-11-21,2.9335
2006-11-22,2.912
2006-11-24,2.912
2006-11-27,3.0074
2006-11-28,3.0033
2006-11-29,2.9457
2006-11-30,2.9107
2006-12-01,2.9227
2006-12-04,2.8797
2006-12-05,2.9045
2006-12-06,2.9196
2006-12-07,2.9335
2006-12-08,2.9284
2006-12-11,2.9348
2006-12-12,2.9386
2006-12-13,2.9566
2006-12-14,2.9246
2006-12-15,2.9341
2006-12-18,2.9495
2006-12-19,2.9861
2006-12-20,2.9664
2006-12-21,3.0067
2006-12-22,3.044
2006-12-26,3.0027
2006-12-27,2.9749
2006-12-28,3.0626
2006-12-29,3.0701
2007-01-03,3.0592
2007-01-04,3.0838
2007-01-05,3.1307
2007-01-08,3.1421
2007-01-09,3.0935
2007-01-10,3.0039
2007-01-11,2.95
2007-01-12,2.9398999999999997
2007-01-16,2.8979
2007-01-17,2.8882
2007-01-18,2.8967
2007-01-19,2.8595
2007-01-22,2.904
2007-01-23,2.8998
2007-01-24,2.8418
2007-01-25,2.836
2007-01-26,2.8209
2007-01-29,2.8163
2007-01-30,2.789
2007-01-31,2.7823
2007-02-01,2.7594
2007-02-02,2.7343
2007-02-05,2.7365
2007-02-06,2.7171
2007-02-07,2.6391
2007-02-08,2.6442
2007-02-09,2.66
2007-02-12,2.7208
2007-02-13,2.6538
2007-02-14,2.6471999999999998
2007-02-15,2.6071999999999997
2007-02-16,2.6341
2007-02-20,2.5968999999999998
2007-02-21,2.5838
2007-02-22,2.6013
2007-02-23,2.6493
2007-02-26,2.662
2007-02-27,2.7677
2007-02-28,2.7452
2007-03-01,2.7728
2007-03-02,2.8204000000000002
2007-03-05,2.9293
2007-03-06,2.8366
2007-03-07,2.8901
2007-03-08,2.8227
2007-03-09,2.7851
2007-03-12,2.7705
2007-03-13,2.872
2007-03-14,2.8672
2007-03-15,2.8308
2007-03-16,2.8459
2007-03-19,2.8054
2007-03-20,2.7907
2007-03-21,2.7311
2007-03-22,2.7348
2007-03-23,2.737
2007-03-26,2.7789
2007-03-27,2.8106
2007-03-28,2.8413
2007-03-29,2.8571
2007-03-30,2.8314
2007-04-02,2.8811
2007-04-03,2.856
2007-04-04,2.8876
2007-04-05,2.8952999999999998
2007-04-09,2.8911
2007-04-10,2.874
2007-04-11,2.9308
2007-04-12,2.9467
2007-04-13,2.9102
2007-04-16,2.9102
2007-04-17,2.8823
2007-04-18,2.9084
2007-04-19,2.912
2007-04-20,2.8876
2007-04-23,2.8456
2007-04-24,2.8659
2007-04-25,2.8543
2007-04-26,2.867
2007-04-27,2.8711
2007-04-30,2.9332000000000003
2007-05-01,2.9497999999999998
2007-05-02,2.932
2007-05-03,2.884
2007-05-04,2.9205
2007-05-07,2.9108
2007-05-08,2.9436
2007-05-09,2.9072
2007-05-10,2.9753
2007-05-11,2.9412000000000003
2007-05-14,2.9728
2007-05-15,3.0368
2007-05-16,3.0719
2007-05-17,3.1508
2007-05-18,3.2214
2007-05-21,3.198
2007-05-22,3.1707
2007-05-23,3.2155
2007-05-24,3.2921
2007-05-25,3.2616
2007-05-29,3.1466
2007-05-30,3.0212
2007-05-31,3.046
2007-06-01,3.0421
2007-06-04,3.0375
2007-06-05,3.1037
2007-06-06,3.1494
2007-06-07,3.2654
2007-06-08,3.1843
2007-06-11,3.2904999999999998
2007-06-12,3.3927
2007-06-13,3.2952
2007-06-14,3.3349
2007-06-15,3.313
2007-06-18,3.4099
2007-06-19,3.4042
2007-06-20,3.5285
2007-06-21,3.5651
2007-06-22,3.5997
2007-06-25,3.7115
2007-06-26,3.7371
2007-06-27,3.634
2007-06-28,3.6988
2007-06-29,3.7037
2007-07-02,3.6585
2007-07-03,3.6604
2007-07-05,3.6493
2007-07-06,3.652
2007-07-09,3.6612999999999998
2007-07-10,3.7667
2007-07-11,3.7746
2007-07-12,3.653
2007-07-13,3.5901
2007-07-16,3.5732
2007-07-17,3.6254
2007-07-18,3.6364
2007-07-19,3.6045
2007-07-20,3.697
2007-07-23,3.749
2007-07-24,3.8196
2007-07-25,3.8136
2007-07-26,3.84
2007-07-27,3.9344
2007-07-30,3.8534
2007-07-31,3.8575
2007-08-01,3.7608
2007-08-02,3.7393
2007-08-03,3.8196
2007-08-06,3.719
2007-08-07,3.7248
2007-08-08,3.5071
2007-08-09,3.4599
2007-08-10,3.629
2007-08-13,3.652
2007-08-14,3.8105
2007-08-15,3.7975
2007-08-16,3.6117
2007-08-17,3.5973
2007-08-20,3.5468
2007-08-21,3.552
2007-08-22,3.469
2007-08-23,3.4607
2007-08-24,3.4417
2007-08-27,3.5311
2007-08-28,3.6548
2007-08-29,3.5191
2007-08-30,3.4716
2007-08-31,3.3629
2007-09-04,3.2959
2007-09-05,3.4384
2007-09-06,3.4091
2007-09-07,3.5451
2007-09-10,3.5442
2007-09-11,3.4269
2007-09-12,3.4221
2007-09-13,3.321
2007-09-14,3.3103
2007-09-17,3.2742
2007-09-18,3.1662
2007-09-19,3.0954
2007-09-20,3.1648
2007-09-21,3.1469
2007-09-24,3.1001
2007-09-25,3.1986
2007-09-26,3.1634
2007-09-27,3.1662
2007-09-28,3.1851
2007-10-01,3.2413
2007-10-02,3.161
2007-10-03,3.1972
2007-10-04,3.1753
2007-10-05,3.1073
2007-10-08,3.2139
2007-10-09,3.1719
2007-10-10,3.2111
2007-10-11,3.2357
2007-10-12,3.2385
2007-10-15,3.3333
2007-10-16,3.4196
2007-10-17,3.4612
2007-10-18,3.4435000000000002
2007-10-19,3.6054
2007-10-22,3.5492
2007-10-23,3.5096
2007-10-24,3.5534
2007-10-25,3.4742
2007-10-26,3.5163
2007-10-29,3.5966
2007-10-30,3.5723000000000003
2007-10-31,3.5645
2007-11-01,3.7
2007-11-02,3.8125
2007-11-05,3.8937
2007-11-06,3.8947000000000003
2007-11-07,3.9871
2007-11-08,3.9050000000000002
2007-11-09,3.9050000000000002
2007-11-12,3.8937
2007-11-13,3.7233
2007-11-14,3.7852
2007-11-15,3.8693
2007-11-16,3.9112
2007-11-19,3.971
2007-11-20,4.0715
2007-11-21,4.0404
2007-11-23,3.9133
2007-11-26,4.1926
2007-11-27,4.0783
2007-11-28,3.9551
2007-11-29,3.9467
2007-11-30,3.7478
2007-12-03,3.8125
2007-12-04,3.9215999999999998
2007-12-05,3.7725999999999997
2007-12-06,3.6462
2007-12-07,3.6516
2007-12-10,3.5415
2007-12-11,3.8164
2007-12-12,3.7949
2007-12-13,3.8243
2007-12-14,3.9668
2007-12-17,4.1375
2007-12-18,4.1191
2007-12-19,4.0615
2007-12-20,4.025
2007-12-21,3.9435000000000002
2007-12-24,3.763
2007-12-26,3.8855
2007-12-27,4.0108
2007-12-28,4.2187
2007-12-31,4.1758
2008-01-02,4.1724
2008-01-03,4.3011
2008-01-04,4.501
2008-01-07,4.4367
2008-01-08,4.6187000000000005
2008-01-09,4.6243
2008-01-10,4.5949
2008-01-11,4.6654
2008-01-14,4.7724
2008-01-15,4.9885
2008-01-16,4.8516
2008-01-17,4.9159
2008-01-18,4.9511
2008-01-22,4.6943
2008-01-23,4.2793
2008-01-24,4.3243
2008-01-25,4.3628
2008-01-28,4.2269
2008-01-29,4.2709
2008-01-30,4.328
2008-01-31,4.2399000000000004
2008-02-01,4.0674
2008-02-04,4.1507
2008-02-05,4.3108
2008-02-06,4.3528
2008-02-07,4.1816
2008-02-08,4.451
2008-02-11,4.5387
2008-02-12,4.3429
2008-02-13,4.3779
2008-02-14,4.4785
2008-02-15,4.464
2008-02-19,4.5756
2008-02-20,4.4944
2008-02-21,4.5756
2008-02-22,4.4838000000000005
2008-02-25,4.3219
2008-02-26,4.2974
2008-02-27,4.3035
2008-02-28,4.3842
2008-02-29,4.501
2008-03-03,4.4851
2008-03-04,4.438
2008-03-05,4.4096
2008-03-06,4.5577
2008-03-07,4.464
2008-03-10,4.5756
2008-03-11,4.2769
2008-03-12,4.3491
2008-03-13,4.3666
2008-03-14,4.5171
2008-03-17,4.4931
2008-03-18,4.2035
2008-03-19,4.2222
2008-03-20,3.9687
2008-03-24,3.854
2008-03-25,3.8618
2008-03-26,3.9317
2008-03-27,3.9749
2008-03-28,3.9215999999999998
2008-03-31,3.8805
2008-04-01,3.6776999999999997
2008-04-02,3.8358
2008-04-03,3.7205
2008-04-04,3.8235
2008-04-07,3.8245
