Date,EQY_DVD_YLD_12M
2011-04-28,0.4856
2011-04-29,0.4899
2011-05-02,0.4858
2011-05-03,0.4966
2011-05-04,0.5007
2011-05-05,0.5004
2011-05-06,0.5
2011-05-09,0.4949
2011-05-10,0.4909
2011-05-11,0.4945
2011-05-12,0.4921
2011-05-13,0.5013
2011-05-16,0.5084
2011-05-17,0.5091
2011-05-18,0.508
2011-05-19,0.4949
2011-05-20,0.4912
2011-05-23,0.4942
2011-05-24,0.4818
2011-05-25,0.4824
2011-05-26,0.488
2011-05-27,0.4798
2011-05-31,0.478
2011-06-01,0.4828
2011-06-02,0.4765
2011-06-03,0.4706
2011-06-06,0.4743
2011-06-07,0.47
2011-06-08,0.4709
2011-06-09,0.4715
2011-06-10,0.4741
2011-06-13,0.4754
2011-06-14,0.4746
2011-06-15,0.4768
2011-06-16,0.4793
2011-06-17,0.4714
2011-06-20,0.4728
2011-06-21,0.4727
2011-06-22,0.4727
2011-06-23,0.4811
2011-06-24,0.4895
2011-06-27,0.4954
2011-06-28,0.4947
2011-06-29,0.493
2011-06-30,0.4873
2011-07-01,0.4783
2011-07-05,0.4785
2011-07-06,0.4809
2011-07-07,0.4831
2011-07-08,0.4841
2011-07-11,0.4937
2011-07-12,0.497
2011-07-13,0.4966
2011-07-14,0.4995
2011-07-15,0.4897
2011-07-18,0.4966
2011-07-19,0.4938
2011-07-20,0.4912
2011-07-21,0.4911
2011-07-22,0.4937
2011-07-25,0.5091
2011-07-26,0.5078
2011-07-27,0.4968
2011-07-28,1.5625
2011-07-29,1.5586
2011-08-01,1.5586
2011-08-02,1.5798999999999999
2011-08-03,1.5873
2011-08-04,1.6623
2011-08-05,1.6975
2011-08-08,1.8597000000000001
2011-08-09,1.6975
2011-08-10,1.6891
2011-08-11,1.6029
2011-08-12,1.6436
2011-08-15,1.6248
2011-08-16,1.6604
2011-08-17,1.6743000000000001
2011-08-18,1.7728000000000002
2011-08-19,1.8472
2011-08-22,1.8519
2011-08-23,1.7930000000000001
2011-08-24,1.7995999999999999
2011-08-25,1.7995999999999999
2011-08-26,1.7755999999999998
2011-08-29,1.7384
2011-08-30,1.7343
2011-08-31,1.7021
2011-09-01,1.7107
2011-09-02,1.7467000000000001
2011-09-06,1.7343
2011-09-07,1.7296
2011-09-08,1.7323
2011-09-09,1.7706
2011-09-12,1.7628
2011-09-13,1.7621
2011-09-14,1.7426
2011-09-15,1.7227999999999999
2011-09-16,1.7255
2011-09-19,1.6492
2011-09-20,1.6479
2011-09-21,1.6573
2011-09-22,1.7127
2011-09-23,1.7241
2011-09-26,1.6705
2011-09-27,1.6278000000000001
2011-09-28,1.6529
2011-09-29,1.6717
2011-09-30,1.6995
2011-10-03,1.7268
2011-10-04,1.6891
2011-10-05,1.6548
2011-10-06,1.6479
2011-10-07,1.6705
2011-10-10,1.6375
2011-10-11,1.6387
2011-10-12,1.6357
2011-10-13,1.6345
2011-10-14,1.6362999999999999
2011-10-17,1.5608
2011-10-18,1.5681
2011-10-19,1.5954000000000002
2011-10-20,1.5586
2011-10-21,1.5058
2011-10-24,1.4676
2011-10-25,1.4613
2011-10-26,1.4835
2011-10-27,2.5136
2011-10-28,2.543
2011-10-31,2.5874
2011-11-01,2.66
2011-11-02,2.6372
2011-11-03,2.6269
2011-11-04,2.6139
2011-11-07,2.6466
2011-11-08,2.6288
2011-11-09,2.7377000000000002
2011-11-10,2.6978
2011-11-11,2.6841
2011-11-14,2.6686
2011-11-15,2.6466
2011-11-16,2.6647
2011-11-17,2.613
2011-11-18,2.6195
2011-11-21,2.5883000000000003
2011-11-22,2.5865
2011-11-23,2.641
2011-11-25,2.5517
2011-11-28,2.5694
2011-11-29,2.5051
2011-11-30,2.5084999999999997
2011-12-01,2.4455
2011-12-02,2.3871
2011-12-05,2.394
2011-12-06,2.3979
2011-12-07,2.4326
2011-12-08,2.5042
2011-12-09,2.5
2011-12-12,2.5093
2011-12-13,2.5342000000000002
2011-12-14,2.5438
2011-12-15,2.5667999999999997
2011-12-16,2.4798999999999998
2011-12-19,2.4840999999999998
2011-12-20,2.4552
2011-12-21,2.4096
2011-12-22,2.391
2011-12-23,2.3589
2011-12-27,2.3314
2011-12-28,2.365
2011-12-29,2.3447
2011-12-30,2.3003
2012-01-03,2.2776
2012-01-04,2.2776
2012-01-05,2.2665
2012-01-06,2.2499000000000002
2012-01-09,2.2554
2012-01-10,2.2303
2012-01-11,2.2162
2012-01-12,2.237
2012-01-13,2.252
2012-01-17,2.2377
2012-01-18,2.254
2012-01-19,2.2404
2012-01-20,2.2582
2012-01-23,2.2554
2012-01-24,2.2644
2012-01-25,2.2269
2012-01-26,2.2533
2012-01-27,3.2427
2012-01-30,3.2568
2012-01-31,3.2338
2012-02-01,3.2478
2012-02-02,3.2629
2012-02-03,3.2895
2012-02-06,3.2548
2012-02-07,3.2977
2012-02-08,3.2741
2012-02-09,3.2169
2012-02-10,3.2457
2012-02-13,3.2237999999999998
2012-02-14,3.2498
2012-02-15,3.2659000000000002
2012-02-16,3.2478
2012-02-17,3.2578
2012-02-21,3.2741
2012-02-22,3.2578
2012-02-23,3.2488
2012-02-24,3.1588
2012-02-27,3.0207
2012-02-28,2.9779
2012-02-29,2.9796
2012-03-01,2.9232
2012-03-02,2.8933999999999997
2012-03-05,2.8982
2012-03-06,2.9703
2012-03-07,2.8926
2012-03-08,2.8587
2012-03-09,2.7984999999999998
2012-03-12,2.8579
2012-03-13,2.8681
2012-03-14,2.9126
2012-03-15,2.8966
2012-03-16,2.8494
2012-03-19,2.8270999999999997
2012-03-20,2.8571
2012-03-21,2.8325
2012-03-22,2.809
2012-03-23,2.7202
2012-03-26,2.7365
2012-03-27,2.7315
2012-03-28,2.6752000000000002
2012-03-29,2.6916
2012-03-30,2.7167
2012-04-02,2.6854
2012-04-03,2.6428000000000003
2012-04-04,2.6772
2012-04-05,2.6349
2012-04-09,2.6663
2012-04-10,2.7559
2012-04-11,2.7465
2012-04-12,2.7259
2012-04-13,2.7337
2012-04-16,2.7851
2012-04-17,2.8195
2012-04-18,2.8188
2012-04-19,2.8587
2012-04-20,2.9038
2012-04-23,2.9906
2012-04-24,2.9923
2012-04-25,2.9232
2012-04-26,3.4473
2012-04-27,3.4319
2012-04-30,3.4262
2012-05-01,3.3773
2012-05-02,3.3819
2012-05-03,3.4406
2012-05-04,3.4894
2012-05-07,3.4993
2012-05-08,3.5173
2012-05-09,3.6092
2012-05-10,3.586
2012-05-11,3.6187
2012-05-14,3.6662
2012-05-15,3.6936999999999998
2012-05-16,3.6992000000000003
2012-05-17,3.7273
2012-05-18,3.7846
2012-05-21,3.6871
2012-05-22,3.6391
2012-05-23,3.7093
2012-05-24,3.8306
2012-05-25,3.794
