Date,EQY_DVD_YLD_12M
2006-01-03,0.616
2006-01-04,0.6243
2006-01-05,0.6218
2006-01-06,0.6143
2006-01-09,0.6089
2006-01-10,0.6075
2006-01-11,0.5941
2006-01-12,0.589
2006-01-13,0.5898
2006-01-17,0.5934
2006-01-18,0.5998
2006-01-19,0.5819
2006-01-20,0.5935
2006-01-23,0.5859
2006-01-24,0.589
2006-01-25,0.5928
2006-01-26,0.5751
2006-01-27,0.5765
2006-01-30,0.5724
2006-01-31,0.5696
2006-02-01,0.5736
2006-02-02,0.5732
2006-02-03,0.5767
2006-02-06,0.5714
2006-02-07,0.5805
2006-02-08,0.6067
2006-02-09,0.6078
2006-02-10,0.6109
2006-02-13,0.6095
2006-02-14,0.5918
2006-02-15,0.5777
2006-02-16,0.5701
2006-02-17,0.5711
2006-02-21,0.5773
2006-02-22,0.5648
2006-02-23,0.5714
2006-02-24,0.5656
2006-02-27,0.569
2006-02-28,0.5755
2006-03-01,0.5736
2006-03-02,0.5761
2006-03-03,0.5687
2006-03-06,0.5749
2006-03-07,0.5817
2006-03-08,0.5915
2006-03-09,0.5938
2006-03-10,0.591
2006-03-13,0.5906
2006-03-14,0.5781
2006-03-15,0.5827
2006-03-16,0.5898
2006-03-17,0.5882
2006-03-20,0.5783
2006-03-21,0.5916
2006-03-22,0.5809
2006-03-23,0.5841
2006-03-24,0.5797
2006-03-27,0.5726
2006-03-28,0.5902
2006-03-29,0.5837
2006-03-30,0.5852
2006-03-31,0.5812
2006-04-03,0.58
2006-04-04,0.5709
2006-04-05,0.5658
2006-04-06,0.5563
2006-04-07,0.5651
2006-04-10,0.5589
2006-04-11,0.5676
2006-04-12,0.5638
2006-04-13,0.5591
2006-04-17,0.5542
2006-04-18,0.5421
2006-04-19,0.5408
2006-04-20,0.541
2006-04-21,0.5416
2006-04-24,0.5455
2006-04-25,0.5565
2006-04-26,0.5483
2006-04-27,0.5384
2006-04-28,0.5557
2006-05-01,0.5854
2006-05-02,0.5767
2006-05-03,0.5857
2006-05-04,0.587
2006-05-05,0.5602
2006-05-08,0.5677
2006-05-09,0.5641
2006-05-10,0.5657
2006-05-11,0.6131
2006-05-12,0.6327
2006-05-15,0.6444
2006-05-16,0.6437
2006-05-17,0.6601
2006-05-18,0.6646
2006-05-19,0.652
2006-05-22,0.6665
2006-05-23,0.6773
2006-05-24,0.684
2006-05-25,0.6725
2006-05-26,0.6561
2006-05-30,0.6757
2006-05-31,0.6606
2006-06-01,0.6517
2006-06-02,0.6516
2006-06-05,0.6717
2006-06-06,0.6765
2006-06-07,0.6722
2006-06-08,0.6697
2006-06-09,0.6706
2006-06-12,0.7096
2006-06-13,0.7405
2006-06-14,0.7224
2006-06-15,0.6905
2006-06-16,0.6946
2006-06-19,0.7076
2006-06-20,0.7055
2006-06-21,0.692
2006-06-22,0.6957
2006-06-23,0.7016
2006-06-26,0.6974
2006-06-27,0.7171
2006-06-28,0.7119
2006-06-29,0.6813
2006-06-30,0.6754
2006-07-03,0.6575
2006-07-05,0.6723
2006-07-06,0.669
2006-07-07,0.683
2006-07-10,0.6822
2006-07-11,0.6789
2006-07-12,0.6957
2006-07-13,0.7183
2006-07-14,0.7269
2006-07-17,0.7304
2006-07-18,0.7337
2006-07-19,0.6968
2006-07-20,0.7082
2006-07-21,0.7284
2006-07-24,0.699
2006-07-25,0.6946
2006-07-26,0.7047
2006-07-27,0.7064
2006-07-28,0.6728
2006-07-31,0.6774
2006-08-01,0.6857
2006-08-02,0.6854
2006-08-03,0.665
2006-08-04,0.6514
