Date,EQY_DVD_YLD_12M
2009-04-06,0.2616
2009-04-07,0.2697
2009-04-08,0.2693
2009-04-09,0.2616
2009-04-13,0.2623
2009-04-14,0.265
2009-04-15,0.269
2009-04-16,0.2607
2009-04-17,0.2623
2009-04-20,0.2657
2009-04-21,0.256
2009-04-22,0.2584
2009-04-23,0.2541
2009-04-24,0.2527
2009-04-27,0.2529
2009-04-28,0.2533
2009-04-29,0.2551
2009-04-30,0.2585
2009-05-01,0.2585
2009-05-04,0.2636
2009-05-05,0.263
2009-05-06,0.2623
2009-05-07,0.2714
2009-05-08,0.2729
2009-05-11,0.2694
2009-05-12,0.272
2009-05-13,0.2767
2009-05-14,0.2709
2009-05-15,0.2714
2009-05-18,0.2643
2009-05-19,0.2636
2009-05-20,0.264
2009-05-21,0.2693
2009-05-22,0.2681
2009-05-26,0.2622
2009-05-27,0.2633
2009-05-28,0.2603
2009-05-29,0.2552
2009-06-01,0.251
2009-06-02,0.2457
2009-06-03,0.2458
2009-06-04,0.2426
2009-06-05,0.2414
2009-06-08,0.2396
2009-06-09,0.2382
2009-06-10,0.2411
2009-06-11,0.2388
2009-06-12,0.2398
2009-06-15,0.2473
2009-06-16,0.2539
2009-06-17,0.2508
2009-06-18,0.2469
2009-06-19,0.242
2009-06-22,0.2504
2009-06-23,0.2516
2009-06-24,0.2352
2009-06-25,0.2312
2009-06-26,0.2354
2009-06-29,0.2326
2009-06-30,0.2334
2009-07-01,0.23
2009-07-02,0.2376
2009-07-06,0.2419
2009-07-07,0.2478
2009-07-08,0.2431
2009-07-09,0.2461
2009-07-10,0.244
2009-07-13,0.4826
2009-07-14,0.4847
2009-07-15,0.4649
2009-07-16,0.4621
2009-07-17,0.46
2009-07-20,0.4649
2009-07-21,0.456
2009-07-22,0.4598
2009-07-23,0.4505
2009-07-24,0.4478
2009-07-27,0.455
2009-07-28,0.4496
2009-07-29,0.4543
2009-07-30,0.4517
2009-07-31,0.4519
2009-08-03,0.4484
2009-08-04,0.4568
2009-08-05,0.4664
2009-08-06,0.4715
2009-08-07,0.4666
2009-08-10,0.4706
2009-08-11,0.4699
2009-08-12,0.457
2009-08-13,0.4548
2009-08-14,0.4554
2009-08-17,0.4673
2009-08-18,0.4634
2009-08-19,0.4591
2009-08-20,0.4558
2009-08-21,0.4523
2009-08-24,0.448
2009-08-25,0.4498
2009-08-26,0.4505
2009-08-27,0.4513
2009-08-28,0.4513
2009-08-31,0.457
2009-09-01,0.4558
2009-09-02,0.4593
2009-09-03,0.4638
2009-09-04,0.4552
2009-09-08,0.457
2009-09-09,0.444
2009-09-10,0.4394
2009-09-11,0.4374
2009-09-14,0.4401
2009-09-15,0.4413
2009-09-16,0.4519
2009-09-17,0.4647
2009-09-18,0.4625
2009-09-21,0.4636
2009-09-22,0.4671
2009-09-23,0.4733
2009-09-24,0.4724
2009-09-25,0.4794
2009-09-28,0.4724
2009-09-29,0.4735
2009-09-30,0.4798
2009-10-01,0.4912
2009-10-02,0.4916
2009-10-05,0.4904
2009-10-06,0.4869
2009-10-07,0.4861
2009-10-08,0.4808
2009-10-09,0.7232
2009-10-12,0.7239
2009-10-13,0.7174
2009-10-14,0.7079
2009-10-15,0.7036
2009-10-16,0.6878
2009-10-19,0.669
2009-10-20,0.676
2009-10-21,0.6809
2009-10-22,0.676
2009-10-23,0.6803
2009-10-26,0.6821
2009-10-27,0.6859
2009-10-28,0.7042
2009-10-29,0.6993
2009-10-30,0.7109
2009-11-02,0.7112
2009-11-03,0.718
2009-11-04,0.7177
2009-11-05,0.7036
2009-11-06,0.7003
2009-11-09,0.6871
2009-11-10,0.6881
2009-11-11,0.6849
2009-11-12,0.6806
2009-11-13,0.6714
2009-11-16,0.657
2009-11-17,0.6579
2009-11-18,0.6579
2009-11-19,0.6699
2009-11-20,0.6714
2009-11-23,0.6637
2009-11-24,0.6775
2009-11-25,0.6637
2009-11-27,0.679
2009-11-30,0.6793
2009-12-01,0.6684
2009-12-02,0.662
2009-12-03,0.6625
2009-12-04,0.657
2009-12-07,0.6673
2009-12-08,0.6846
2009-12-09,0.6834
2009-12-10,0.664
2009-12-11,0.6585
2009-12-14,0.6435
2009-12-15,0.6476
2009-12-16,0.6488
2009-12-17,0.6556
2009-12-18,0.6163
2009-12-21,0.614
2009-12-22,0.6132
2009-12-23,0.6066
2009-12-24,0.6012
2009-12-28,0.6007
2009-12-29,0.5998
2009-12-30,0.6017
2009-12-31,0.6115
2010-01-04,0.6036
2010-01-05,0.6044
2010-01-06,0.6132
2010-01-07,0.6153
2010-01-08,0.6078
2010-01-11,0.6075
2010-01-12,0.6107
2010-01-13,0.6048
2010-01-14,0.7893
2010-01-15,0.7924
2010-01-19,0.7896
2010-01-20,0.7981
2010-01-21,0.8055
2010-01-22,0.8282
2010-01-25,0.8323
2010-01-26,0.8375
2010-01-27,0.8382
2010-01-28,0.8522
2010-01-29,0.8673
2010-02-01,0.8613
2010-02-02,0.8418
2010-02-03,0.8421
2010-02-04,0.8654
2010-02-05,0.8493
2010-02-08,0.8651
2010-02-09,0.8507
2010-02-10,0.8654
2010-02-11,0.8565
2010-02-12,0.8543
2010-02-16,0.84
2010-02-17,0.8271
2010-02-18,0.8157
2010-02-19,0.8224
2010-02-22,0.8061
2010-02-23,0.817
2010-02-24,0.8074
2010-02-25,0.8042
2010-02-26,0.8114
2010-03-01,0.8084
2010-03-02,0.8137
2010-03-03,0.8163
2010-03-04,0.8078
2010-03-05,0.8016
2010-03-08,0.8097
2010-03-09,0.8039
2010-03-10,0.8042
2010-03-11,0.7955
2010-03-12,0.7984
2010-03-15,0.7911
2010-03-16,0.7933
2010-03-17,0.7852
2010-03-18,0.788
2010-03-19,0.794
2010-03-22,0.7825
2010-03-23,0.7695
2010-03-24,0.7764
2010-03-25,0.768
2010-03-26,0.7785
2010-03-29,0.7822
2010-03-30,0.7831
2010-03-31,0.7779
2010-04-01,0.7855
2010-04-05,0.7819
2010-04-06,0.7743
2010-04-07,0.7719
2010-04-08,0.7743
2010-04-09,0.7654
2010-04-12,0.7634
2010-04-13,0.759
2010-04-14,0.7581
2010-04-15,0.7634
2010-04-16,0.7707
2010-04-19,0.7637
2010-04-20,0.7648
2010-04-21,0.7607
2010-04-22,0.7622
2010-04-23,0.7552
2010-04-26,0.7556
2010-04-27,0.7698
2010-04-28,0.7734
2010-04-29,0.7701
2010-04-30,0.7732
2010-05-03,0.7689
2010-05-04,0.801
2010-05-05,0.8019
2010-05-06,0.8365
2010-05-07,0.8543
2010-05-10,0.82
2010-05-11,0.8268
2010-05-12,0.813
2010-05-13,0.8251
2010-05-14,0.841
2010-05-17,0.8425
2010-05-18,0.8536
2010-05-19,0.8624
2010-05-20,0.8949
2010-05-21,0.9024
2010-05-24,0.8977
2010-05-25,0.9009
2010-05-26,0.9128
2010-05-27,0.8857
