Date,EQY_DVD_YLD_12M
2006-01-03,3.9432
2006-01-04,3.9363
2006-01-05,3.9002
2006-01-06,3.8957
2006-01-09,3.8724
2006-01-10,3.8791
2006-01-11,3.9125
2006-01-12,3.972
2006-01-13,3.9182
2006-01-17,3.9558
2006-01-18,3.9295
2006-01-19,3.9002
2006-01-20,4.044
2006-01-23,4.0549
2006-01-24,4.0488
2006-01-25,4.0537
2006-01-26,4.0118
2006-01-27,3.9882999999999997
2006-01-30,4.103
2006-01-31,4.129
2006-02-01,4.0883
2006-02-02,4.1067
2006-02-03,4.1352
2006-02-06,4.1153
2006-02-07,4.1352
2006-02-08,4.0969
2006-02-09,4.0835
2006-02-10,4.0509
2006-02-13,4.0533
2006-02-14,3.9859999999999998
2006-02-15,3.9641
2006-02-16,3.9266
2006-02-17,3.9289
2006-02-21,3.9584
2006-02-22,3.8909000000000002
2006-02-23,3.9221
2006-02-24,3.9054
2006-02-27,3.8865
2006-02-28,3.939
2006-03-01,3.9199
2006-03-02,3.9561
2006-03-03,3.9791
2006-03-06,3.9953
2006-03-07,3.9653
2006-03-08,3.9402
2006-03-09,3.9699
2006-03-10,3.9255
2006-03-13,3.9031000000000002
2006-03-14,3.8526
2006-03-15,3.8332
2006-03-16,3.8162000000000003
2006-03-17,3.8034
2006-03-20,3.7731
2006-03-21,3.7919
2006-03-22,3.7929
2006-03-23,3.8108
2006-03-24,3.8183
2006-03-27,3.8289999999999997
2006-03-28,3.8592
2006-03-29,3.8624
2006-03-30,3.9009
2006-03-31,3.8954
2006-04-03,3.8965
2006-04-04,3.8548
2006-04-05,3.8865
2006-04-06,3.8965
2006-04-07,3.93
2006-04-10,3.8635
2006-04-11,3.9076
2006-04-12,3.8909000000000002
2006-04-13,3.8744
2006-04-17,3.8505000000000003
2006-04-18,3.8215
2006-04-19,3.8516
2006-04-20,3.8483
2006-04-21,3.8365
2006-04-24,3.8397
2006-04-25,3.8602
2006-04-26,3.8204000000000002
2006-04-27,3.8227
2006-04-28,3.7798
2006-05-01,3.8355
2006-05-02,3.8344
2006-05-03,3.8387000000000002
2006-05-04,3.8238
2006-05-05,3.7975
2006-05-08,3.7891
2006-05-09,3.7819000000000003
2006-05-10,3.7964
2006-05-11,3.8472
2006-05-12,3.8677
2006-05-15,3.8195
2006-05-16,3.8153
2006-05-17,3.8462
2006-05-18,3.8797
2006-05-19,3.8590999999999998
2006-05-22,3.8569
2006-05-23,3.871
2006-05-24,3.884
2006-05-25,4.007
2006-05-26,4.014
2006-05-30,4.0853
2006-05-31,4.0768
2006-06-01,4.0222
2006-06-02,4.0186
2006-06-05,4.066
2006-06-06,4.0792
2006-06-07,4.0588
2006-06-08,4.0505
2006-06-09,4.0469
2006-06-12,4.0684
2006-06-13,4.0998
2006-06-14,4.1479
2006-06-15,4.0865
2006-06-16,4.0865
2006-06-19,4.1145
2006-06-20,4.1084
2006-06-21,4.1157
2006-06-22,4.1355
2006-06-23,4.1958
2006-06-26,4.1768
2006-06-27,4.2215
2006-06-28,4.1907
2006-06-29,4.1404
2006-06-30,4.1667
2006-07-03,4.1071
2006-07-05,4.1591
2006-07-06,4.1541
2006-07-07,4.1466
2006-07-10,4.1379
2006-07-11,4.1219
2006-07-12,4.2163
2006-07-13,4.2527
2006-07-14,4.0434
2006-07-17,3.8961
2006-07-18,3.8895
2006-07-19,3.809
2006-07-20,3.8419
2006-07-21,3.8526
2006-07-24,3.8037
2006-07-25,3.809
2006-07-26,3.7531
2006-07-27,3.8048
2006-07-28,3.8009
2006-07-31,3.8303000000000003
2006-08-01,3.7999
2006-08-02,3.7833
2006-08-03,3.7731
2006-08-04,3.7527
2006-08-07,3.7741
2006-08-08,3.8197
2006-08-09,3.8345000000000002
2006-08-10,3.803
2006-08-11,3.8134
2006-08-14,3.8547000000000002
2006-08-15,3.7803
2006-08-16,3.7782
