Date,EQY_DVD_YLD_12M
2006-01-03,1.2736
2006-01-04,1.2783
2006-01-05,1.2796
2006-01-06,1.2583
2006-01-09,1.2803
2006-01-10,1.3393
2006-01-11,1.3497
2006-01-12,1.4025
2006-01-13,1.3764
2006-01-17,1.32
2006-01-18,1.3288
2006-01-19,1.3129
2006-01-20,1.3377
2006-01-23,1.3298
2006-01-24,1.3171
2006-01-25,1.3256
2006-01-26,1.3043
2006-01-27,1.2923
2006-01-30,1.2803
2006-01-31,1.2931
2006-02-01,1.285
2006-02-02,1.2865
2006-02-03,1.2731
2006-02-06,1.2751
2006-02-07,1.2778
2006-02-08,1.2579
2006-02-09,1.2348
2006-02-10,1.2353
2006-02-13,1.2364
2006-02-14,1.2186
2006-02-15,1.2095
2006-02-16,1.2
2006-02-17,1.2053
2006-02-21,1.2144
2006-02-22,1.2363
2006-02-23,1.2502
2006-02-24,1.2456
2006-02-27,1.2456
2006-02-28,1.2743
2006-03-01,1.2463
2006-03-02,1.2454
2006-03-03,1.2429
2006-03-06,1.2392
2006-03-07,1.2311
2006-03-08,1.2313
2006-03-09,1.2325
2006-03-10,1.2322
2006-03-13,1.2222
2006-03-14,1.199
2006-03-15,1.1495
2006-03-16,1.1456
2006-03-17,1.1612
2006-03-20,1.1841
2006-03-21,1.1921
2006-03-22,1.1959
2006-03-23,1.1944
2006-03-24,1.1788
2006-03-27,1.1871
2006-03-28,1.1944
2006-03-29,1.1831
2006-03-30,1.1835
2006-03-31,1.1741
2006-04-03,1.1763
2006-04-04,1.1696
2006-04-05,1.1688
2006-04-06,1.1604
2006-04-07,1.163
2006-04-10,1.1628
2006-04-11,1.1782
2006-04-12,1.1646
2006-04-13,1.1654
2006-04-17,1.169
2006-04-18,1.1529
2006-04-19,1.1763
2006-04-20,1.1778
2006-04-21,1.1829
2006-04-24,1.1775
2006-04-25,1.2027
2006-04-26,1.2269
2006-04-27,1.2287
2006-04-28,1.2154
2006-05-01,1.2325
2006-05-02,1.2327
2006-05-03,1.2089
2006-05-04,1.2222
2006-05-05,1.2338
2006-05-08,1.2479
2006-05-09,1.257
2006-05-10,1.2633
2006-05-11,1.2755
2006-05-12,1.2619
2006-05-15,1.2631
2006-05-16,1.2574
2006-05-17,1.2813
2006-05-18,1.2952
2006-05-19,1.2952
2006-05-22,1.3075
2006-05-23,1.3249
2006-05-24,1.322
2006-05-25,1.3263
2006-05-26,1.3238
2006-05-30,1.3519
2006-05-31,1.343
2006-06-01,1.3399
2006-06-02,1.3347
2006-06-05,1.3446
2006-06-06,1.3588
2006-06-07,1.3443
2006-06-08,1.3409
2006-06-09,1.3386
2006-06-12,1.3548
2006-06-13,1.3612
2006-06-14,1.3514
2006-06-15,1.3276
2006-06-16,1.3223
2006-06-19,1.3404
2006-06-20,1.3456
2006-06-21,1.3301
2006-06-22,1.3731
2006-06-23,1.3877
2006-06-26,1.386
2006-06-27,1.4239
2006-06-28,1.4242
2006-06-29,1.3961
2006-06-30,1.3797
2006-07-03,1.3772
2006-07-05,1.3498
2006-07-06,1.3417
2006-07-07,1.3514
2006-07-10,1.3443
2006-07-11,1.3407
2006-07-12,1.3802
2006-07-13,1.4178
2006-07-14,1.421
2006-07-17,1.4195
2006-07-18,1.4178
2006-07-19,1.3682
2006-07-20,1.398
2006-07-21,1.4152
2006-07-24,1.375
2006-07-25,1.2758
2006-07-26,1.2795
2006-07-27,1.2727
2006-07-28,1.2502
2006-07-31,1.2309
2006-08-01,1.2283
2006-08-02,1.2
2006-08-03,1.2088
2006-08-04,1.2109
2006-08-07,1.2274
2006-08-08,1.2205
2006-08-09,1.2196
2006-08-10,1.219
2006-08-11,1.2141
2006-08-14,1.2166
2006-08-15,1.2211
2006-08-16,1.2211
2006-08-17,1.2338
2006-08-18,1.2353
2006-08-21,1.2322
2006-08-22,1.2244
2006-08-23,1.2346
2006-08-24,1.2613
2006-08-25,1.2636
2006-08-28,1.264
2006-08-29,1.2713
2006-08-30,1.2524
2006-08-31,1.269
2006-09-01,1.2509
2006-09-05,1.2469
2006-09-06,1.2663
2006-09-07,1.2667
2006-09-08,1.2546
2006-09-11,1.2571
2006-09-12,1.2578
2006-09-13,1.245
2006-09-14,1.2504
2006-09-15,1.2491
2006-09-18,1.2595
2006-09-19,1.2533
2006-09-20,1.2589
2006-09-21,1.2474
2006-09-22,1.2602
2006-09-25,1.2361
2006-09-26,1.2271
2006-09-27,1.2337
2006-09-28,1.24
2006-09-29,1.2226
2006-10-02,1.2237
2006-10-03,1.221
2006-10-04,1.2166
2006-10-05,1.2042
2006-10-06,1.2097
2006-10-09,1.2212
2006-10-10,1.2151
2006-10-11,1.2116
2006-10-12,1.2132
2006-10-13,1.2193
2006-10-16,1.2174
2006-10-17,1.2072
2006-10-18,1.2019
2006-10-19,1.1298
2006-10-20,1.1244
2006-10-23,1.1096
2006-10-24,1.1187
2006-10-25,1.126
2006-10-26,1.1198
2006-10-27,1.1216
2006-10-30,1.1129
2006-10-31,1.1057
2006-11-01,1.1086
2006-11-02,1.0976
2006-11-03,1.1029
2006-11-06,1.0834
2006-11-07,1.0971
2006-11-08,1.0929
2006-11-09,1.1043
2006-11-10,1.1051
2006-11-13,1.1036
2006-11-14,1.0887
2006-11-15,1.0915
2006-11-16,1.0872
2006-11-17,1.0859
2006-11-20,1.0879
2006-11-21,1.075
2006-11-22,1.0732
2006-11-24,1.1079
2006-11-27,1.1067
2006-11-28,1.1013
2006-11-29,1.08
2006-11-30,1.0893
2006-12-01,1.0932
2006-12-04,1.0813
2006-12-05,1.0821
2006-12-06,1.0833
2006-12-07,1.0909
2006-12-08,1.0901
2006-12-11,1.0944
2006-12-12,1.0676
2006-12-13,1.0611
2006-12-14,1.0534
2006-12-15,1.0522
2006-12-18,1.0507
2006-12-19,1.0548
2006-12-20,1.0631
2006-12-21,1.0681
2006-12-22,1.064
2006-12-26,1.0656
2006-12-27,1.0542
2006-12-28,1.0606
2006-12-29,1.0673
2007-01-03,1.0821
2007-01-04,1.0872
2007-01-05,1.0867
2007-01-08,1.0901
2007-01-09,1.0855
2007-01-10,1.0713
2007-01-11,1.0488
2007-01-12,1.0694
2007-01-16,1.0557
2007-01-17,1.0562
2007-01-18,1.0455
2007-01-19,1.0503
2007-01-22,1.0626
2007-01-23,1.0711
2007-01-24,1.0614
2007-01-25,1.094
2007-01-26,1.0863
2007-01-29,1.0883
2007-01-30,1.0968
2007-01-31,1.0823
2007-02-01,1.0694
2007-02-02,1.0788
2007-02-05,1.0717
2007-02-06,1.065
2007-02-07,1.0562
2007-02-08,1.041
2007-02-09,1.0619
2007-02-12,1.0804
2007-02-13,1.0741
2007-02-14,1.0665
2007-02-15,1.0725
2007-02-16,1.0586
2007-02-20,1.0582
2007-02-21,1.0575
2007-02-22,1.1046
2007-02-23,1.1223
2007-02-26,1.1451
2007-02-27,1.1731
2007-02-28,1.1609
2007-03-01,1.1577
2007-03-02,1.1684
2007-03-05,1.1788
2007-03-06,1.1644
2007-03-07,1.1715
2007-03-08,1.1642
2007-03-09,1.1568
2007-03-12,1.1704
2007-03-13,1.2116
2007-03-14,1.2056
2007-03-15,1.191
2007-03-16,1.1912
2007-03-19,1.1816
2007-03-20,1.1645
2007-03-21,1.1466
2007-03-22,1.1488
2007-03-23,1.1356
2007-03-26,1.1786
2007-03-27,1.1835
2007-03-28,1.1842
2007-03-29,1.1965
2007-03-30,1.192
2007-04-02,1.2023
2007-04-03,1.2034
2007-04-04,1.214
2007-04-05,1.2151
2007-04-09,1.2095
2007-04-10,1.2243
2007-04-11,1.2305
2007-04-12,1.2261
2007-04-13,1.2211
2007-04-16,1.2038
2007-04-17,1.1702
2007-04-18,1.1707
2007-04-19,1.1785
2007-04-20,1.1682
2007-04-23,1.1796
2007-04-24,1.1317
2007-04-25,1.1283
2007-04-26,1.1235
2007-04-27,1.1313
2007-04-30,1.1438
2007-05-01,1.1373
2007-05-02,1.1351
2007-05-03,1.1262
2007-05-04,1.1076
2007-05-07,1.1029
2007-05-08,1.0886
2007-05-09,1.0867
2007-05-10,1.0922
2007-05-11,1.073
2007-05-14,1.0707
2007-05-15,1.0784
2007-05-16,1.0637
2007-05-17,1.0687
2007-05-18,1.0704
2007-05-21,1.0761
2007-05-22,1.0756
2007-05-23,1.0615
2007-05-24,1.1041
2007-05-25,1.1013
2007-05-29,1.1005
2007-05-30,1.0903
2007-05-31,1.0994
2007-06-01,1.0982
2007-06-04,1.0742
2007-06-05,1.0789
2007-06-06,1.0849
2007-06-07,1.1057
2007-06-08,1.113
2007-06-11,1.104
2007-06-12,1.1351
2007-06-13,1.1245
2007-06-14,1.1057
2007-06-15,1.0887
2007-06-18,1.0875
2007-06-19,1.081
2007-06-20,1.1158
2007-06-21,1.1049
2007-06-22,1.1231
2007-06-25,1.1454
2007-06-26,1.1391
2007-06-27,1.1334
2007-06-28,1.126
2007-06-29,1.1354
2007-07-02,1.1369
2007-07-03,1.1493
2007-07-05,1.1339
2007-07-06,1.1423
2007-07-09,1.15
2007-07-10,1.2033
2007-07-11,1.2366
2007-07-12,1.2448
2007-07-13,1.216
2007-07-16,1.1959
2007-07-17,1.2039
2007-07-18,1.2177
2007-07-19,1.1929
2007-07-20,1.2204
2007-07-23,1.2198
2007-07-24,1.2929
2007-07-25,1.2442
