Date,EQY_DVD_YLD_12M
2013-08-08,0.3869
2013-08-09,0.3879
2013-08-12,0.3935
2013-08-13,0.3854
2013-08-14,0.3889
2013-08-15,0.4022
2013-08-16,0.4032
2013-08-19,0.4076
2013-08-20,0.4044
2013-08-21,0.4016
2013-08-22,0.3943
2013-08-23,0.396
2013-08-26,0.3972
2013-08-27,0.4164
2013-08-28,0.4089
2013-08-29,0.4029
2013-08-30,0.4078
2013-09-03,0.4068
2013-09-04,0.3938
2013-09-05,0.3881
2013-09-06,0.3857
2013-09-09,0.3794
2013-09-10,0.372
2013-09-11,0.3707
2013-09-12,0.3745
2013-09-13,0.3696
2013-09-16,0.371
2013-09-17,0.3722
2013-09-18,0.3729
2013-09-19,0.3749
2013-09-20,0.3778
2013-09-23,0.3785
2013-09-24,0.3744
2013-09-25,0.3732
2013-09-26,0.3746
2013-09-27,0.3754
2013-09-30,0.3781
2013-10-01,0.3746
2013-10-02,0.366
2013-10-03,0.3656
2013-10-04,0.3589
2013-10-07,0.3613
2013-10-08,0.3679
2013-10-09,0.366
2013-10-10,0.3614
2013-10-11,0.3619
2013-10-14,0.357
2013-10-15,0.3589
2013-10-16,0.3575
2013-10-17,0.3285
2013-10-18,0.3274
2013-10-21,0.3228
2013-10-22,0.3246
2013-10-23,0.3297
2013-10-24,0.3242
2013-10-25,0.326
2013-10-28,0.3204
2013-10-29,0.3178
2013-10-30,0.3221
2013-10-31,0.6475
2013-11-01,0.6525
2013-11-04,0.6449
2013-11-05,0.6524
2013-11-06,0.6606
2013-11-07,0.6726
2013-11-08,0.6613
2013-11-11,0.6526
2013-11-12,0.6513
2013-11-13,0.6438
2013-11-14,0.6414
2013-11-15,0.6424
2013-11-18,0.6554
2013-11-19,0.6636
2013-11-20,0.6792
2013-11-21,0.6676
2013-11-22,0.6677
2013-11-25,0.6834
2013-11-26,0.6714
2013-11-27,0.6629
2013-11-29,0.6603
2013-12-02,0.6594
2013-12-03,0.6627
2013-12-04,0.6677
2013-12-05,0.673
2013-12-06,0.6621
2013-12-09,0.6515
2013-12-10,0.6526
2013-12-11,0.668
2013-12-12,0.6862
2013-12-13,0.679
2013-12-16,0.6719
2013-12-17,0.6606
2013-12-18,0.6544
2013-12-19,0.6554
2013-12-20,0.6474
2013-12-23,0.6405
2013-12-24,0.6397
2013-12-26,0.6384
2013-12-27,0.6407
2013-12-30,0.6422
2013-12-31,0.6379
2014-01-02,0.6486
2014-01-03,0.6535
2014-01-06,0.6584
2014-01-07,0.6495
2014-01-08,0.6127
2014-01-09,0.6193
2014-01-10,0.6198
2014-01-13,0.6322
2014-01-14,0.6228
2014-01-15,0.621
2014-01-16,0.6158
2014-01-17,0.6107
2014-01-21,0.626
2014-01-22,0.6234
2014-01-23,0.6248
2014-01-24,0.6477
2014-01-27,0.6471
2014-01-28,0.6466
2014-01-29,0.6517
2014-01-30,0.9611
2014-01-31,0.9705
2014-02-03,1.0016
2014-02-04,0.9892
2014-02-05,0.9814
2014-02-06,0.961
2014-02-07,0.9426
2014-02-10,0.9418
2014-02-11,0.9337
2014-02-12,0.9364
2014-02-13,0.9073
2014-02-14,0.9049
2014-02-18,0.9049
2014-02-19,0.9057
2014-02-20,0.8963
2014-02-21,0.9024
2014-02-24,0.8904
2014-02-25,0.8899
2014-02-26,0.8819
2014-02-27,0.8849
2014-02-28,0.9085
2014-03-03,0.8986
2014-03-04,0.8851
2014-03-05,0.8825
2014-03-06,0.8946
2014-03-07,0.9071
2014-03-10,0.9068
2014-03-11,0.9019
2014-03-12,0.8999
