Date,EQY_DVD_YLD_12M
2012-03-16,1.1289
2012-03-19,1.1161
2012-03-20,1.1036
2012-03-21,1.0861
2012-03-22,1.0685
2012-03-23,1.0689
2012-03-26,1.0581
2012-03-27,1.0642
2012-03-28,1.0685
2012-03-29,1.0772
2012-03-30,1.0765
2012-04-02,1.0647
2012-04-03,1.0525
2012-04-04,1.0534
2012-04-05,1.0522
2012-04-09,1.0597
2012-04-10,1.0886
2012-04-11,1.0672
2012-04-12,1.0556
2012-04-13,1.0534
2012-04-16,1.0735
2012-04-17,1.0586
2012-04-18,1.0465
2012-04-19,1.0583
2012-04-20,1.0488
2012-04-23,1.0692
2012-04-24,1.1474
2012-04-25,1.1219999999999999
2012-04-26,1.1169
2012-04-27,1.1158
2012-04-30,1.134
2012-05-01,1.1226
2012-05-02,1.0949
2012-05-03,1.1007
2012-05-04,1.143
2012-05-07,1.162
2012-05-08,1.1764999999999999
2012-05-09,1.1867
2012-05-10,1.162
2012-05-11,1.1369
2012-05-14,1.145
2012-05-15,1.1427
2012-05-16,1.1073
2012-05-17,1.1646
2012-05-18,1.1721
2012-05-21,1.1384
2012-05-22,1.105
2012-05-23,1.0965
2012-05-24,1.0997
2012-05-25,1.0995
2012-05-29,1.096
2012-05-30,1.1161
2012-05-31,1.1189
2012-06-01,1.1554
2012-06-04,1.1589
2012-06-05,1.1444
2012-06-06,1.0555
2012-06-07,1.0715
2012-06-08,1.0638
2012-06-11,1.084
2012-06-12,1.0609
2012-06-13,1.0911
2012-06-14,1.0755
2012-06-15,1.0434
2012-06-18,1.0308
2012-06-19,1.0335
2012-06-20,1.0235
2012-06-21,1.0521
2012-06-22,1.046
2012-06-25,1.0597
2012-06-26,1.0619
2012-06-27,1.0723
2012-06-28,1.1075
2012-06-29,1.0709
2012-07-02,1.0861
2012-07-03,1.0685
2012-07-05,1.0592
2012-07-06,1.0677
2012-07-09,1.0711
2012-07-10,1.0731
2012-07-11,1.0983
2012-07-12,1.0935
2012-07-13,1.0789
2012-07-16,1.0989
2012-07-17,1.0947
2012-07-18,1.0874
2012-07-19,1.081
2012-07-20,1.1425
