Date,EQY_DVD_YLD_12M
2015-08-10,0.6601
2015-08-11,0.6558
2015-08-12,0.6567
2015-08-13,0.6586
2015-08-14,0.6575
2015-08-17,0.6564
2015-08-18,0.6583
2015-08-19,0.6698
2015-08-20,0.6852
2015-08-21,0.7045
2015-08-24,0.7364
2015-08-25,0.7491
2015-08-26,0.7365
2015-08-27,0.702
2015-08-28,0.6899
2015-08-31,0.7005
2015-09-01,0.7115
2015-09-02,0.7147
2015-09-03,0.708
2015-09-04,0.7249
2015-09-08,0.7095
2015-09-09,0.7137
2015-09-10,0.7078
2015-09-11,0.7077
2015-09-14,0.6978
2015-09-15,0.6966
2015-09-16,0.7072
2015-09-17,0.7202
2015-09-18,0.7464
2015-09-21,0.7443
2015-09-22,0.7708
2015-09-23,0.7876
2015-09-24,0.7948
2015-09-25,0.8003
2015-09-28,0.832
2015-09-29,0.8221
2015-09-30,0.8082
2015-10-01,0.7995
2015-10-02,0.7843
2015-10-05,0.7685
2015-10-06,0.7655
2015-10-07,0.7691
2015-10-08,0.7672
2015-10-09,0.7222
2015-10-12,0.7381
2015-10-13,0.7486
2015-10-14,0.7456
2015-10-15,0.7423
2015-10-16,0.7452
2015-10-19,0.7661
2015-10-20,0.7733
2015-10-21,0.7909
2015-10-22,0.7919
2015-10-23,0.779
2015-10-26,0.7806
2015-10-27,0.7834
2015-10-28,0.7641
2015-10-29,0.7691
2015-10-30,0.7733
2015-11-02,0.7685
2015-11-03,0.7812
2015-11-04,0.7808
2015-11-05,0.8092
2015-11-06,0.7748
2015-11-09,0.8011
2015-11-10,0.81
2015-11-11,0.8063
2015-11-12,0.8438
2015-11-13,0.8563
2015-11-16,0.8674
2015-11-17,1.7414
2015-11-18,1.6774
2015-11-19,1.657
2015-11-20,1.6594
2015-11-23,1.6498
2015-11-24,1.6465
2015-11-25,1.6537
2015-11-27,1.6495
2015-11-30,1.6423
2015-12-01,1.6298
2015-12-02,1.6508
2015-12-03,1.6456
2015-12-04,1.6492
2015-12-07,1.6983000000000001
2015-12-08,1.7323
2015-12-09,1.7305000000000001
2015-12-10,1.7725
2015-12-11,1.8171
2015-12-14,1.8834
2015-12-15,1.9083999999999999
2015-12-16,1.8511
2015-12-17,1.8531
2015-12-18,1.8859
2015-12-21,1.8694
2015-12-22,1.8881000000000001
2015-12-23,1.8271
2015-12-24,1.8271
2015-12-28,1.8223
2015-12-29,1.8127
2015-12-30,1.8171
2015-12-31,1.8227
2016-01-04,1.8267
2016-01-05,1.8279
2016-01-06,1.88
2016-01-07,1.8988
2016-01-08,1.9830999999999999
2016-01-11,2.0913
2016-01-12,2.1682
2016-01-13,2.1905
2016-01-14,2.1597
2016-01-15,2.2443
2016-01-19,2.2806
2016-01-20,2.3064999999999998
2016-01-21,2.2837
2016-01-22,2.2032
2016-01-25,2.5895
2016-01-26,2.592
2016-01-27,2.5506
2016-01-28,2.6272
2016-01-29,2.3569
2016-02-01,2.375
2016-02-02,2.4925
2016-02-03,2.4963
2016-02-04,2.4151
2016-02-05,2.4895
2016-02-08,2.5831
2016-02-09,2.5436
2016-02-10,3.9785
2016-02-11,4.1658
2016-02-12,4.0195
2016-02-16,3.9583
2016-02-17,3.8131
2016-02-18,3.8106999999999998
2016-02-19,3.952
2016-02-22,3.8555
2016-02-23,3.8283
2016-02-24,3.8603
2016-02-25,3.8472
2016-02-26,3.7165
2016-02-29,3.6934
2016-03-01,3.5233
2016-03-02,3.3801
2016-03-03,3.3101
2016-03-04,3.393
2016-03-07,3.4417
2016-03-08,3.5273
2016-03-09,3.5035
2016-03-10,3.5595
2016-03-11,3.3746
2016-03-14,3.2805
2016-03-15,3.3691
2016-03-16,3.2831
2016-03-17,3.1664
2016-03-18,3.1632
2016-03-21,3.1096
2016-03-22,3.1034
2016-03-23,3.1818
2016-03-24,3.2371
2016-03-28,3.243
2016-03-29,3.2014
2016-03-30,3.2608
2016-03-31,3.1955999999999998
2016-04-01,3.1818
2016-04-04,3.2961
2016-04-05,3.4199
2016-04-06,3.3394
2016-04-07,3.371
2016-04-08,3.3537
2016-04-11,3.3501
2016-04-12,3.2874
2016-04-13,3.1891
2016-04-14,3.2557
2016-04-15,3.2296
2016-04-18,3.1973
2016-04-19,3.1346
2016-04-20,3.1536
2016-04-21,3.1648
2016-04-22,3.0615
2016-04-25,3.1385
2016-04-26,3.057
2016-04-27,2.996
2016-04-28,2.9874
2016-04-29,2.9802999999999997
2016-05-02,3.0185
2016-05-03,3.1236
2016-05-04,4.2685
2016-05-05,4.1379
2016-05-06,4.066
2016-05-09,4.0005
2016-05-10,3.9194
2016-05-11,3.8872999999999998
2016-05-12,3.912
2016-05-13,3.9074
2016-05-16,3.785
2016-05-17,3.9505
2016-05-18,4.0107
2016-05-19,4.0541
2016-05-20,3.9577999999999998
2016-05-23,3.9422
2016-05-24,3.877
2016-05-25,3.8071
2016-05-26,3.8148999999999997
2016-05-27,3.7707
2016-05-31,3.7869
2016-06-01,3.7888
2016-06-02,3.7622
2016-06-03,3.7744999999999997
2016-06-06,3.7276
2016-06-07,3.7351
2016-06-08,3.7064
2016-06-09,3.7221
2016-06-10,3.8462
2016-06-13,3.9505
2016-06-14,3.9641
2016-06-15,3.9093
2016-06-16,3.8521
2016-06-17,3.7755
2016-06-20,3.681
2016-06-21,3.6675
2016-06-22,3.7074
2016-06-23,3.6136
2016-06-24,3.887
2016-06-27,4.1818
2016-06-28,4.0247
2016-06-29,3.9494
2016-06-30,3.859
2016-07-01,3.8411999999999997
2016-07-05,4.0497
2016-07-06,4.0086
2016-07-07,4.0366
2016-07-08,3.8911
2016-07-11,3.859
2016-07-12,3.7744999999999997
2016-07-13,3.7869
2016-07-14,3.7304
2016-07-15,3.5286
2016-07-18,3.4682
2016-07-19,3.4949
2016-07-20,3.4419
2016-07-21,3.465
2016-07-22,3.4779
2016-07-25,3.5014
2016-07-26,3.438
2016-07-27,3.469
2016-07-28,3.5071
2016-07-29,3.4957
2016-08-01,3.5782
2016-08-02,3.6576
2016-08-03,3.5757
2016-08-04,3.4309
2016-08-05,3.4029
2016-08-08,3.4083
2016-08-09,3.4223
2016-08-10,3.42
2016-08-11,3.3135
2016-08-12,3.3731
2016-08-15,3.4091
2016-08-16,3.3437
2016-08-17,3.2974
2016-08-18,3.2916
2016-08-19,3.3032
2016-08-22,3.3822
2016-08-23,3.3572
2016-08-24,3.3731
2016-08-25,3.1867
2016-08-26,3.1217
2016-08-29,3.0871
2016-08-30,3.0902
2016-08-31,3.1315
2016-09-01,3.0921
2016-09-02,3.0896
2016-09-06,3.0719
2016-09-07,3.0562
2016-09-08,3.1127
2016-09-09,3.2265
2016-09-12,3.1719
2016-09-13,3.2216
2016-09-14,3.263
2016-09-15,3.2237
2016-09-16,3.1433
2016-09-19,3.1466
2016-09-20,3.1753
2016-09-21,3.1062
2016-09-22,3.1017
2016-09-23,3.0992
2016-09-26,3.1453
2016-09-27,3.1513
2016-09-28,3.142
2016-09-29,3.1706
2016-09-30,3.0941
2016-10-03,3.1114
2016-10-04,3.1335
2016-10-05,3.223
2016-10-06,3.1612
2016-10-07,3.2258
2016-10-10,3.1928
2016-10-11,3.2852
2016-10-12,3.2609
2016-10-13,3.3296
2016-10-14,3.2113
2016-10-17,3.1519
2016-10-18,3.1381
2016-10-19,3.0832
2016-10-20,3.1976
2016-10-21,3.23
2016-10-24,3.1773
2016-10-25,3.1942
2016-10-26,3.1949
2016-10-27,3.2376
2016-10-28,3.2496
2016-10-31,3.2475
2016-11-01,3.3105
2016-11-02,3.273
2016-11-03,3.288
2016-11-04,3.2362
2016-11-07,3.3135
2016-11-08,3.283
2016-11-09,3.1453
2016-11-10,3.1005
2016-11-11,3.1283
2016-11-14,3.0352
2016-11-15,3.0211
2016-11-16,2.9976000000000003
2016-11-17,3.0635
2016-11-18,3.0336
2016-11-21,3.0222
2016-11-22,3.0061
2016-11-23,2.9984
2016-11-25,2.9838
2016-11-28,2.9949
2016-11-29,2.9967
2016-11-30,2.9785
2016-12-01,2.9949
2016-12-02,2.9896000000000003
2016-12-05,2.96
2016-12-06,2.9457
2016-12-07,2.8888
2016-12-08,2.8921
2016-12-09,2.9074999999999998
2016-12-12,2.9861
2016-12-13,2.9832
2016-12-14,2.9629
2016-12-15,2.9125
2016-12-16,2.8926
2016-12-19,2.9153000000000002
2016-12-20,2.9059
2016-12-21,2.9148
2016-12-22,2.9594
2016-12-23,2.9389
2016-12-27,2.9175
2016-12-28,2.9594
2016-12-29,2.9549
2016-12-30,3.0037
2017-01-03,2.9774000000000003
2017-01-04,2.9333
2017-01-05,2.9198
2017-01-06,2.9053
2017-01-09,2.9215
2017-01-10,2.9282
2017-01-11,2.9086
2017-01-12,2.9209
2017-01-13,2.9131
2017-01-17,2.9635
2017-01-18,2.9509
2017-01-19,2.9739
2017-01-20,2.9209
2017-01-23,2.8687
2017-01-24,2.8215
2017-01-25,2.7418
2017-01-26,2.8023
2017-01-27,2.8288
2017-01-30,2.8367
2017-01-31,2.8579
2017-02-01,2.866
2017-02-02,2.842
2017-02-03,2.8068999999999997
2017-02-06,2.8137
2017-02-07,2.8293
2017-02-08,2.8693
2017-02-09,2.9631
2017-02-10,2.9535
2017-02-13,2.9412000000000003
2017-02-14,2.8961
2017-02-15,2.8778
2017-02-16,2.8529
2017-02-17,2.9434
2017-02-21,2.8794
2017-02-22,2.9141
2017-02-23,2.9059
2017-02-24,2.901
2017-02-27,2.8848000000000003
2017-02-28,2.8853
2017-03-01,2.8409
2017-03-02,2.8677
2017-03-03,2.8682
2017-03-06,2.9716
2017-03-07,3.0452
2017-03-08,3.0214
2017-03-09,3.0434
2017-03-10,3.025
2017-03-13,3.0203
2017-03-14,3.047
2017-03-15,2.9929
2017-03-16,2.9552
2017-03-17,2.9591
2017-03-20,2.9196
2017-03-21,3.0109
2017-03-22,2.9546
2017-03-23,2.9295
2017-03-24,2.958
2017-03-27,3.0039
2017-03-28,2.9323
2017-03-29,2.9791
2017-03-30,2.949
2017-03-31,2.9791
2017-04-03,3.0256
2017-04-04,3.0068
2017-04-05,3.0039
2017-04-06,2.9882
2017-04-07,3.0345
2017-04-10,3.0279
2017-04-11,3.0398
2017-04-12,3.1106
2017-04-13,3.1415
2017-04-17,3.0907
2017-04-18,3.0614
2017-04-19,2.9301
2017-04-20,2.9201
2017-04-21,2.9234
2017-04-24,2.8693
2017-04-25,2.8514
2017-04-26,2.8891
2017-04-27,2.855
2017-04-28,2.894
2017-05-01,2.8645
2017-05-02,2.8603
2017-05-03,2.9172000000000002
2017-05-04,2.9107
2017-05-05,2.8626
2017-05-08,2.8841
2017-05-09,2.9489
2017-05-10,2.9107
2017-05-11,2.9016
2017-05-12,2.9341
2017-05-15,2.9167
2017-05-16,2.9281
2017-05-17,3.0207
2017-05-18,3.0529
2017-05-19,3.0294
2017-05-22,3.0109
2017-05-23,2.9886
