Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,0.2682
2006-06-30,0.4189
2006-09-30,0.1083
2006-12-31,0.0452
2007-03-31,0.0769
2007-06-30,0.1145
2007-09-30,0.2238
2007-12-31,1.4392
2008-03-31,0.8827
2008-06-30,1.1511
2008-09-30,1.2987
2008-12-31,0.5176
2009-03-31,96.3931
2009-06-30,-1.2601
2009-09-30,-0.5646
2009-12-31,-0.4229
2010-03-31,-0.0758
2010-06-30,-0.2537
2010-09-30,-0.5015
2010-12-31,-0.5076
2011-03-31,-0.9839
2011-06-30,-2.8921
2011-09-30,-1.2089
2011-12-31,10.3453
2012-03-31,-14.2203
2012-06-30,-111.1429
2012-09-30,0.1487
2012-12-31,1.6922000000000001
2013-03-31,-0.6451
2013-06-30,0.3937
2013-09-30,29.8615
2013-12-31,-6.5441
2014-03-31,2.6093
2014-06-30,-13.3265
2014-09-30,-1.9893999999999998
2014-12-31,-16.5004
2015-03-31,-0.4013
2015-06-30,0.4936
2015-09-30,0.5708
2015-12-31,1.3532
2016-03-31,0.6563
2016-06-30,0.3891
2016-09-30,0.3638
2016-12-31,0.2222
2017-03-31,0.2778
