Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,1.6132
2006-06-30,1.9788999999999999
2006-09-30,1.2008
2006-12-31,2.3265000000000002
2007-03-31,1.3891
2007-06-30,1.202
2007-09-30,-1.9862
2007-12-31,-24.5934
2008-03-31,-2.6
2008-06-30,-7.8822
2008-09-30,-0.5748
2008-12-31,0.3893
2009-03-31,6.7178
2009-06-30,-2.0043
2009-09-30,-0.9862
2009-12-31,0.0219
2010-03-31,25.3606
2010-06-30,1.9977
2010-09-30,0.8763
2010-12-31,0.057
2011-03-31,2.9336
2011-06-30,1.501
2011-09-30,0.9456
2011-12-31,0.7132
2012-03-31,0.958
2012-06-30,1.2412
2012-09-30,3.255
2012-12-31,1.5653000000000001
2013-03-31,1.4747
2013-06-30,1.2001
2013-09-30,0.4248
2013-12-31,0.1411
2014-03-31,-0.114
2014-06-30,-0.0376
2014-09-30,-0.0345
2014-12-31,0.7862
2015-03-31,-0.4235
2015-06-30,0.371
2015-09-30,0.7511
2015-12-31,0.8012
2016-03-31,-0.691
2016-06-30,0.9335
2016-09-30,0.9067
2017-03-31,0.8977
