Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,0.5078
2006-06-30,1.4534
2006-09-30,0.0894
2006-12-31,2.7627
2007-03-31,5.517
2007-06-30,1.073
2007-09-30,1.4413
2007-12-31,0.88
2008-03-31,1.2686
2008-06-30,5.3075
2008-09-30,5.1084
2008-12-31,0.3256
2009-03-31,0.8565
2009-06-30,0.902
2009-09-30,0.2786
2009-12-31,-38.7977
2010-03-31,1.7466
2010-06-30,0.4257
2010-09-30,0.1839
2010-12-31,1.6659
2011-03-31,2.0913
2011-06-30,3.0347
2011-09-30,2.7347
2011-12-31,1.3147
2012-03-31,0.5374
2012-06-30,0.2661
2012-09-30,1.3269
2012-12-31,0.6958
2013-03-31,-0.3194
2013-06-30,-1.0593
2013-09-30,2.9481
2013-12-31,1.2727
2014-03-31,0.4186
2014-06-30,0.2648
2014-09-30,-4.5081
2014-12-31,9.3649
2015-03-31,3.6471
2015-06-30,-0.5552
2015-09-30,-0.66
2015-12-31,-0.3772
2016-03-31,-0.5215
2016-06-30,-8.7082
2016-09-30,-5.8049
2016-12-31,-15.0431
2017-03-31,-2.2567
