Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2009-09-30,6.1293
2009-12-31,1.6021
2010-03-31,-0.4696
2010-06-30,3.0273
2010-09-30,-4.4349
2010-12-31,6.4109
2011-03-31,-4.3514
2011-06-30,-2.2022
2011-09-30,-16.363
2011-12-31,-20.3857
2012-03-31,-2.1838
2012-06-30,-6.0745
2012-09-30,3.5169
2012-12-31,1.7593
2013-03-31,0.6866
2013-06-30,-1.0078
2013-09-30,-0.4239
2013-12-31,1.2858
2014-03-31,0.0391
2014-06-30,-2.0038
2014-09-30,-3.2403
2014-12-31,-7.4755
2015-03-31,-2.3579
2015-06-30,-2.9515000000000002
2015-09-30,0.229
2015-12-31,-0.2884
2016-03-31,0.0708
2016-06-30,-0.3902
2016-09-30,-0.77
2016-12-31,-1.2633
2017-03-31,-2.8669000000000002
