Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,-0.1626
2006-06-30,-0.4393
2006-09-30,-1.4615
2006-12-31,1.1343
2007-03-31,-0.2217
2007-06-30,-0.5361
2007-09-30,0.5897
2007-12-31,-0.6877
2008-03-31,0.3757
2008-06-30,-0.0909
2008-09-30,0.2635
2008-12-31,1.5605
2009-03-31,-12.4103
2009-06-30,-0.3718
2009-09-30,20.9194
2009-12-31,1.9538
2010-03-31,1.0707
2010-06-30,0.6387
2010-09-30,0.1323
2010-12-31,1.106
2011-03-31,0.2339
2011-06-30,3.1059
2011-09-30,1.1621
2011-12-31,1.3673
2012-03-31,2.1621
2012-06-30,-0.771
2012-09-30,0.2683
2012-12-31,0.7725
2013-03-31,0.7828
2013-06-30,0.8624
2013-09-30,1.0016
2013-12-31,0.7852
2014-03-31,1.6378
2014-06-30,0.8429
2014-09-30,0.7082
2014-12-31,10.3994
2015-03-31,0.8048
2015-06-30,0.8982
2015-12-31,0.4746
