Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,-0.2337
2006-06-30,0.2789
2006-09-30,0.321
2006-12-31,0.0354
2007-03-31,-0.2631
2007-06-30,-0.308
2007-09-30,-1.1578
2007-12-31,0.6518
2008-03-31,-0.6439
2008-06-30,-2.9867
2008-09-30,1.1364
2008-12-31,3.282
2009-03-31,2.1773
2009-06-30,0.1751
2009-09-30,-1.8827
2009-12-31,-2.0253
2010-03-31,-10.0722
2010-06-30,-15.1321
2010-09-30,-2.3739
2010-12-31,2.4455
2011-03-31,0.9814
2011-06-30,1.6341
2011-09-30,0.6
2011-12-31,1.0279
2012-03-31,2.0047
2012-06-30,3866.6255
2012-09-30,-2.4054
2012-12-31,0.721
2013-03-31,-0.1493
2013-06-30,-1.2889
2013-09-30,1.9408
2013-12-31,-0.0259
2014-03-31,0.2811
2014-06-30,0.1286
2014-09-30,-5.9083
2014-12-31,0.74
2015-03-31,0.7658
2015-06-30,0.5625
2015-09-30,1.2643
2015-12-31,0.7347
2016-03-31,0.9151
2016-06-30,1.0943
2016-09-30,0.8364
2016-12-31,1.5214
2017-03-31,1.7726
