Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-02-27,6.1272
2006-05-31,0.9417
2006-08-31,1.0161
2006-11-30,0.9995
2007-02-28,1.588
2007-05-31,-0.5292
2007-08-31,0.0049
2007-11-30,0.1685
2008-02-29,-0.5263
2008-05-31,4.7506
2008-08-31,0.5986
2008-11-30,0.5304
2009-02-28,0.9534
2009-05-31,1.2431
2009-08-31,1.0839
2009-11-30,-0.1677
2010-02-28,-0.7796
2010-05-31,5.2713
2010-08-31,3.4885
2010-11-30,2.93
2011-02-28,-29.1652
2011-05-31,1.4022000000000001
2011-08-31,1.3443
2011-11-30,0.7855
2012-02-29,-0.0312
2012-05-31,-15.7248
2012-08-31,6.9803
2012-11-30,0.9605
2013-02-28,0.7171
2013-05-31,1.4718
2013-08-31,0.1869
2013-11-30,0.1617
2014-02-28,0.2075
2014-05-31,0.1847
2014-08-31,0.8368
2014-11-30,0.8299
2015-02-28,0.9501
2015-05-31,0.0179
2015-08-31,-0.0126
2015-11-30,-0.3449
2016-02-29,0.0968
2016-05-31,0.5138
2016-08-31,0.2647
2016-11-30,1.2212
2017-02-28,1.0172
