Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,1.2075
2006-06-30,1.0698
2006-09-30,-186.9237
2006-12-31,-1.6128
2007-03-31,-3.9322
2007-06-30,-14.031
2007-09-30,1.306
2007-12-31,0.1209
2008-03-31,0.6063
2008-06-30,0.5425
2008-09-30,0.6473
2008-12-31,-0.1729
2009-03-31,0.3733
2009-06-30,0.4596
2009-09-30,0.5223
2009-12-31,-0.0858
2010-03-31,0.142
2010-06-30,0.315
2010-09-30,0.8405
2010-12-31,0.7406
2011-03-31,0.7815
2011-06-30,1.1499
2011-09-30,0.5394
2011-12-31,1.0539
2012-03-31,-1.0072
2012-06-30,2.8565
2012-09-30,0.1135
2012-12-31,0.5734
2013-03-31,-0.7746
2013-06-30,-1.5278
2013-09-30,-0.773
2013-12-31,-3.6375
2014-03-31,-5.6848
2014-06-30,2.3158
2014-09-30,-1.105
2014-12-31,-0.1486
2015-03-31,0.3597
2015-06-30,0.2511
2015-09-30,0.177
2015-12-31,0.0831
2016-03-31,-0.0263
2016-06-30,0.2137
2016-09-30,0.5252
2016-12-31,-5.7549
