Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2011-03-31,1.7953000000000001
2011-06-30,2.5259
2011-09-30,1.9454
2011-12-31,2.0615
2012-03-31,1.3884
2012-06-30,1.5909
2012-09-30,1.6312
2012-12-31,0.3547
2013-03-31,13.3158
2013-06-30,2.2066
2013-09-30,1.6143999999999998
2013-12-31,1.7966
2014-03-31,1.6187
2014-06-30,0.5548
2014-09-30,1.1994
2014-12-31,0.9368
2015-03-31,0.8816
2015-06-30,1.5655000000000001
2015-09-30,1.3944
2015-12-31,1.9665
2016-03-31,1.6478000000000002
2016-06-30,2.3139
2016-09-30,2.1407
2016-12-31,1.1628
2017-03-31,1.7178
