Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,1.0798
2006-06-30,1.1196
2006-09-30,1.4191
2006-12-31,1.4341
2007-03-31,0.6511
2007-06-30,0.7494
2007-09-30,0.4517
2007-12-31,1.0286
2008-03-31,1.5136
2008-06-30,0.6272
2008-09-30,1.1364
2008-12-31,0.9244
2009-03-31,1.0263
2009-06-30,1.1851
2009-09-30,1.6854
2009-12-31,4.1233
2010-03-31,1.7036
2010-06-30,1.0897
2010-09-30,0.5729
2010-12-31,0.4951
2011-03-31,0.6434
2011-06-30,0.7492
2011-09-30,0.0761
2011-12-31,-0.3018
2012-03-31,0.017
2012-06-30,0.9577
2012-09-30,2.2893
2012-12-31,2.0972
2013-03-31,3.9903
2013-06-30,0.958
2013-09-30,0.9012
2013-12-31,0.4859
2014-03-31,0.4888
2014-06-30,0.6498
2014-09-30,0.7531
2014-12-31,0.8583
2015-03-31,0.5426
2015-06-30,0.3908
2015-09-30,0.3259
2015-12-31,0.2847
2016-03-31,0.6731
2016-06-30,1.0137
2016-09-30,1.0379
2016-12-31,0.7295
2017-03-31,2.2057
