Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,11.8652
2006-06-30,10.314
2006-09-30,-17.8628
2006-12-31,4.1871
2007-03-31,2.5141999999999998
2007-06-30,-1.3441
2007-09-30,-1.1406
2007-12-31,-3.1704
2008-03-31,0.7529
2008-06-30,0.201
2008-09-30,0.0046
2008-12-31,0.1186
2009-03-31,0.4724
2009-06-30,0.2313
2009-09-30,-0.4197
2009-12-31,-0.2346
2010-03-31,-0.0563
2010-06-30,0.0602
2010-09-30,-3.5025
2010-12-31,2.4747
2011-03-31,-16.3436
2011-06-30,0.9889
2011-09-30,2.3891999999999998
2011-12-31,0.0754
2012-03-31,0.5418
2012-06-30,0.5947
2012-09-30,0.6401
2012-12-31,0.5165
2013-03-31,-13.593
2013-06-30,2.1907
2013-09-30,-2.4045
2013-12-31,-0.353
2014-03-31,0.023
2014-06-30,-0.0397
2014-09-30,-0.2887
2014-12-31,1.45
2015-03-31,0.1519
2015-06-30,14.0342
2015-09-30,1088.4902
2015-12-31,0.8105
2016-03-31,5.2618
2016-06-30,29.6833
2016-09-30,13.2965
2016-12-31,-0.0959
2017-03-31,2.0191
