Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,0.6727
2006-06-30,-0.629
2006-09-30,37.6175
2006-12-31,0.9062
2007-03-31,9.2488
2007-06-30,0.0742
2007-09-30,0.7202
2007-12-31,4.9896
2008-03-31,1.0567
2008-06-30,0.738
2008-09-30,0.143
2008-12-31,-3.8137
2009-03-31,5.9162
2009-06-30,4.9042
2009-09-30,2.6037
2009-12-31,-8.4072
2010-03-31,21.6978
2010-06-30,6.4778
2010-09-30,0.8356
2010-12-31,4.4559
2011-03-31,4.4617
2011-06-30,3.2798
2011-09-30,15.9807
2011-12-31,0.8031
2012-03-31,0.639
2012-06-30,-0.1978
2012-09-30,-1.0882
2012-12-31,-1.928
2013-03-31,-2.4759
2013-06-30,-4.5784
2013-09-30,-4.9226
2013-12-31,-1.9351
2014-03-31,-0.4908
2014-06-30,-0.0079
2014-09-30,0.3527
2014-12-31,1.9127
2015-03-31,5.1202
2015-06-30,19.8709
2015-09-30,-6.665
2015-12-31,-14.7606
2016-03-31,-7.3783
2016-06-30,-8.0436
2016-09-30,7.1251
2016-12-31,1.6426
