Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,1.5735
2006-06-30,-0.2858
2006-09-30,0.3872
2006-12-31,34.6091
2007-03-31,-0.3186
2007-06-30,-0.6514
2007-09-30,-0.5768
2007-12-31,0.2399
2008-03-31,-0.4743
2008-06-30,7.1881
2008-09-30,0.8905
2008-12-31,13.4394
2009-03-31,-4.7416
2009-06-30,1.9662
2009-09-30,-1.4942
2009-12-31,1.1761
2010-03-31,0.0562
2010-06-30,0.1519
2010-09-30,-0.8111
2010-12-31,-0.0397
2011-03-31,-0.392
2011-06-30,-0.8398
2011-09-30,-0.8735
2011-12-31,-0.8734
2012-03-31,-0.8717
2012-06-30,2.9444
2012-09-30,2.6779
2012-12-31,2.9642
2013-03-31,0.4116
2013-06-30,0.0231
2013-09-30,-0.9543
2013-12-31,-2.9308
2014-03-31,0.2082
2014-06-30,0.5555
2014-09-30,1.7664
2014-12-31,4.5595
2015-03-31,0.0152
2015-06-30,-0.4516
2015-09-30,-1.4436
2015-12-31,-6.3574
2016-03-31,-2.3934
2016-06-30,0.1162
2016-09-30,-17.1711
2016-12-31,-0.6786
2017-03-31,-0.2817
