Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-04-01,0.7614
2006-07-01,1.2596
2006-09-30,1.4681
2006-12-30,5.4443
2007-03-31,1.1076
2007-06-30,1.9552
2007-09-29,1.2349
2007-12-29,0.4666
2008-03-29,1.1634
2008-06-28,-0.1747
2008-09-27,0.1503
2008-12-27,-0.4855
2009-03-28,-0.1814
2009-06-27,-0.8561
2009-09-26,-0.9501
2009-12-26,1.5350000000000001
2010-03-27,1.5063
2010-06-26,0.708
2010-09-25,1.6944
2010-12-25,0.4501
2011-03-26,0.737
2011-06-25,2.3298
2011-09-24,0.5345
2011-12-31,0.6375
2012-03-31,0.437
2012-06-30,0.847
2012-09-29,1.2959
2012-12-29,2.5004999999999997
2013-03-30,1.6798
2013-06-29,1.1317
2013-09-28,0.8937
2013-12-28,0.7821
2014-03-29,0.7995
2014-06-28,0.7529
2014-09-27,1.0715
2014-12-27,1.1629
2015-03-28,0.9534
2015-06-27,1.0053
2015-09-26,1.0771
2015-12-26,3.8476
2016-03-26,0.7098
2016-06-25,1.2629000000000001
2016-09-24,1.1724999999999999
2016-12-31,0.405
2017-04-01,1.9391
