Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2008-05-03,1.6776
2008-08-02,1.3439
2008-11-01,1.0073
2009-01-31,2.0549
2009-05-02,0.6757
2009-08-01,0.6275
2009-10-31,0.1639
2010-01-30,-0.1935
2010-05-01,-0.0501
2010-07-31,0.4113
2010-10-30,0.5186
2011-01-29,0.2866
2011-04-30,0.5859
2011-07-30,0.6786
2011-10-29,0.8118
2012-01-28,0.5204
2012-04-28,1.3121
2012-07-28,1.0149
2012-10-27,1.3572
2013-02-02,1.5729
2013-05-04,1.4462
2013-08-03,1.8408
2013-11-02,1.1536
2014-02-01,1.8620999999999999
2014-05-06,0.8985
2014-08-02,0.7859
2014-11-01,1.0662
2015-01-31,1.3017
2015-05-02,1.1443
2015-08-01,1.5591
2015-10-31,1.113
2016-01-30,1.475
2016-04-30,1.15
2016-07-30,1.4518
2016-10-29,1.1795
2017-01-28,0.9713
