Date,INVENTORY_GROWTH_TO_SALES_GROWTH
2006-03-31,0.9112
2006-06-30,39.6242
2006-09-30,1.3388
2006-12-31,0.3755
2007-03-31,-0.3205
2007-06-30,0.3684
2007-09-30,3.9959
2007-12-31,0.9076
2008-03-31,1.0075
2008-06-30,1.5274999999999999
2008-09-30,1.9595
2008-12-31,6.3396
2009-03-31,-0.5495
2009-06-30,0.601
2009-09-30,1.2585
2009-12-31,4.5626
2010-03-31,0.0862
2010-06-30,0.458
2010-09-30,0.4884
2010-12-31,0.4883
2011-03-31,-6.9833
2011-06-30,0.7767
2011-09-30,0.3567
2011-12-31,178.1042
2012-03-31,-0.8588
2012-06-30,0.3578
2012-09-30,1.9664000000000001
2012-12-31,19.8783
2013-03-31,-0.7073
2013-06-30,0.3437
2013-09-30,2.0703
2013-12-31,1.0859
2014-03-31,-0.1699
2014-06-30,0.3131
2014-09-30,2.9141
2014-12-31,0.4944
2015-03-31,-2.1065
2015-06-30,-0.9907
2015-09-30,1.5368
2015-12-31,-0.1977
2016-03-31,-0.4581
2016-06-30,1.8279999999999998
2016-09-30,-0.9738
2016-12-31,-0.1273
2017-03-31,-0.0298
