Date,CUR_MKT_CAP
2006-01-03,12354.0627
2006-01-04,12503.6657
2006-01-05,12165.0904
2006-01-06,12385.558
2006-01-09,12267.4504
2006-01-10,12475.3199
2006-01-11,12480.0442
2006-01-12,12223.3568
2006-01-13,12272.1747
2006-01-17,12508.39
2006-01-18,12324.1421
2006-01-19,12624.9229
2006-01-20,12617.0491
2006-01-23,12828.0681
2006-01-24,12706.8109
2006-01-25,12267.4504
2006-01-26,12324.1421
2006-01-27,12563.5069
2006-01-30,12961.9235
2006-01-31,12794.998
2006-02-01,12335.1654
2006-02-02,12276.899
2006-02-03,12276.899
2006-02-06,12787.1241
2006-02-07,11828.0898
2006-02-08,11991.8658
2006-02-09,11569.8277
2006-02-10,11511.5613
2006-02-13,11424.949
2006-02-14,11054.8783
2006-02-15,10802.9152
2006-02-16,10889.5275
2006-02-17,10686.3823
2006-02-21,10897.4014
2006-02-22,10790.3171
2006-02-23,10768.2703
2006-02-24,10651.7374
2006-02-27,10380.8771
2006-02-28,10385.6014
2006-03-01,10528.9054
2006-03-02,10582.4476
2006-03-03,10738.3497
2006-03-06,10303.7134
2006-03-07,10117.8907
2006-03-08,10062.7738
2006-03-09,10114.7412
2006-03-10,10062.7738
2006-03-13,10314.7368
2006-03-14,10645.4383
2006-03-15,10535.2045
2006-03-16,10555.0528
2006-03-17,10317.0866
2006-03-20,9994.5798
2006-03-21,10061.8992
2006-03-22,10111.9974
2006-03-23,10420.4141
2006-03-24,10586.3642
2006-03-27,10692.8227
2006-03-28,10932.3545
2006-03-29,11068.5588
2006-03-30,11550.7534
2006-03-31,11206.3287
2006-04-03,11096.739
2006-04-04,11272.0825
2006-04-05,11425.5081
2006-04-06,11467.7784
2006-04-07,11193.8042
2006-04-10,11311.2217
2006-04-11,11247.0334
2006-04-12,11234.5089
2006-04-13,11381.6722
2006-04-17,11774.6295
2006-04-18,11976.5912
2006-04-19,12067.3941
2006-04-20,11810.641
2006-04-21,12089.312
2006-04-24,11892.0505
2006-04-25,11732.3627
2006-04-26,11704.1824
2006-04-27,11463.085
2006-04-28,11688.5268
2006-05-01,12001.6403
2006-05-02,12377.3765
2006-05-03,12054.8696
2006-05-04,12086.1809
2006-05-05,12314.7538
2006-05-08,12089.312
2006-05-09,12180.115
2006-05-10,12530.8021
2006-05-11,12164.4593
2006-05-12,11465.2507
2006-05-15,11142.6355
2006-05-16,11099.2065
2006-05-17,10934.7968
2006-05-18,10751.7746
2006-05-19,11027.8589
2006-05-22,11046.4713
2006-05-23,10947.2051
2006-05-24,10798.3057
2006-05-25,11164.35
2006-05-26,11089.9003
2006-05-30,10894.4699
2006-05-31,11139.5334
2006-06-01,11105.4106
2006-06-02,11173.6562
2006-06-05,10813.816
2006-06-06,10714.5498
2006-06-07,10159.2793
2006-06-08,10205.8103
2006-06-09,10177.8917
2006-06-12,9647.4377
2006-06-13,9318.6183
2006-06-14,9600.9067
2006-06-15,10050.7068
2006-06-16,10060.013
2006-06-19,9774.6226
2006-06-20,9613.315
2006-06-21,9864.5826
2006-06-22,9898.7054
2006-06-23,10041.4006
2006-06-26,10112.7482
2006-06-27,10022.7882
2006-06-28,10118.9524
2006-06-29,10407.4449
2006-06-30,10481.8946
2006-07-03,10609.0794
2006-07-05,10516.0173
2006-07-06,10370.22
2006-07-07,10087.9317
2006-07-10,10171.6876
2006-07-11,10255.4434
2006-07-12,10227.5248
2006-07-13,9911.1137
2006-07-14,9892.5013
2006-07-17,9470.6197
2006-07-18,9427.1908
2006-07-19,9666.0501
2006-07-20,9309.3121
2006-07-21,9116.9838
2006-07-24,9507.8446
2006-07-25,10010.3799
2006-07-26,10574.9567
2006-07-27,10422.9552
2006-07-28,10547.038
2006-07-31,10956.5113
2006-08-01,10984.4299
2006-08-02,10919.2864
2006-08-03,10237.6312
2006-08-04,10100.0528
2006-08-07,10168.842
2006-08-08,10123.9794
2006-08-09,10076.1261
2006-08-10,10195.7595
2006-08-11,10123.9794
2006-08-14,9794.9875
2006-08-15,9923.5934
2006-08-16,10076.1261
2006-08-17,9884.7126
2006-08-18,10117.9978
2006-08-21,10198.7503
2006-08-22,10001.3552
2006-08-23,9866.7676
2006-08-24,10034.2544
2006-08-25,10234.6404
2006-08-28,9959.4835
2006-08-29,10022.291
2006-08-30,9854.8042
2006-08-31,9833.8684
2006-09-01,10049.2085
2006-09-05,9926.5843
2006-09-06,9666.3816
2006-09-07,9627.5007
2006-09-08,9454.0322
2006-09-11,9053.2602
2006-09-12,8966.526
2006-09-13,9145.9761
2006-09-14,8915.6817
2006-09-15,8990.4526
2006-09-18,9304.4904
2006-09-19,9187.8478
2006-09-20,8870.8192
2006-09-21,8924.6543
2006-09-22,8649.4974
2006-09-25,8670.4332
2006-09-26,8909.7001
2006-09-27,8852.8742
2006-09-28,8793.0575
2006-09-29,8897.7367
2006-10-02,8586.6898
2006-10-03,8281.6245
2006-10-04,8386.3038
2006-10-05,8547.8089
2006-10-06,8532.8548
2006-10-09,8398.2671
2006-10-10,9020.361
2006-10-11,8843.9017
2006-10-12,9154.9486
2006-10-13,9151.9578
2006-10-16,9298.5087
2006-10-17,9065.2235
2006-10-18,8927.6451
2006-10-19,9217.7562
2006-10-20,9163.9211
2006-10-23,9160.9303
2006-10-24,9376.2705
2006-10-25,9340.3804
2006-10-26,9516.8398
2006-10-27,9280.5637
2006-10-30,9128.0311
2006-10-31,9235.7012
2006-11-01,9202.802
2006-11-02,9190.5947
2006-11-03,9373.0902
2006-11-06,9391.0406
2006-11-07,9391.0406
2006-11-08,9579.5196
2006-11-09,9681.2384
2006-11-10,9537.6354
2006-11-13,9337.1895
2006-11-14,9274.3631
2006-11-15,9417.9662
2006-11-16,9064.942
2006-11-17,9142.727
2006-11-20,9546.6106
2006-11-21,9797.9159
2006-11-22,9812.8745
2006-11-24,9779.9655
2006-11-27,9618.4121
2006-11-28,9762.0151
2006-11-29,10129.9979
2006-11-30,10100.0806
2006-12-01,10342.4108
2006-12-04,10070.1633
2006-12-05,9902.6264
2006-12-06,10037.2543
2006-12-07,9965.4528
2006-12-08,9908.6099
2006-12-11,9773.982
2006-12-12,9738.0813
2006-12-13,9678.2467
2006-12-14,9770.9903
2006-12-15,9705.1723
2006-12-18,9495.7512
2006-12-19,9537.6354
2006-12-20,9465.8339
2006-12-21,9238.4624
2006-12-22,9187.603
2006-12-26,9043.9999
2006-12-27,9133.7518
2006-12-28,9043.9999
2006-12-29,8909.3721
2007-01-03,8391.8028
2007-01-04,8436.6787
2007-01-05,8541.3893
2007-01-08,8601.2239
2007-01-09,8535.4058
2007-01-10,8511.472
2007-01-11,8460.6126
2007-01-12,8756.7938
2007-01-16,8684.9923
2007-01-17,8714.9096
2007-01-18,8655.075
2007-01-19,8840.5623
2007-01-22,8897.4051
2007-01-23,9052.9751
2007-01-24,8990.1488
2007-01-25,8756.7938
2007-01-26,8777.7359
2007-01-29,8717.9013
2007-01-30,8969.2067
2007-01-31,9058.9586
