Date,CUR_MKT_CAP
2007-06-15,19229.8344
2007-06-18,18412.0708
2007-06-19,18189.0444
2007-06-20,17817.3337
2007-06-21,18189.0444
2007-06-22,19304.1765
2007-06-25,19452.8608
2007-06-26,19576.7644
2007-06-27,19700.668
2007-06-28,19626.3258
2007-06-29,19358.6941
2007-07-02,19809.7031
2007-07-03,19656.0627
2007-07-05,19551.9837
2007-07-06,19735.361
2007-07-09,19973.2558
2007-07-10,19328.9572
2007-07-11,19358.6941
2007-07-12,19333.9134
2007-07-13,19561.896
2007-07-16,19477.6415
2007-07-17,19259.5712
2007-07-18,18803.6061
2007-07-19,18882.9044
2007-07-20,18848.2114
2007-07-23,19284.352
2007-07-24,19031.5887
2007-07-25,19066.2817
2007-07-26,18615.2727
2007-07-27,18312.948
2007-07-30,17866.8951
2007-07-31,17752.9038
2007-08-01,17455.5352
2007-08-02,17480.3159
2007-08-03,17391.1054
2007-08-06,17420.8422
2007-08-07,17272.1579
2007-08-08,17261.2286
2007-08-09,16759.391
2007-08-10,16302.2715
2007-08-13,16402.414
2007-08-14,16133.9295
2007-08-15,16387.4982
2007-08-16,16427.2736
2007-08-17,17451.4923
2007-08-20,17376.9132
2007-08-21,17237.6991
2007-08-22,17332.1658
2007-08-23,17580.7626
2007-08-24,18033.2087
2007-08-27,17635.4539
2007-08-28,17461.4361
2007-08-29,17580.7626
2007-08-30,17381.8852
2007-08-31,17337.1378
2007-09-04,17357.0255
2007-09-05,17247.6429
2007-09-06,17516.1274
2007-09-07,16655.9827
2007-09-10,16506.8246
2007-09-11,16427.2736
2007-09-12,16188.6207
2007-09-13,16352.6946
2007-09-14,16437.2175
2007-09-17,16476.993
2007-09-18,16700.7301
2007-09-19,16442.1894
2007-09-20,16636.0949
2007-09-21,16631.123
2007-09-24,16601.2914
2007-09-25,16790.2249
2007-09-26,17173.0639
2007-09-27,17491.2678
2007-09-28,17615.5661
2007-10-01,18038.1806
2007-10-02,17874.1068
2007-10-03,17729.9206
2007-10-04,17849.2471
2007-10-05,17923.8261
2007-10-08,18455.8232
2007-10-09,18261.9177
2007-10-10,18316.609
2007-10-11,18222.1422
2007-10-12,18396.1599
2007-10-15,18381.2441
2007-10-16,18391.188
2007-10-17,18346.4406
2007-10-18,18336.4967
2007-10-19,18018.2929
2007-10-22,17739.8645
2007-10-23,17461.4361
2007-10-24,17183.0078
2007-10-25,16924.4671
2007-10-26,16755.4214
2007-10-29,17093.5129
2007-10-30,17401.7729
2007-10-31,17734.8926
2007-11-01,17486.2958
2007-11-02,17585.7345
2007-11-05,16785.253
2007-11-06,16790.2249
2007-11-07,16402.414
2007-11-08,16476.993
2007-11-09,16193.5927
2007-11-12,15591.9885
2007-11-13,16084.2101
2007-11-14,16158.7891
2007-11-15,16464.7176
2007-11-16,17419.7707
2007-11-19,17434.6934
2007-11-20,17509.3069
2007-11-21,17414.7965
2007-11-23,17623.7143
2007-11-26,17230.7498
2007-11-27,17151.162
2007-11-28,17753.0444
2007-11-29,18205.6998
2007-11-30,18598.6644
2007-12-03,18533.9993
2007-12-04,18305.1845
2007-12-05,18305.1845
2007-12-06,18718.046
2007-12-07,18613.5871
2007-12-10,18593.6901
2007-12-11,18160.9317
2007-12-12,18474.3085
2007-12-13,18384.7723
2007-12-14,18175.8544
2007-12-17,18053.8934
2007-12-18,18192.2753
2007-12-19,18187.3331
2007-12-20,18078.6045
