Date,CUR_MKT_CAP
2006-01-03,9633.7684
2006-01-04,10099.3766
2006-01-05,10008.175
2006-01-06,10267.3795
2006-01-09,10699.3871
2006-01-10,11193.7957
2006-01-11,11126.5945
2006-01-12,11040.193
2006-01-13,11630.6033
2006-01-17,11582.6025
2006-01-18,11808.2065
2006-01-19,12283.4148
2006-01-20,12000.2098
2006-01-23,12273.8146
2006-01-24,12667.4215
2006-01-25,12302.6151
2006-01-26,12576.2199
2006-01-27,12537.8192
2006-01-30,12317.0153
2006-01-31,12518.6189
2006-02-01,12489.8184
2006-02-02,12302.6151
2006-02-03,12436.2114
2006-02-06,12163.2095
2006-02-07,11870.7075
2006-02-08,12133.9593
2006-02-09,12216.8349
2006-02-10,12270.4603
2006-02-13,12655.5879
2006-02-14,12694.5882
2006-02-15,12918.8398
2006-02-16,13065.0908
2006-02-17,13303.9674
2006-02-21,13260.0921
2006-02-22,12874.9645
2006-02-23,12377.711
2006-02-24,12455.7115
2006-02-27,12675.0881
2006-02-28,12952.965
2006-03-01,13284.4673
2006-03-02,13503.8438
2006-03-03,13689.0951
2006-03-06,13416.0932
2006-03-07,12748.2136
2006-03-08,12119.3342
2006-03-09,11943.833
2006-03-10,11836.5822
2006-03-13,11661.081
2006-03-14,12041.3337
2006-03-15,12411.8362
2006-03-16,12021.8335
2006-03-17,12055.9588
2006-03-20,12187.5847
2006-03-21,12158.3345
2006-03-22,11704.9563
2006-03-23,11807.332
2006-03-24,11929.2079
2006-03-27,11768.3318
2006-03-28,11739.0816
2006-03-29,12426.4613
2006-03-30,12835.9642
2006-03-31,12835.9642
2006-04-03,12782.3388
2006-04-04,13498.9688
2006-04-05,13284.4673
2006-04-06,13221.0919
2006-04-07,13260.0921
2006-04-10,12894.4646
2006-04-11,12870.0894
2006-04-12,13011.4654
2006-04-13,12772.5888
2006-04-17,13089.466
2006-04-18,13416.0932
2006-04-19,12553.2122
2006-04-20,12382.586
2006-04-21,12236.335
2006-04-24,12172.9596
2006-04-25,12348.4608
2006-04-26,12129.0843
2006-04-27,12660.463
2006-04-28,13101.9229
2006-05-01,13170.9842
2006-05-02,13195.649
2006-05-03,13072.3251
2006-05-04,12988.4649
2006-05-05,13062.4592
2006-05-08,13121.6547
2006-05-09,13062.4592
2006-05-10,12692.4878
2006-05-11,12135.0641
2006-05-12,11883.4835
2006-05-15,11740.4279
2006-05-16,11469.1154
2006-05-17,11631.9029
2006-05-18,11868.6846
2006-05-19,12307.7174
2006-05-22,12287.9856
2006-05-23,13965.2511
2006-05-24,13711.6591
2006-05-25,14106.7908
2006-05-26,14277.8179
2006-05-30,13864.9938
2006-05-31,13770.634
2006-06-01,14124.4833
2006-06-02,14224.7406
2006-06-05,13564.2219
2006-06-06,13399.0923
2006-06-07,13198.5777
2006-06-08,13599.6069
2006-06-09,13629.0943
2006-06-12,13116.0129
2006-06-13,12426.0068
2006-06-14,12467.2892
2006-06-15,13104.2179
2006-06-16,12844.7284
2006-06-19,12750.3686
2006-06-20,12437.8018
2006-06-21,12549.854
2006-06-22,12437.8018
2006-06-23,12378.8269
2006-06-26,12555.7515
2006-06-27,12431.9043
2006-06-28,12543.9565
2006-06-29,13027.5505
2006-06-30,13351.9124
2006-07-03,13287.04
2006-07-05,13416.7847
2006-07-06,13552.4269
2006-07-07,13316.5274
2006-07-10,12956.7807
2006-07-11,13446.2722
2006-07-12,13434.4772
2006-07-13,13239.8601
2006-07-14,13228.0651
2006-07-17,13505.247
2006-07-18,13823.7114
2006-07-19,14313.2029
2006-07-20,14118.5858
2006-07-21,13440.3747
2006-07-24,13864.9938
2006-07-25,13676.2742
2006-07-26,13469.8621
2006-07-27,13357.8099
2006-07-28,13823.7114
2006-07-31,13682.1717
2006-08-01,13245.7576
2006-08-02,13210.3727
2006-08-03,13092.4229
2006-08-04,12832.9334
2006-08-07,12650.1113
2006-08-08,12207.7997
2006-08-09,11765.4881
2006-08-10,11895.2329
2006-08-11,11765.4881
2006-08-14,11983.6952
2006-08-15,12237.2872
2006-08-16,12815.241
2006-08-17,12614.7264
2006-08-18,12585.239
2006-08-21,12532.1616
2006-08-22,12337.5445
2006-08-23,12101.645
2006-08-24,12036.7726
2006-08-25,12125.2349
2006-08-28,12331.647
2006-08-29,12484.9817
2006-08-30,12974.4731
2006-08-31,13121.9103
2006-09-01,13322.4249
2006-09-05,13110.1154
2006-09-06,12042.6701
2006-09-07,11830.3605
2006-09-08,11824.463
2006-09-11,11795.6664
2006-09-12,12108.211
2006-09-13,12235.544
2006-09-14,12837.4818
2006-09-15,12785.3911
2006-09-18,12854.8454
2006-09-19,13005.3299
2006-09-20,13306.2988
2006-09-21,13207.9051
2006-09-22,13034.2692
2006-09-25,13080.5721
2006-09-26,13016.9056
2006-09-27,13341.026
2006-09-28,13312.0867
2006-09-29,13364.1774
2006-10-02,13271.5716
2006-10-03,13207.9051
2006-10-04,13202.1173
2006-10-05,13109.5114
2006-10-06,12953.2391
2006-10-09,12536.5129
2006-10-10,12131.3625
2006-10-11,12113.9989
2006-10-12,12102.4231
2006-10-13,12530.7251
2006-10-16,12733.3003
2006-10-17,12669.6338
2006-10-18,12455.4828
2006-10-19,12530.7251
2006-10-20,12773.8153
2006-10-23,12414.9678
2006-10-24,12229.7561
2006-10-25,12982.1784
2006-10-26,13283.1474
2006-10-27,12831.694
2006-10-30,13126.875
2006-10-31,13068.9964
2006-11-01,12883.7848
2006-11-02,12906.9362
2006-11-03,13184.7537
2006-11-06,13369.9653
2006-11-07,13072.3412
2006-11-08,13256.0544
2006-11-09,13571.8114
2006-11-10,13462.7317
2006-11-13,13290.5006
2006-11-14,13646.4449
2006-11-15,14197.5845
2006-11-16,14547.7877
2006-11-17,14553.5288
2006-11-20,14829.0985
2006-11-21,14737.2419
2006-11-22,15104.6683
2006-11-24,15322.8277
2006-11-27,14628.1622
2006-11-28,14829.0985
2006-11-29,14731.5009
2006-11-30,14788.9113
2006-12-01,14823.3575
2006-12-04,14938.1782
2006-12-05,15070.2221
2006-12-06,15139.1145
2006-12-07,15133.3735
2006-12-08,15156.3376
2006-12-11,15024.2938
2006-12-12,14794.6523
2006-12-13,14984.1065
2006-12-14,15127.6325
2006-12-15,15345.7919
