Date,CUR_MKT_CAP
2006-01-03,59667.0386
2006-01-04,59888.475
2006-01-05,59888.475
2006-01-06,60351.4783
2006-01-09,62485.3198
2006-01-10,61800.8801
2006-01-11,61076.1792
2006-01-12,61015.7875
2006-01-13,54594.1325
2006-01-17,52742.1192
2006-01-18,53346.0366
2006-01-19,53446.6895
2006-01-20,53285.6448
2006-01-23,53466.82
2006-01-24,53547.3424
2006-01-25,53064.2084
2006-01-26,53527.2118
2006-01-27,53265.5142
2006-01-30,53406.4283
2006-01-31,52440.1605
2006-02-01,52540.8134
2006-02-02,49923.838
2006-02-03,50366.7107
2006-02-06,50547.886
2006-02-07,50606.3666
2006-02-08,50948.9824
2006-02-09,51170.675
2006-02-10,51311.7521
2006-02-13,50727.2899
2006-02-14,51110.2134
2006-02-15,51069.9056
2006-02-16,51654.3679
2006-02-17,52097.753
2006-02-21,51472.983
2006-02-22,51392.3676
2006-02-23,51614.0601
2006-02-24,51936.522
2006-02-27,52722.5229
2006-02-28,51976.8298
2006-03-01,52057.4453
2006-03-02,52238.8301
2006-03-03,51896.2143
2006-03-06,51876.0604
2006-03-07,51976.8298
2006-03-08,51936.522
2006-03-09,52117.9069
2006-03-10,52782.9846
2006-03-13,53024.831
2006-03-14,53427.9084
2006-03-15,53206.2158
2006-03-16,53488.37
2006-03-17,54072.8322
2006-03-20,54596.8328
2006-03-21,54234.0632
2006-03-22,54758.0638
2006-03-23,55060.3718
2006-03-24,55080.5257
2006-03-27,54939.4486
2006-03-28,54919.2947
2006-03-29,55100.6796
2006-03-30,55040.218
2006-03-31,54173.6016
2006-04-03,53851.1396
2006-04-04,54113.14
2006-04-05,53830.9858
2006-04-06,53448.0623
2006-04-07,52561.292
2006-04-10,52258.9839
2006-04-11,51956.6759
2006-04-12,52581.4459
2006-04-13,52420.2149
2006-04-17,52258.9839
2006-04-18,53669.7548
2006-04-19,52883.7539
2006-04-20,52500.8304
2006-04-21,53710.0626
2006-04-24,53508.5239
2006-04-25,53226.3697
2006-04-26,53306.9852
2006-04-27,53085.2926
2006-04-28,53105.4465
2006-05-01,53649.601
2006-05-02,54274.3709
2006-05-03,54294.5248
2006-05-04,56269.604
2006-05-05,57438.5284
2006-05-08,56914.5278
2006-05-09,56821.1904
2006-05-10,56678.6283
2006-05-11,55925.0856
2006-05-12,55558.4973
2006-05-15,56312.04
2006-05-16,55334.4711
2006-05-17,54866.0527
2006-05-18,54804.9546
2006-05-19,55354.8371
2006-05-22,55293.7391
2006-05-23,54418.0003
2006-05-24,55130.8109
2006-05-25,55436.3012
2006-05-26,55925.0856
2006-05-30,55110.4449
2006-05-31,55212.275
2006-06-01,56495.3341
2006-06-02,56006.5497
2006-06-05,55599.2293
2006-06-06,55762.1575
2006-06-07,55069.7129
2006-06-08,54886.4187
2006-06-09,54356.9022
2006-06-12,54132.876
2006-06-13,53969.9479
2006-06-14,54153.242
2006-06-15,55293.7391
2006-06-16,54723.4905
2006-06-19,54336.5362
2006-06-20,54112.51
2006-06-21,54356.9022
2006-06-22,54173.6081
2006-06-23,54540.1964
2006-06-26,54906.7847
2006-06-27,54519.8304
2006-06-28,54621.6605
2006-06-29,55558.4973
2006-06-30,56006.5497
2006-07-03,56230.5759
2006-07-05,56108.3798
2006-07-06,56332.406
2006-07-07,55741.7914
2006-07-10,56128.7458
2006-07-11,56047.2817
2006-07-12,55354.8371
2006-07-13,54316.1702
2006-07-14,52666.5227
2006-07-17,52849.8169
2006-07-18,51994.4441
2006-07-19,52544.3266
2006-07-20,51444.5616
2006-07-21,51383.4636
2006-07-24,52014.8101
2006-07-25,52747.9868
2006-07-26,52218.4703
2006-07-27,52666.5227
2006-07-28,53420.0654
2006-07-31,53134.9411
2006-08-01,52849.8169
2006-08-02,53684.8236
2006-08-03,52849.8169
2006-08-04,52238.8363
2006-08-07,51729.6859
2006-08-08,51173.7477
2006-08-09,51677.4263
2006-08-10,51314.7777
2006-08-11,51395.3663
2006-08-14,51516.2492
2006-08-15,52221.3993
2006-08-16,53349.6394
2006-08-17,53712.288
2006-08-18,53228.7565
2006-08-21,52805.6665
2006-08-22,52543.7536
2006-08-23,52765.3722
2006-08-24,52241.5464
2006-08-25,52563.9007
2006-08-28,52523.6064
2006-08-29,52342.2821
2006-08-30,52281.8407
2006-08-31,52684.7836
2006-09-01,53148.1679
2006-09-05,53107.8736
2006-09-06,53369.7865
2006-09-07,52866.1079
2006-09-08,52805.6665
2006-09-11,53047.4322
2006-09-12,53248.9036
2006-09-13,53591.4051
2006-09-14,53128.0208
2006-09-15,53410.0808
2006-09-18,53712.288
2006-09-19,54054.7894
2006-09-20,54457.7323
2006-09-21,54618.9095
2006-09-22,54518.1738
2006-09-25,54981.5581
2006-09-26,55706.8553
2006-09-27,55585.9724
2006-09-28,56291.1225
2006-09-29,56391.8582
2006-10-02,56351.5639
2006-10-03,56633.624
2006-10-04,56855.2426
2006-10-05,56714.2125
2006-10-06,56270.9754
2006-10-09,56270.9754
2006-10-10,56996.2726
2006-10-11,57016.4197
2006-10-12,57943.1884
2006-10-13,58688.6327
2006-10-16,59554.96
2006-10-17,59595.2542
2006-10-18,59635.5485
2006-10-19,59655.6957
2006-10-20,59152.0171
2006-10-23,59272.8999
2006-10-24,58829.6627
2006-10-25,58890.1042
2006-10-26,58890.1042
2006-10-27,58789.3685
2006-10-30,58970.6928
2006-10-31,59293.0471
2006-11-01,58829.6627
2006-11-02,59111.7228
2006-11-03,58346.1313
2006-11-06,58406.5727
2006-11-07,58265.5427
2006-11-08,59111.7228
2006-11-09,59131.8699
2006-11-10,59716.1371
2006-11-13,59917.6086
2006-11-14,60300.4043
2006-11-15,60239.9629
