Date,CUR_MKT_CAP
2006-01-03,9438.6734
2006-01-04,9405.0838
2006-01-05,9388.289
2006-01-06,9468.0643
2006-01-09,9549.9389
2006-01-10,9491.1571
2006-01-11,9415.5805
2006-01-12,9512.1506
2006-01-13,9604.5219
2006-01-17,9333.7059
2006-01-18,8978.9159
2006-01-19,9006.2075
2006-01-20,8787.8752
2006-01-23,8783.6765
2006-01-24,8796.2726
2006-01-25,8882.3459
2006-01-26,8810.968
2006-01-27,8670.3116
2006-01-30,8664.0136
2006-01-31,8586.3377
2006-02-01,8724.8947
2006-02-02,9232.9372
2006-02-03,9300.1163
2006-02-06,9319.0105
2006-02-07,9130.0691
2006-02-08,9153.1619
2006-02-09,9256.03
2006-02-10,9308.5137
2006-02-13,9369.3949
2006-02-14,9585.6278
2006-02-15,9730.4829
2006-02-16,9785.066
2006-02-17,9636.0122
2006-02-21,9447.0708
2006-02-22,9447.0708
2006-02-23,9419.7792
2006-02-24,9342.1033
2006-02-27,9323.2092
2006-02-28,9298.2594
2006-03-01,9443.8745
2006-03-02,9401.6672
2006-03-03,9431.2123
2006-03-06,9228.6174
2006-03-07,9196.962
2006-03-08,9116.7682
2006-03-09,9023.9122
2006-03-10,9093.5542
2006-03-13,9237.0589
2006-03-14,9226.5071
2006-03-15,9186.4102
2006-03-16,8922.6148
2006-03-17,8958.491
2006-03-20,8867.7454
2006-03-21,8861.4143
2006-03-22,9019.6915
2006-03-23,8673.592
2006-03-24,8817.0966
2006-03-27,8888.849
2006-03-28,8865.635
2006-03-29,8920.5044
2006-03-30,8969.0428
2006-03-31,8867.7454
2006-04-03,9004.9189
2006-04-04,8939.4977
2006-04-05,8871.9661
2006-04-06,8897.2904
2006-04-07,8871.9661
2006-04-10,8869.8557
2006-04-11,8823.4277
2006-04-12,8829.7588
2006-04-13,8893.0697
2006-04-17,8840.3106
2006-04-18,8793.8826
2006-04-19,8703.137
2006-04-20,8768.5583
2006-04-21,9026.0226
2006-04-24,8958.491
2006-04-25,8863.5246
2006-04-26,8931.1423
2006-04-27,8905.7155
2006-04-28,8854.862
2006-05-01,8757.3929
2006-05-02,8876.051
2006-05-03,8907.8344
2006-05-04,9039.2059
2006-05-05,9083.7027
2006-05-08,9113.3672
2006-05-09,8998.9469
2006-05-10,8933.2611
2006-05-11,8823.0786
2006-05-12,8655.6859
2006-05-15,8517.9577
2006-05-16,7954.3317
2006-05-17,7812.3657
2006-05-18,7835.6736
2006-05-19,7869.5759
2006-05-22,7719.1343
2006-05-23,7628.0219
2006-05-24,7551.7416
2006-05-25,7613.1896
2006-05-26,7477.5803
2006-05-30,7562.3361
2006-05-31,8068.752
2006-06-01,8047.5631
2006-06-02,8259.4525
2006-06-05,8210.718
2006-06-06,7907.716
2006-06-07,7931.0238
2006-06-08,7666.162
2006-06-09,7789.0579
2006-06-12,7706.421
2006-06-13,7558.0983
2006-06-14,7505.1259
2006-06-15,7947.975
2006-06-16,7977.6395
2006-06-19,7956.4506
2006-06-20,7945.8561
2006-06-21,8130.2
2006-06-22,8007.304
2006-06-23,8009.4229
2006-06-26,8068.752
2006-06-27,7996.7096
2006-06-28,7967.045
2006-06-29,8176.8156
2006-06-30,8104.7732
2006-07-03,8155.6267
2006-07-05,8053.9197
2006-07-06,8051.8008
2006-07-07,8030.6119
2006-07-10,7911.9538
2006-07-11,7858.9814
2006-07-12,7683.1131
2006-07-13,7549.6227
2006-07-14,7583.5251
2006-07-17,7462.748
2006-07-18,7301.712
2006-07-19,7585.644
2006-07-20,7339.8521
2006-07-21,7288.9987
2006-07-24,7405.5379
2006-07-25,7649.2108
2006-07-26,7638.6163
2006-07-27,7235.5547
2006-07-28,7196.0048
2006-07-31,7056.5393
2006-08-01,6998.2552
2006-08-02,7223.0653
2006-08-03,7064.8656
2006-08-04,7250.1258
2006-08-07,7223.0653
2006-08-08,7193.9232
2006-08-09,7050.2946
2006-08-10,7052.3761
2006-08-11,6977.4394
2006-08-14,6827.566
2006-08-15,6792.1793
2006-08-16,6992.0105
2006-08-17,7046.1314
2006-08-18,7143.9654
2006-08-21,7062.784
2006-08-22,7050.2946
2006-08-23,7000.3368
2006-08-24,6796.3424
2006-08-25,6785.9345
2006-08-28,6923.3185
2006-08-29,6992.0105
2006-08-30,7039.8867
2006-08-31,7593.5856
2006-09-01,7695.5828
2006-09-05,7701.8275
2006-09-06,7597.7488
2006-09-07,7485.3437
2006-09-08,7562.362
2006-09-11,7512.4042
2006-09-12,7853.7825
2006-09-13,7909.985
2006-09-14,7864.1904
