Date,CUR_MKT_CAP
2010-04-28,6600.0
2010-04-29,6900.0
2010-04-30,6690.0
2010-05-03,6840.0
2010-05-04,6450.0
2010-05-05,6177.0
2010-05-06,5835.0
2010-05-07,5580.0
2010-05-10,5703.0
2010-05-11,5670.0
2010-05-12,5940.0
2010-05-13,5895.0
2010-05-14,5625.0
2010-05-17,5655.0
2010-05-18,5637.0
2010-05-19,5310.0
2010-05-20,5070.0
2010-05-21,4965.0
2010-05-24,5070.0
2010-05-25,4971.0
2010-05-26,5145.0
2010-05-27,5370.0
2010-05-28,5331.0
2010-06-01,5250.0
2010-06-02,5199.0
2010-06-03,5199.0
2010-06-04,5115.0
2010-06-07,5067.0
2010-06-08,5025.0
2010-06-09,5037.0
2010-06-10,5091.0
2010-06-11,5142.0
2010-06-14,5247.0
2010-06-15,5391.0
2010-06-16,5292.0
2010-06-17,5190.0
2010-06-18,5163.0
2010-06-21,5130.0
2010-06-22,5052.0
2010-06-23,4995.0
2010-06-24,5040.0
2010-06-25,5046.0
2010-06-28,5061.0
2010-06-29,4875.0
2010-06-30,4845.0
2010-07-01,4665.0
2010-07-02,4644.0
2010-07-06,4518.0
2010-07-07,4500.0
2010-07-08,4515.0
2010-07-09,4740.0
2010-07-12,4746.0
2010-07-13,4920.0
2010-07-14,4920.0
2010-07-15,4911.0
2010-07-16,4860.0
2010-07-19,4935.0
2010-07-20,4857.0
2010-07-21,4872.0
2010-07-22,4965.0
2010-07-23,5034.0
2010-07-26,5295.0
2010-07-27,5469.0
2010-07-28,5379.0
2010-07-29,5382.0
2010-07-30,5400.0
2010-08-02,5418.0
2010-08-03,5370.0
2010-08-04,5490.0
2010-08-05,5472.0
2010-08-06,5400.0
2010-08-09,5415.0
2010-08-10,5397.0
2010-08-11,5283.0
2010-08-12,5613.1747
2010-08-13,5779.9661
2010-08-16,5998.0781
2010-08-17,6116.7566
2010-08-18,6350.9062
2010-08-19,6350.9062
2010-08-20,6379.774
2010-08-23,6434.3019
2010-08-24,6411.8492
2010-08-25,6392.6041
2010-08-26,6415.0568
2010-08-27,6556.188
2010-08-30,6485.6224
2010-08-31,6575.4332
2010-09-01,6742.2247
2010-09-02,6719.772
2010-09-03,6777.5075
2010-09-07,6722.9795
2010-09-08,6732.6021
2010-09-09,6639.5837
2010-09-10,6668.4515
2010-09-13,6857.6957
2010-09-14,6899.3935
2010-09-15,6915.4312
2010-09-16,7008.4495
2010-09-17,7136.7506
2010-09-20,7120.713
2010-09-21,7123.9205
2010-09-22,7037.3173
2010-09-23,7008.4495
2010-09-24,7204.1087
