Date,CUR_MKT_CAP
2006-01-03,44532.7631
2006-01-04,44478.6269
2006-01-05,44077.8971
2006-01-06,44163.2864
2006-01-09,44611.9968
2006-01-10,43986.475
2006-01-11,44167.1651
2006-01-12,44611.0203
2006-01-13,45760.4576
2006-01-17,45216.0709
2006-01-18,44025.6002
2006-01-19,44496.0997
2006-01-20,43970.4244
2006-01-23,44020.2717
2006-01-24,43352.4133
2006-01-25,43497.633
2006-01-26,43230.6238
2006-01-27,42980.2747
2006-01-30,42556.7229
2006-01-31,42478.7104
2006-02-01,42724.3334
2006-02-02,43315.7247
2006-02-03,42774.8215
2006-02-06,42451.9549
2006-02-07,42201.397
2006-02-08,42568.6832
2006-02-09,42985.5682
2006-02-10,42861.6036
2006-02-13,42525.4276
2006-02-14,42753.2396
2006-02-15,43591.6923
2006-02-16,44164.4145
2006-02-17,43985.597
2006-02-21,42399.9912
2006-02-22,42750.7037
2006-02-23,42263.8867
2006-02-24,42394.9663
2006-02-27,42950.507
2006-02-28,42343.9803
2006-03-01,42603.7189
2006-03-02,42356.2351
2006-03-03,42232.2209
2006-03-06,41633.4661
2006-03-07,40809.7121
2006-03-08,40662.6785
2006-03-09,40819.5899
2006-03-10,40687.7441
2006-03-13,41078.9541
2006-03-14,41584.633
2006-03-15,41673.866
2006-03-16,41003.7828
2006-03-17,41675.2061
2006-03-20,41063.4076
2006-03-21,40531.3844
2006-03-22,40893.0705
2006-03-23,38769.3308
2006-03-24,39091.8482
2006-03-27,39256.3366
2006-03-28,39009.5841
2006-03-29,38466.9625
2006-03-30,38467.5872
2006-03-31,38660.7016
2006-04-03,38839.4949
2006-04-04,38591.6135
2006-04-05,38436.4944
2006-04-06,38982.7238
2006-04-07,39050.4043
2006-04-10,39117.7314
2006-04-11,38262.7911
2006-04-12,38503.8844
2006-04-13,38954.6786
2006-04-17,38724.734
2006-04-18,39175.9748
2006-04-19,38955.9931
2006-04-20,38780.5513
2006-04-21,39007.9578
2006-04-24,38832.8109
2006-04-25,38573.0615
2006-04-26,38499.2354
2006-04-27,38532.3209
2006-04-28,38356.9092
2006-05-01,38459.1068
2006-05-02,38749.5605
2006-05-03,38608.8055
2006-05-04,39387.9132
2006-05-05,39591.586
2006-05-08,39999.853
2006-05-09,39866.4248
2006-05-10,39545.0475
2006-05-11,39148.7148
2006-05-12,38400.6296
2006-05-15,38235.0345
2006-05-16,34684.4406
2006-05-17,33447.3985
2006-05-18,33093.4865
2006-05-19,33111.8022
2006-05-22,33306.5398
2006-05-23,32858.7828
2006-05-24,32853.3242
2006-05-25,32613.7931
2006-05-26,32560.9914
2006-05-30,32264.2371
2006-05-31,32437.2621
2006-06-01,32487.9575
2006-06-02,32609.995
2006-06-05,32033.2778
2006-06-06,31263.0737
2006-06-07,31228.1104
2006-06-08,30396.6039
2006-06-09,30312.509
2006-06-12,29698.866
2006-06-13,30003.5889
2006-06-14,30464.8786
2006-06-15,30932.393
2006-06-16,32350.5882
2006-06-19,33363.5139
2006-06-20,32914.4831
2006-06-21,33454.4576
2006-06-22,33081.7115
2006-06-23,32901.3653
2006-06-26,33045.1574
2006-06-27,32917.6921
2006-06-28,32785.3008
2006-06-29,33022.4564
2006-06-30,33107.721
2006-07-03,33380.4666
2006-07-05,33155.0395
2006-07-06,33332.6987
2006-07-07,33191.9629
2006-07-10,33211.2982
