Date,CUR_MKT_CAP
2006-01-03,16884.0
2006-01-04,16929.36
2006-01-05,17372.88
2006-01-06,17463.6
2006-01-09,17413.2
2006-01-10,17640.0
2006-01-11,17634.96
2006-01-12,17246.88
2006-01-13,17115.84
2006-01-17,14474.9441
2006-01-18,14775.0762
2006-01-19,15006.6068
2006-01-20,14685.0366
2006-01-23,14685.0366
2006-01-24,14715.0498
2006-01-25,14693.6118
2006-01-26,14625.0102
2006-01-27,14637.873
2006-01-30,14749.3506
2006-01-31,14539.2581
2006-02-01,14989.4563
2006-02-02,14693.6118
2006-02-03,14719.3374
2006-02-06,14895.1291
2006-02-07,14577.8466
2006-02-08,14809.3771
2006-02-09,15062.3456
2006-02-10,15379.6281
2006-02-13,14770.7886
2006-02-14,14920.8547
2006-02-15,15002.3191
2006-02-16,14912.2795
2006-02-17,15002.3191
2006-02-21,15066.6332
2006-02-22,15195.2612
2006-02-23,15435.3669
2006-02-24,15401.0661
2006-02-27,15688.3355
2006-02-28,15435.3669
2006-03-01,15739.7867
2006-03-02,15572.5702
2006-03-03,15529.6942
2006-03-06,15512.5438
2006-03-07,15585.433
2006-03-08,15675.4727
2006-03-09,15525.4066
2006-03-10,15643.4
2006-03-13,15879.9
2006-03-14,15841.2
2006-03-15,16258.773
2006-03-16,16349.7493
2006-03-17,16427.7291
2006-03-20,16341.0849
2006-03-21,16081.1525
2006-03-22,16072.4881
2006-03-23,16115.8102
2006-03-24,16189.4577
2006-03-27,15890.5354
2006-03-28,15712.9149
2006-03-29,16011.8372
2006-03-30,16159.1322
2006-03-31,16267.4374
2006-04-03,16505.7088
2006-04-04,16484.0478
2006-04-05,16557.6953
2006-04-06,16678.9971
2006-04-07,16401.7358
2006-04-10,15994.5084
2006-04-11,16016.1694
2006-04-12,15738.9081
2006-04-13,15886.2032
2006-04-17,15968.5151
2006-04-18,16458.0545
2006-04-19,16726.6513
2006-04-20,16882.6108
2006-04-21,16817.6277
2006-04-24,16644.3394
2006-04-25,16839.2887
2006-04-26,16808.9633
2006-04-27,16895.6074
2006-04-28,16644.3394
2006-05-01,16787.3022
2006-05-02,16908.604
2006-05-03,16865.282
2006-05-04,16834.9565
2006-05-05,16960.5905
2006-05-08,16895.6074
2006-05-09,16843.6209
2006-05-10,16752.6446
2006-05-11,16752.6446
2006-05-12,16137.4712
2006-05-15,16175.22
2006-05-16,14846.1
2006-05-17,14820.54
2006-05-18,14841.84
2006-05-19,14901.48
2006-05-22,14671.44
2006-05-23,14692.74
2006-05-24,14535.12
2006-05-25,14445.66
2006-05-26,14752.38
2006-05-30,14518.08
2006-05-31,14863.14
2006-06-01,14922.78
2006-06-02,15131.52
2006-06-05,14628.84
2006-06-06,14494.8247
2006-06-07,14435.2103
2006-06-08,14269.1415
2006-06-09,14362.8214
2006-06-12,13881.6477
2006-06-13,13391.9576
2006-06-14,13592.0918
2006-06-15,14213.7853
2006-06-16,14201.0107
2006-06-19,13779.4515
2006-06-20,13702.8044
2006-06-21,13907.1967
2006-06-22,13741.1279
2006-06-23,13281.2451
2006-06-26,13387.6995
2006-06-27,12961.8821
2006-06-28,13012.9802
2006-06-29,13417.5067
2006-06-30,13438.7976
2006-07-03,13566.5428
2006-07-05,13340.8596
2006-07-06,13472.863
2006-07-07,13208.8562
2006-07-10,13093.8855
2006-07-11,12851.1695
2006-07-12,12135.7963
2006-07-13,12123.0218
2006-07-14,12216.7016
2006-07-17,12280.5742
2006-07-18,12050.6328
2006-07-19,12519.032
2006-07-20,12250.767
2006-07-21,11863.2731
2006-07-24,12365.7377
2006-07-25,12416.8358
2006-07-26,11841.9823
2006-07-27,11722.7534
2006-07-28,11888.8222
2006-07-31,12110.2472
2006-08-01,11944.1784
2006-08-02,11978.2438
2006-08-03,12008.0511
2006-08-04,11944.1784
2006-08-07,11816.4332
2006-08-08,11531.1356
2006-08-09,11616.299
2006-08-10,11837.7241
2006-08-11,11582.2336
2006-08-14,11644.23
2006-08-15,12728.08
2006-08-16,13092.09
2006-08-17,13202.52
2006-08-18,13006.2
2006-08-21,12809.88
2006-08-22,12634.01
2006-08-23,12490.86
2006-08-24,12503.13
2006-08-25,12462.23
2006-08-28,12597.2
2006-08-29,12826.24
2006-08-30,13626.1572
2006-08-31,13694.288
2006-09-01,13421.7649
2006-09-05,13443.0557
2006-09-06,13068.3364
2006-09-07,12440.1976
2006-09-08,12538.2806
2006-09-11,12705.8392
2006-09-12,12873.3977
2006-09-13,12812.0958
2006-09-14,12669.058
2006-09-15,12636.3637
2006-09-18,12742.6203
2006-09-19,12852.9637
2006-09-20,13322.9449
2006-09-21,13519.1109
2006-09-22,13273.9034
