Date,CUR_MKT_CAP
2006-01-03,4948.65
2006-01-04,4987.2139
2006-01-05,4973.6031
2006-01-06,5195.9124
2006-01-09,5223.1339
2006-01-10,5330.8859
2006-01-11,5387.5974
2006-01-12,5304.7985
2006-01-13,5371.7182
2006-01-17,5430.6982
2006-01-18,5373.9866
2006-01-19,5470.3963
2006-01-20,5504.4232
2006-01-23,5549.7924
2006-01-24,5460.1882
2006-01-25,5329.7516
2006-01-26,5400.0739
2006-01-27,5545.2555
2006-01-30,5696.1082
2006-01-31,5488.544
2006-02-01,5266.2347
2006-02-02,5219.7312
2006-02-03,5191.3754
2006-02-06,5299.1274
2006-02-07,4931.6365
2006-02-08,4913.4888
2006-02-09,4842.0323
2006-02-10,4932.7708
2006-02-13,4817.0792
2006-02-14,4825.0188
2006-02-15,4639.0049
2006-02-16,4803.4684
2006-02-17,4700.2534
2006-02-21,4883.9988
2006-02-22,4729.7434
2006-02-23,4756.965
2006-02-24,4769.4415
2006-02-27,4593.6357
2006-02-28,4593.6357
2006-03-01,4713.8642
2006-03-02,4756.965
2006-03-03,4730.8776
2006-03-06,4586.8303
2006-03-07,4559.3075
2006-03-08,4471.1825
2006-03-09,4521.0427
2006-03-10,4523.3618
2006-03-13,4608.0081
2006-03-14,4787.7367
2006-03-15,4788.8962
2006-03-16,4845.7136
2006-03-17,4802.8107
2006-03-20,4661.3469
2006-03-21,4766.865
2006-03-22,4826.0015
2006-03-23,4952.3912
2006-03-24,5016.1659
2006-03-27,4947.753
2006-03-28,4969.7843
2006-03-29,5101.9717
2006-03-30,5163.4273
2006-03-31,5111.2481
2006-04-03,5155.3105
2006-04-04,5200.5326
2006-04-05,5325.7628
2006-04-06,5408.09
2006-04-07,5404.6114
2006-04-10,5528.6821
2006-04-11,5464.9075
2006-04-12,5396.4947
2006-04-13,5417.3664
2006-04-17,5513.6081
2006-04-18,5587.8186
2006-04-19,5658.5505
2006-04-20,5612.1689
2006-04-21,5772.1853
2006-04-24,5747.835
2006-04-25,5568.1064
2006-04-26,5586.6591
2006-04-27,5549.5538
2006-04-28,5825.5241
2006-05-01,5979.7428
2006-05-02,6133.1829
2006-05-03,6016.5254
2006-05-04,6059.2613
2006-05-05,6229.05
2006-05-08,6178.2289
2006-05-09,6352.6376
2006-05-10,6366.4979
2006-05-11,6313.3668
2006-05-12,5996.8899
2006-05-15,5763.5749
2006-05-16,5724.304
2006-05-17,5620.3518
2006-05-18,5439.0128
2006-05-19,5381.2616
2006-05-22,5272.6892
2006-05-23,5406.6721
2006-05-24,5280.7744
2006-05-25,5398.587
2006-05-26,5389.3468
2006-05-30,5298.0998
2006-05-31,5417.0674
2006-06-01,5437.8578
2006-06-02,5624.9719
2006-06-05,5404.3621
2006-06-06,5339.6807
2006-06-07,5095.9704
2006-06-08,5277.3093
2006-06-09,5243.8136
2006-06-12,5031.289
2006-06-13,4910.0114
2006-06-14,5022.0488
2006-06-15,5258.8289
2006-06-16,5201.0777
2006-06-19,4978.1579
2006-06-20,4890.376
2006-06-21,5012.8086
2006-06-22,5028.979
2006-06-23,5179.1322
2006-06-26,5240.3485
2006-06-27,5179.1322
2006-06-28,5213.783
2006-06-29,5493.299
2006-06-30,5517.5545
2006-07-03,5612.2666
2006-07-05,5539.5
2006-07-06,5388.1917
2006-07-07,5281.9294
2006-07-10,5454.0282
2006-07-11,5650.3824
2006-07-12,5752.0246
2006-07-13,5641.1422
2006-07-14,5661.9327
2006-07-17,5459.8033
2006-07-18,5450.5631
2006-07-19,5552.2053
2006-07-20,5295.7897
2006-07-21,5046.3043
2006-07-24,5195.3026
2006-07-25,5369.7113
2006-07-26,5544.1201
2006-07-27,5752.0246
2006-07-28,5708.1337
2006-07-31,5822.4811
2006-08-01,5624.2166
2006-08-02,5652.1145
2006-08-03,5676.6646
2006-08-04,5551.682
2006-08-07,5527.1319
2006-08-08,5493.6544
2006-08-09,5434.5108
2006-08-10,5467.9883
2006-08-11,5361.9763
2006-08-14,5244.8051
2006-08-15,5368.6718
2006-08-16,5426.6994
2006-08-17,5307.2964
2006-08-18,5449.0178
2006-08-21,5488.0748
2006-08-22,5556.1457
2006-08-23,5483.6112
2006-08-24,5551.682
2006-08-25,5553.9139
2006-08-28,5433.3949
2006-08-29,5518.2045
2006-08-30,5374.2514
2006-08-31,5347.4694
2006-09-01,5461.2928
2006-09-05,5640.9553
2006-09-06,5399.9175
2006-09-07,5449.0178
2006-09-08,5187.8934
2006-09-11,5026.0856
2006-09-12,4931.2327
2006-09-13,5094.1565
2006-09-14,4972.5216
2006-09-15,4976.9853
2006-09-18,5232.5301
2006-09-19,5127.634
2006-09-20,4908.9144
2006-09-21,4993.724
2006-09-22,5010.4628
2006-09-25,4970.2898
2006-09-26,5145.4886
2006-09-27,5245.921
2006-09-28,5298.3691
2006-09-29,5390.9901
2006-10-02,5291.6736
2006-10-03,5036.1288
2006-10-04,5144.3727
2006-10-05,5240.3415
2006-10-06,5239.2256
2006-10-09,5122.0544
2006-10-10,5236.9937
2006-10-11,5137.6772
2006-10-12,5363.0922
2006-10-13,5435.6268
2006-10-16,5704.5625
2006-10-17,5599.6664
2006-10-18,5504.8136
2006-10-19,5681.1283
2006-10-20,5551.682
2006-10-23,5521.5523
2006-10-24,5695.6352
2006-10-25,5789.3721
2006-10-26,5771.5175
2006-10-27,5683.3601
2006-10-30,5646.5349
2006-10-31,5590.7391
2006-11-01,5566.1889
2006-11-02,5519.3205
2006-11-03,5738.04
2006-11-06,5801.6472
2006-11-07,5787.1403
2006-11-08,5912.4299
2006-11-09,5988.0307
2006-11-10,5965.7952
2006-11-13,5911.3181
2006-11-14,5890.1943
2006-11-15,6048.0667
2006-11-16,5845.7233
2006-11-17,5864.6235
2006-11-20,5841.2762
2006-11-21,6034.7254
2006-11-22,5940.2243
2006-11-24,5905.7592
2006-11-27,5817.9288
2006-11-28,5886.859
2006-11-29,6068.0787
2006-11-30,6039.1725
2006-12-01,6148.1266
2006-12-04,6191.4859
2006-12-05,6284.8752
2006-12-06,6261.5279
2006-12-07,6221.5039
2006-12-08,6180.3681
2006-12-11,6198.1566
2006-12-12,6189.2623
2006-12-13,6235.957
2006-12-14,6392.7175
2006-12-15,6297.1047
2006-12-18,6060.2962
2006-12-19,6143.6795
2006-12-20,6026.9429
2006-12-21,5982.4718
2006-12-22,5964.6834
2006-12-26,5890.1943
2006-12-27,5978.0247
2006-12-28,5942.4479
2006-12-29,5897.9768
2007-01-03,5714.5336
2007-01-04,5581.1204
2007-01-05,5543.3199
2007-01-08,5731.2102
2007-01-09,5656.7212
2007-01-10,5575.5615
2007-01-11,5575.5615
2007-01-12,5743.4398
2007-01-16,5607.803
2007-01-17,5694.5216
2007-01-18,5616.6972
2007-01-19,5718.9807
2007-01-22,5782.352
2007-01-23,5988.0307
2007-01-24,5954.6774
2007-01-25,5810.1464
2007-01-26,5783.4638
2007-01-29,5685.6274
2007-01-30,5792.358
2007-01-31,5836.8291
2007-02-01,5890.1943
2007-02-02,5920.2123
2007-02-05,6048.0667
2007-02-06,6045.8431
2007-02-07,6075.8611
2007-02-08,6205.939
2007-02-09,6382.7115
2007-02-12,6198.1566
2007-02-13,6291.5458
2007-02-14,6354.9171
2007-02-15,6322.6756
2007-02-16,6374.9291
2007-02-20,6359.3642
2007-02-21,6487.2186
2007-02-22,6537.2485
2007-02-23,6529.4661
2007-02-26,6472.7655
2007-02-27,6295.9929
2007-02-28,6382.7526
2007-03-01,6398.5069
2007-03-02,6282.6001
2007-03-05,6233.0865
2007-03-06,6405.2588
2007-03-07,6499.7847
2007-03-08,6539.1705
2007-03-09,6494.1582
2007-03-12,6615.6916
2007-03-13,6508.7872
2007-03-14,6630.3206
2007-03-15,6628.07
2007-03-16,6586.4335
2007-03-19,6804.7435
2007-03-20,6692.2126
2007-03-21,6838.5027
2007-03-22,6907.1466
2007-03-23,6967.9133
2007-03-26,7028.68
2007-03-27,7080.4442
2007-03-28,7050.0608
2007-03-29,7143.4615
2007-03-30,7065.8152
2007-04-02,7225.609
2007-04-03,7208.7294
2007-04-04,7146.8374
2007-04-05,7126.5818
2007-04-09,7153.5893
2007-04-10,7273.9973
2007-04-11,7226.7343
2007-04-12,7393.2801
2007-04-13,7356.1449
2007-04-16,7446.1696
2007-04-17,7553.0739
2007-04-18,7403.4078
2007-04-19,7284.1251
2007-04-20,7323.5109
2007-04-23,7292.0023
2007-04-24,7269.4961
2007-04-25,7487.806
2007-04-26,7522.6906
2007-04-27,7532.8184
2007-04-30,7266.1202
2007-05-01,7175.6145
2007-05-02,7325.4048
2007-05-03,7416.8209
2007-05-04,7480.702
2007-05-07,7454.2684
2007-05-08,7406.9083
2007-05-09,7445.4573
2007-05-10,7338.6216
2007-05-11,7526.9608
2007-05-14,7582.0307
2007-05-15,7645.9119
2007-05-16,7612.8699
2007-05-17,7681.1566
2007-05-18,7796.8035
2007-05-21,7840.8595
2007-05-22,7691.0692
2007-05-23,7704.286
2007-05-24,7474.0936
2007-05-25,7595.2475
2007-05-29,7649.2161
2007-05-30,7824.3385
2007-05-31,7808.9189
2007-06-01,7781.3839
2007-06-04,7984.0414
2007-06-05,7932.2756
2007-06-06,7793.4993
2007-06-07,7627.1881
2007-06-08,7661.3315
2007-06-11,7732.9224
2007-06-12,7670.1427
2007-06-13,7817.7301
2007-06-14,7998.3596
2007-06-15,8080.9645
2007-06-18,8073.2547
2007-06-19,8102.9925
2007-06-20,7928.9714
2007-06-21,8115.1078
2007-06-22,8120.6148
2007-06-25,7887.1183
2007-06-26,7759.356
2007-06-27,7858.4819
2007-06-28,7796.8035
2007-06-29,7871.6987
2007-07-02,8018.1847
2007-07-03,8045.7197
2007-07-05,8045.7197
2007-07-06,8224.1463
2007-07-09,8210.9296
2007-07-10,8160.2652
2007-07-11,8202.1184
2007-07-12,8416.8912
2007-07-13,8561.1744
2007-07-16,8444.4261
2007-07-17,8430.108
2007-07-18,8676.8213
2007-07-19,8727.4857
2007-07-20,8716.4717
2007-07-23,8732.9927
2007-07-24,8611.8388
2007-07-25,8670.2129
2007-07-26,8626.157
2007-07-27,8470.8597
2007-07-30,8601.9262
2007-07-31,8590.9122
2007-08-01,8441.122
2007-08-02,8417.0524
2007-08-03,8318.105
2007-08-06,8445.3231
