Date,CUR_MKT_CAP
2006-01-03,4248.368
2006-01-04,4287.6829
2006-01-05,4238.9325
2006-01-06,4304.9815
2006-01-09,4347.4416
2006-01-10,4310.4856
2006-01-11,4409.5591
2006-01-12,4402.4824
2006-01-13,4424.4988
2006-01-17,4406.4139
2006-01-18,4415.8495
2006-01-19,4455.9507
2006-01-20,4362.3812
2006-01-23,4310.4856
2006-01-24,4300.2637
2006-01-25,4216.9161
2006-01-26,4235.001
2006-01-27,4319.9212
2006-01-30,4263.3077
2006-01-31,4222.4202
2006-02-01,4216.9161
2006-02-02,4215.3435
2006-02-03,4150.0808
2006-02-06,4134.3548
2006-02-07,4136.7137
2006-02-08,4146.9356
2006-02-09,4290.0418
2006-02-10,4318.3486
2006-02-13,4304.1952
2006-02-14,4380.4661
2006-02-15,4338.7923
2006-02-16,4360.0223
2006-02-17,4385.1839
2006-02-21,4299.4774
2006-02-22,4326.2115
2006-02-23,4321.4937
2006-02-24,4382.825
2006-02-27,4453.5918
2006-02-28,4481.1122
2006-03-01,4466.9589
2006-03-02,4440.2247
2006-03-03,4426.0714
2006-03-06,4430.7892
2006-03-07,4414.2769
2006-03-08,4411.1317
2006-03-09,4377.3209
2006-03-10,4405.6276
2006-03-13,4418.2084
2006-03-14,4480.4511
2006-03-15,4501.7866
2006-03-16,4512.0592
2006-03-17,4536.5555
2006-03-20,4551.5694
2006-03-21,4508.1082
2006-03-22,4515.22
2006-03-23,4531.0241
2006-03-24,4547.6184
2006-03-27,4537.3457
2006-03-28,4559.4714
2006-03-29,4572.1147
2006-03-30,4601.3522
2006-03-31,4595.0306
2006-04-03,4527.0731
2006-04-04,4490.7238
2006-04-05,4470.9687
2006-04-06,4441.7312
2006-04-07,4546.8282
2006-04-10,4538.9261
2006-04-11,4549.989
2006-04-12,4540.5065
2006-04-13,4457.5352
2006-04-17,4415.6545
2006-04-18,4472.5491
2006-04-19,4595.8208
2006-04-20,4621.1073
2006-04-21,4693.8059
2006-04-24,4662.988
2006-04-25,4627.4289
2006-04-26,4605.3032
2006-04-27,4713.561
2006-04-28,4715.1414
2006-05-01,4670.89
2006-05-02,4691.4353
2006-05-03,4686.6941
2006-05-04,4612.415
2006-05-05,4719.0924
2006-05-08,4698.243
2006-05-09,4686.4007
2006-05-10,4699.0325
2006-05-11,4718.7697
2006-05-12,4701.401
2006-05-15,4719.5592
2006-05-16,4723.5067
2006-05-17,4654.0317
2006-05-18,4687.9797
2006-05-19,4676.1374
2006-05-22,4717.1907
2006-05-23,4645.3473
2006-05-24,4738.5069
2006-05-25,4706.9274
2006-05-26,4720.3487
2006-05-30,4680.8743
2006-05-31,4721.1382
2006-06-01,4868.7724
2006-06-02,4912.1943
2006-06-05,4813.5083
2006-06-06,4766.139
2006-06-07,4849.8247
2006-06-08,4826.9296
2006-06-09,4770.8759
2006-06-12,4725.8751
2006-06-13,4712.4538
2006-06-14,4715.6118
2006-06-15,4759.8231
2006-06-16,4729.0331
2006-06-19,4660.3476
2006-06-20,4711.6643
2006-06-21,4765.3495
2006-06-22,4725.0856
2006-06-23,4758.2441
2006-06-26,4763.7705
2006-06-27,4722.7172
2006-06-28,4737.7174
2006-06-29,4863.246
2006-06-30,4784.2972
2006-07-03,4792.9816
2006-07-05,4720.3487
2006-07-06,4739.2964
2006-07-07,4725.8751
2006-07-10,4757.4546
2006-07-11,4752.7177
2006-07-12,4703.7695
2006-07-13,4654.0317
2006-07-14,4607.4519
2006-07-17,4615.3468
2006-07-18,4665.8713
2006-07-19,4809.5581
2006-07-20,4762.1888
2006-07-21,4759.0309
2006-07-24,4815.874
2006-07-25,4811.137
2006-07-26,4853.7694
2006-07-27,4860.0853
2006-07-28,4957.9817
2006-07-31,4942.192
2006-08-01,4793.234
2006-08-02,4837.8437
2006-08-03,4845.535
2006-08-04,4874.762
2006-08-07,4877.8386
2006-08-08,4865.5324
2006-08-09,4873.2238
2006-08-10,4902.4508
2006-08-11,4903.9891
2006-08-14,4897.836
2006-08-15,5031.6651
2006-08-16,5091.6574
2006-08-17,5088.5809
2006-08-18,5085.5043
2006-08-21,5102.4253
2006-08-22,5039.3564
2006-08-23,4968.5962
2006-08-24,4965.5197
2006-08-25,4976.2875
2006-08-28,5034.7416
2006-08-29,4953.2135
2006-08-30,4953.2135
2006-08-31,5011.6676
2006-09-01,5043.9712
2006-09-05,5042.4329
2006-09-06,4976.2875
2006-09-07,4939.3692
2006-09-08,4954.7518
2006-09-11,4953.2135
2006-09-12,4957.8283
2006-09-13,4871.6855
2006-09-14,4837.8437
2006-09-15,4802.4636
2006-09-18,4833.2289
2006-09-19,4857.8411
2006-09-20,4911.6804
2006-09-21,4947.0605
2006-09-22,4896.2977
2006-09-25,4928.6013
2006-09-26,4873.2238
2006-09-27,4707.0911
2006-09-28,4630.1779
2006-09-29,4631.7161
2006-10-02,4668.6345
2006-10-03,4680.9406
2006-10-04,4816.308
2006-10-05,4862.4559
2006-10-06,4862.4559
2006-10-09,4882.4534
2006-10-10,4927.063
2006-10-11,4910.1421
2006-10-12,4951.6753
2006-10-13,4962.4431
2006-10-16,4954.7518
2006-10-17,4883.9916
2006-10-18,4876.3003
2006-10-19,4922.4482
2006-10-20,4956.2901
2006-10-23,4996.285
2006-10-24,4945.5222
2006-10-25,4928.6013
2006-10-26,4943.984
2006-10-27,4908.6039
2006-10-30,4888.6064
2006-10-31,4811.6932
2006-11-01,4740.933
2006-11-02,4891.6829
2006-11-03,4693.2467
2006-11-06,4770.16
2006-11-07,4842.4585
2006-11-08,4840.9202
