Date,CUR_MKT_CAP
2006-01-03,11523.7504
2006-01-04,11564.0936
2006-01-05,11587.1469
2006-01-06,11783.0996
2006-01-09,11898.366
2006-01-10,11990.579
2006-01-11,11927.1825
2006-01-12,11814.7979
2006-01-13,11690.8866
2006-01-17,11667.8333
2006-01-18,11711.0582
2006-01-19,11886.8393
2006-01-20,11754.2831
2006-01-23,11811.9162
2006-01-24,11915.6559
2006-01-25,11999.224
2006-01-26,12051.0938
2006-01-27,12272.9815
2006-01-30,12232.6383
2006-01-31,12221.1117
2006-02-01,12411.3011
2006-02-02,12399.7745
2006-02-03,12333.4963
2006-02-06,12425.7094
2006-02-07,12480.4609
2006-02-08,12431.4727
2006-02-09,12477.5792
2006-02-10,12520.8041
2006-02-13,12601.4905
2006-02-14,12702.3486
2006-02-15,12929.9995
2006-02-16,12967.4611
2006-02-17,13039.5025
2006-02-21,13149.0055
2006-02-22,13298.8518
2006-02-23,13272.9168
2006-02-24,13229.692
2006-02-27,13215.2837
2006-02-28,13048.1475
2006-03-01,12955.9345
2006-03-02,12866.6031
2006-03-03,12685.0586
2006-03-06,13042.3842
2006-03-07,12765.745
2006-03-08,12871.6409
2006-03-09,12993.6194
2006-03-10,13101.0767
2006-03-13,13002.3322
2006-03-14,13069.1299
2006-03-15,13324.704
2006-03-16,13345.0338
2006-03-17,13565.7569
2006-03-20,13379.8848
2006-03-21,13243.385
2006-03-22,13315.9913
2006-03-23,13362.4593
2006-03-24,13388.5976
2006-03-27,13374.0763
2006-03-28,13522.1931
2006-03-29,13766.1502
2006-03-30,13577.3739
2006-03-31,13588.9909
2006-04-03,13432.1613
2006-04-04,13257.9063
2006-04-05,13243.385
2006-04-06,13028.4704
2006-04-07,12775.8006
2006-04-10,12572.503
2006-04-11,12549.269
2006-04-12,12572.503
2006-04-13,12380.8224
2006-04-17,12441.9523
2006-04-18,12768.1458
2006-04-19,12957.4545
2006-04-20,13004.0536
2006-04-21,13091.4269
2006-04-24,13041.9154
2006-04-25,12957.4545
2006-04-26,12905.0306
2006-04-27,13021.5283
2006-04-28,13068.1273
2006-05-01,12913.7679
2006-05-02,12718.6343
2006-05-03,12453.6021
2006-05-04,12794.3578
2006-05-05,12887.5559
2006-05-08,13030.2656
2006-05-09,12989.4914
2006-05-10,13021.5283
2006-05-11,12660.3854
2006-05-12,12494.3763
2006-05-15,12706.9845
2006-05-16,12704.0721
2006-05-17,12488.5514
2006-05-18,12363.3164
2006-05-19,12337.1044
2006-05-22,12235.1689
2006-05-23,12206.0445
2006-05-24,12319.6297
2006-05-25,12666.2103
2006-05-26,12791.4453
2006-05-30,12785.6205
2006-05-31,12843.8693
2006-06-01,13138.0259
2006-06-02,13135.1135
2006-06-05,13108.9015
2006-06-06,13062.3024
2006-06-07,13085.602
2006-06-08,12899.2057
2006-06-09,13001.1412
2006-06-12,12893.3808
2006-06-13,12893.3808
2006-06-14,12966.1919
2006-06-15,13053.5651
2006-06-16,12957.4545
2006-06-19,12974.9292
2006-06-20,12954.5421
2006-06-21,12992.4038
2006-06-22,12899.2057
2006-06-23,12791.4453
2006-06-26,12931.2426
2006-06-27,12741.9338
2006-06-28,12826.3946
2006-06-29,12948.7172
2006-06-30,13027.3531
2006-07-03,13202.0997
2006-07-05,13187.5375
2006-07-06,13271.9983
2006-07-07,13172.9752
2006-07-10,13309.86
2006-07-11,13341.8969
2006-07-12,13440.9199
2006-07-13,13239.9614
2006-07-14,13009.8785
2006-07-17,12963.2794
2006-07-18,13079.7771
2006-07-19,13423.4453
2006-07-20,13330.2471
2006-07-21,13091.4269
2006-07-24,13286.5605
2006-07-25,13304.0351
2006-07-26,13435.095
2006-07-27,13440.9199
2006-07-28,13653.5282
2006-07-31,13545.7678
2006-08-01,13516.6434
2006-08-02,13708.8646
2006-08-03,13892.3484
2006-08-04,14125.3438
2006-08-07,13928.0547
2006-08-08,13770.9385
2006-08-09,13762.2098
2006-08-10,13776.7576
2006-08-11,13765.1194
2006-08-14,13919.326
2006-08-15,14111.3568
2006-08-16,13861.1348
2006-08-17,13744.7525
2006-08-18,13753.4812
2006-08-21,13945.512
2006-08-22,14140.4524
2006-08-23,14067.7134
2006-08-24,14178.2766
2006-08-25,14221.92
2006-08-28,14379.0362
2006-08-29,14361.5788
2006-08-30,14509.9663
2006-08-31,14509.9663
2006-09-01,14364.4884
2006-09-05,14576.8861
2006-09-06,14454.6847
2006-09-07,14320.845
2006-09-08,14539.0619
2006-09-11,14632.1677
2006-09-12,14789.2839
2006-09-13,14818.3794
2006-09-14,14693.2684
2006-09-15,14783.4647
2006-09-18,14766.0074
2006-09-19,14777.6456
2006-09-20,14626.3486
2006-09-21,14341.2119
2006-09-22,14454.6847
2006-09-25,14457.5942
2006-09-26,14358.6693
2006-09-27,14701.9971
2006-09-28,14669.992
2006-09-29,14716.5449
2006-10-02,14754.3692
2006-10-03,14891.1184
2006-10-04,15027.8676
2006-10-05,15205.3507
2006-10-06,15022.0485
2006-10-09,15120.9735
2006-10-10,15112.2448
2006-10-11,15109.3352
2006-10-12,15219.8984
2006-10-13,15438.1153
2006-10-16,15574.8645
2006-10-17,15531.2212
2006-10-18,15665.0608
2006-10-19,15528.3116
2006-10-20,15635.9653
2006-10-23,15807.6292
2006-10-24,15740.7094
2006-10-25,15857.0917
2006-10-26,15924.0115
2006-10-27,15842.5439
2006-10-30,15918.1924
2006-10-31,15889.0968
2006-11-01,15461.3918
2006-11-02,14958.0382
2006-11-03,14530.3332
2006-11-06,14684.5398
2006-11-07,14592.034
2006-11-08,14656.3032
2006-11-09,14735.1791
2006-11-10,14846.1895
2006-11-13,14784.8416
2006-11-14,15123.7157
2006-11-15,14951.3573
2006-11-16,14913.3801
2006-11-17,14773.1563
2006-11-20,15269.7821
2006-11-21,15605.7348
2006-11-22,15596.9709
2006-11-24,15664.1614
2006-11-27,15141.2437
2006-11-28,15097.4237
2006-11-29,15369.1073
2006-11-30,15558.9936
2006-12-01,15436.2978
2006-12-04,15696.296
2006-12-05,15512.2523
2006-12-06,15468.4324
2006-12-07,15389.5566
2006-12-08,15366.1859
2006-12-11,15468.4324
2006-12-12,15465.5111
