Date,CUR_MKT_CAP
2006-01-03,36443.8415
2006-01-04,36443.8415
2006-01-05,36290.3797
2006-01-06,37010.9829
2006-01-09,36917.5714
2006-01-10,36664.0258
2006-01-11,36470.5305
2006-01-12,36477.2028
2006-01-13,37311.2343
2006-01-17,38018.493
2006-01-18,38418.8282
2006-01-19,38565.6177
2006-01-20,38692.3905
2006-01-23,39066.0366
2006-01-24,39272.8764
2006-01-25,38592.3067
2006-01-26,38211.9883
2006-01-27,38438.8449
2006-01-30,37845.0145
2006-01-31,38312.0721
2006-02-01,38178.6271
2006-02-02,37464.6961
2006-02-03,37344.5955
2006-02-06,37397.9736
2006-02-07,36970.9494
2006-02-08,36557.2698
2006-02-09,37037.6719
2006-02-10,37664.8637
2006-02-13,37091.05
2006-02-14,37371.2846
2006-02-15,37377.9568
2006-02-16,37018.092
2006-02-17,37331.6916
2006-02-21,37798.7547
2006-02-22,38099.0096
2006-02-23,38185.7499
2006-02-24,38105.682
2006-02-27,38739.5534
2006-02-28,38105.682
2006-03-01,37665.3081
2006-03-02,37712.0144
2006-03-03,38045.631
2006-03-06,36731.1818
2006-03-07,36637.7692
2006-03-08,36777.8881
2006-03-09,36484.3055
2006-03-10,37018.092
2006-03-13,36978.058
2006-03-14,37498.4998
2006-03-15,37418.4319
2006-03-16,37611.9295
2006-03-17,37298.3299
2006-03-20,36998.075
2006-03-21,36450.9439
2006-03-22,36924.6794
2006-03-23,36731.1818
2006-03-24,36557.7012
2006-03-27,36010.57
2006-03-28,35797.0555
2006-03-29,36144.0167
2006-03-30,35490.1282
2006-03-31,35296.6306
2006-04-03,35189.8733
2006-04-04,35676.9535
2006-04-05,36217.4123
2006-04-06,35576.8685
2006-04-07,34662.7592
2006-04-10,34822.8951
2006-04-11,34389.1936
2006-04-12,34535.9849
2006-04-13,34515.9679
2006-04-17,34475.9339
2006-04-18,35463.4389
2006-04-19,35450.0942
2006-04-20,35803.7278
2006-04-21,35650.2642
2006-04-24,37131.5216
2006-04-25,36551.0288
2006-04-26,35704.4579
2006-04-27,36205.8311
2006-04-28,36098.8715
2006-05-01,35965.1719
2006-05-02,36700.5193
2006-05-03,36967.9184
2006-05-04,37328.9071
2006-05-05,37857.0202
2006-05-08,37208.5775
2006-05-09,37034.7681
2006-05-10,36981.2883
2006-05-11,36620.2996
2006-05-12,36747.3142
2006-05-15,37255.3723
2006-05-16,37114.9878
2006-05-17,36339.5306
2006-05-18,36720.5742
2006-05-19,37014.7132
2006-05-22,37001.3432
2006-05-23,36560.1348
2006-05-24,36653.7245
2006-05-25,36673.7794
2006-05-26,37469.2916
2006-05-30,36921.1235
2006-05-31,37843.6502
2006-06-01,38672.5873
2006-06-02,38939.9863
2006-06-05,38538.8878
2006-06-06,38298.2286
2006-06-07,38070.9394
2006-06-08,38171.2141
2006-06-09,38652.5324
2006-06-12,39147.2206
2006-06-13,38980.0962
2006-06-14,38264.8037
2006-06-15,38759.492
2006-06-16,38692.6422
2006-06-19,37897.1301
2006-06-20,38077.6244
2006-06-21,37923.87
2006-06-22,37990.7197
2006-06-23,38057.5695
2006-06-26,38104.3643
2006-06-27,37803.5404
2006-06-28,37776.8005
2006-06-29,37730.0057
2006-06-30,37990.7197
2006-07-03,38726.0671
2006-07-05,38472.038
2006-07-06,38097.6793
2006-07-07,38084.3094
2006-07-10,38458.6681
2006-07-11,38866.4516
2006-07-12,38572.3127
2006-07-13,38572.3127
2006-07-14,38565.6277
2006-07-17,38893.1915
2006-07-18,38906.5615
2006-07-19,39173.9605
2006-07-20,39294.2901
2006-07-21,39341.0849
2006-07-24,39815.7182
2006-07-25,39895.9379
2006-07-26,39822.4032
2006-07-27,38893.1915
2006-07-28,39006.8361
2006-07-31,38706.0122
2006-08-01,39446.2963
2006-08-02,39365.9576
2006-08-03,39252.1445
2006-08-04,39319.0934
2006-08-07,38843.7561
2006-08-08,39011.1284
2006-08-09,38977.6539
2006-08-10,38950.8744
2006-08-11,38770.1123
2006-08-14,39432.9065
2006-08-15,39821.2102
2006-08-16,39493.1605
2006-08-17,39352.5678
2006-08-18,40068.9211
2006-08-21,40155.9547
2006-08-22,40684.8511
2006-08-23,40611.2073
2006-08-24,40510.7839
2006-08-25,40102.3956
2006-08-28,40698.2409
2006-08-29,40370.1912
2006-08-30,40249.6832
2006-08-31,40825.4438
2006-09-01,40530.8686
2006-09-05,39921.6335
2006-09-06,39827.9051
2006-09-07,39834.5999
2006-09-08,39747.5664
2006-09-11,39392.7372
2006-09-12,38964.2641
2006-09-13,39011.1284
2006-09-14,38676.3838
2006-09-15,39640.4481
2006-09-18,39319.0934
2006-09-19,39633.7532
2006-09-20,39814.5153
2006-09-21,39560.1094
2006-09-22,39854.6846
2006-09-25,40577.7328
2006-09-26,40738.4102
2006-09-27,41307.4759
2006-09-28,41039.6803
2006-09-29,40530.8686
2006-10-02,40537.5635
2006-10-03,40544.2584
2006-10-04,40838.8336
2006-10-05,40637.9868
2006-10-06,40484.0043
2006-10-09,40430.4452
2006-10-10,40704.9357
2006-10-11,40544.2584
2006-10-12,40450.5299
2006-10-13,40597.8175
2006-10-16,40571.0379
2006-10-17,40838.8336
2006-10-18,41274.0015
2006-10-19,41541.7971
2006-10-20,41715.8642
2006-10-23,41822.9825
2006-10-24,41682.3898
2006-10-25,42191.2015
2006-10-26,42485.7767
2006-10-27,41776.1183
2006-10-30,41659.5667
2006-10-31,41585.7617
2006-11-01,41807.1767
2006-11-02,41525.3758
2006-11-03,40894.6785
2006-11-06,40713.5208
2006-11-07,40009.0186
2006-11-08,39988.8899
2006-11-09,40029.1472
2006-11-10,40290.8195
2006-11-13,39512.5122
2006-11-14,39707.089
2006-11-15,39411.869
2006-11-16,39250.8399
2006-11-17,39311.2258
2006-11-20,38848.2672
2006-11-21,39398.4499
2006-11-22,39767.4749
2006-11-24,40022.4376
2006-11-27,39801.0226
2006-11-28,40102.9522
2006-11-29,40646.4254
2006-11-30,40747.0685
2006-12-01,41189.8985
2006-12-04,41532.0853
2006-12-05,41887.6912
2006-12-06,41632.7285
2006-12-07,41498.5376
2006-12-08,41230.1558
2006-12-11,41438.1517
2006-12-12,41558.9235
2006-12-13,41672.9858
2006-12-14,41880.9817
2006-12-15,42001.7535
2006-12-18,41431.4422
2006-12-19,41485.1185
2006-12-20,41491.8281
2006-12-21,41404.604
2006-12-22,41216.7367
2006-12-26,41471.6994
2006-12-27,41619.3094
2006-12-28,41444.8612
2006-12-29,41525.3758
2007-01-03,41887.6912
2007-01-04,41518.6662
2007-01-05,40518.944
2007-01-08,40418.3008
2007-01-09,40418.3008
2007-01-10,40773.9067
2007-01-11,40633.0063
2007-01-12,40022.4376
2007-01-16,40049.2758
2007-01-17,40156.6285
2007-01-18,40223.724
2007-01-19,40431.7199
2007-01-22,40230.4335
2007-01-23,40411.5913
2007-01-24,40304.2385
2007-01-25,39619.8649
2007-01-26,39707.089
2007-01-29,39841.2799
2007-01-30,39794.3131
2007-01-31,40250.5622
2007-02-01,40948.3549
2007-02-02,40760.4876
2007-02-05,41672.9858
2007-02-06,42511.6789
2007-02-07,42437.8739
2007-02-08,42612.3221
2007-02-09,42981.3471
2007-02-12,42746.513
2007-02-13,42551.9362
2007-02-14,42742.6318
2007-02-15,42099.2808
2007-02-16,42347.239
2007-02-20,42648.8098
2007-02-21,42561.6893
2007-02-22,43044.2026
2007-02-23,44853.6273
2007-02-26,46495.5126
2007-02-27,44223.6794
2007-02-28,44183.47
2007-03-01,44237.0826
2007-03-02,43037.501
2007-03-05,42749.3334
2007-03-06,43432.8938
2007-03-07,43198.3388
2007-03-08,43225.1451
2007-03-09,43218.4435
2007-03-12,44310.7999
2007-03-13,43526.7158
2007-03-14,43868.496
2007-03-15,44431.4282
2007-03-16,44082.9464
2007-03-19,44706.1927
2007-03-20,45597.5018
2007-03-21,46267.6591
2007-03-22,45396.4547
2007-03-23,45383.0515
2007-03-26,45671.2191
2007-03-27,45450.0672
2007-03-28,46341.3764
2007-03-29,46307.8686
2007-03-30,46046.5072
2007-04-02,47179.073
2007-04-03,47795.6178
2007-04-04,47607.9737
2007-04-05,48050.2775
2007-04-09,48304.9373
2007-04-10,48412.1625
2007-04-11,48304.9373
2007-04-12,47668.2879
2007-04-13,47527.5548
2007-04-16,47989.9634
2007-04-17,48841.0631
2007-04-18,49243.1575
2007-04-19,48700.3301
2007-04-20,49109.126
2007-04-23,49638.5503
2007-04-24,50255.095
2007-04-25,50690.6972
2007-04-26,51424.099
2007-04-27,51276.116
2007-04-30,50724.5429
2007-05-01,51424.099
2007-05-02,51847.8686
2007-05-03,51713.3386
2007-05-04,51457.7315
2007-05-07,52688.6812
2007-05-08,52002.5781
2007-05-09,52164.0141
2007-05-10,51343.381
2007-05-11,51477.911
2007-05-14,51410.646
2007-05-15,51760.4241
2007-05-16,52264.9116
2007-05-17,51740.2446
2007-05-18,52769.3992
2007-05-21,52170.7406
2007-05-22,52036.2106
2007-05-23,51585.5351
2007-05-24,49607.9438
2007-05-25,49271.6188
2007-05-29,49540.6788
2007-05-30,51141.586
2007-05-31,52466.7067
2007-06-01,51531.723
2007-06-04,50778.355
2007-06-05,49957.7218
2007-06-06,48834.3962
2007-06-07,47031.694
2007-06-08,47529.455
2007-06-11,48538.4302
2007-06-12,47522.7285
2007-06-13,48498.0712
2007-06-14,48962.1997
2007-06-15,50098.9784
2007-06-18,49655.0293
2007-06-19,49722.2943
2007-06-20,47980.1306
2007-06-21,48363.5411
2007-06-22,47105.6855
2007-06-25,47933.0451
2007-06-26,47892.6861
2007-06-27,48699.8662
