Date,CUR_MKT_CAP
2006-01-03,3965.9227
2006-01-04,3949.8447
2006-01-05,3976.6414
2006-01-06,3976.6414
2006-01-09,3987.3601
2006-01-10,3992.7195
2006-01-11,4038.81
2006-01-12,4053.8161
2006-01-13,4052.7443
2006-01-17,4052.7443
2006-01-18,4111.6972
2006-01-19,4124.5596
2006-01-20,4089.1879
2006-01-23,4095.6191
2006-01-24,4120.2721
2006-01-25,4156.7158
2006-01-26,4203.8781
2006-01-27,4239.2498
2006-01-30,4201.7343
2006-01-31,4138.494
2006-02-01,4136.3502
2006-02-02,4142.7814
2006-02-03,4132.0627
2006-02-06,4159.9314
2006-02-07,4182.4407
2006-02-08,4194.2312
2006-02-09,4167.4345
2006-02-10,4132.0627
2006-02-13,4177.0813
2006-02-14,4228.5311
2006-02-15,4263.9029
2006-02-16,4278.9091
2006-02-17,4260.6872
2006-02-21,4197.4469
2006-02-22,4257.4716
2006-02-23,4279.9809
2006-02-24,4225.3155
2006-02-27,4254.256
2006-02-28,4168.5063
2006-03-01,4171.722
2006-03-02,4190.4529
2006-03-03,4122.2115
2006-03-06,4101.9523
2006-03-07,4075.2955
2006-03-08,4067.8315
2006-03-09,4005.9877
2006-03-10,4019.8493
2006-03-13,4007.054
2006-03-14,4039.0422
2006-03-15,4035.8434
2006-03-16,4037.9759
2006-03-17,4037.9759
2006-03-20,4062.5002
2006-03-21,4034.7771
2006-03-22,4030.512
2006-03-23,4003.8552
2006-03-24,3993.1924
2006-03-27,4142.4707
2006-03-28,4065.699
2006-03-29,4154.1997
2006-03-30,4194.718
2006-03-31,4163.7961
2006-04-03,4130.7417
2006-04-04,4176.5914
2006-04-05,4160.5973
2006-04-06,4138.2056
2006-04-07,4069.9641
2006-04-10,4090.2233
2006-04-11,4014.5179
2006-04-12,4050.7712
2006-04-13,4031.5783
2006-04-17,4037.9759
2006-04-18,4128.6091
2006-04-19,4133.9405
2006-04-20,4123.2777
2006-04-21,4076.3617
2006-04-24,4062.5002
2006-04-25,4041.1747
2006-04-26,4063.5665
2006-04-27,4023.0481
2006-04-28,3742.6183
2006-05-01,3597.6051
2006-05-02,3561.3519
2006-05-03,3552.8217
2006-05-04,3570.9483
2006-05-05,3630.6747
2006-05-08,3591.1412
2006-05-09,3552.6761
2006-05-10,3531.3066
2006-05-11,3434.0755
2006-05-12,3496.047
2006-05-15,3531.3066
2006-05-16,3481.0884
2006-05-17,3429.8016
2006-05-18,3413.7745
