Date,CUR_MKT_CAP
2006-01-03,1560.2766
2006-01-04,1577.3133
2006-01-05,1634.1023
2006-01-06,1620.6149
2006-01-09,1646.1699
2006-01-10,1631.9727
2006-01-11,1596.4796
2006-01-12,1576.6035
2006-01-13,1571.6344
2006-01-17,1562.4062
2006-01-18,1634.1023
2006-01-19,1622.7445
2006-01-20,1599.3191
2006-01-23,1602.1585
2006-01-24,1614.936
2006-01-25,1618.4853
2006-01-26,1632.6826
2006-01-27,1626.2938
2006-01-30,1616.3557
2006-01-31,1681.663
2006-02-01,1673.8546
2006-02-02,1646.1699
2006-02-03,1233.7401
2006-02-06,1231.6105
2006-02-07,1284.8502
2006-02-08,1265.6839
2006-02-09,1267.1036
2006-02-10,1283.4305
2006-02-13,1277.7516
2006-02-14,1290.5291
2006-02-15,1302.5967
2006-02-16,1298.3376
2006-02-17,1306.8559
2006-02-21,1315.3743
2006-02-22,1256.4557
2006-02-23,1225.9316
2006-02-24,1215.9936
2006-02-27,1215.9936
2006-02-28,1208.1851
2006-03-01,1219.5429
2006-03-02,1238.7092
2006-03-03,1209.6048
2006-03-06,1207.4752
2006-03-07,1205.3456
2006-03-08,1206.7654
2006-03-09,1151.2654
2006-03-10,1173.6135
2006-03-13,1181.0629
2006-03-14,1194.6072
2006-03-15,1182.4173
2006-03-16,1176.9996
2006-03-17,1221.6958
2006-03-20,1252.1705
2006-03-21,1265.0376
2006-03-22,1273.1641
2006-03-23,1268.4236
2006-03-24,1294.1578
2006-03-27,1315.8287
2006-03-28,1273.8414
2006-03-29,1260.2971
2006-03-30,1245.3983
2006-03-31,1258.2654
2006-04-03,1217.6325
2006-04-04,1266.392
2006-04-05,1191.8983
2006-04-06,1173.6135
2006-04-07,1158.0376
2006-04-10,1162.1009
2006-04-11,1145.1705
2006-04-12,1137.7211
2006-04-13,1145.1705
2006-04-17,1129.5946
2006-04-18,1130.949
2006-04-19,1155.3287
2006-04-20,1134.3351
2006-04-21,1110.6325
2006-04-24,1097.0882
2006-04-25,1086.2528
2006-04-26,1092.3477
2006-04-27,1091.6705
2006-04-28,1101.1515
2006-05-01,1084.2212
2006-05-02,1093.7022
2006-05-03,1101.8287
2006-05-04,1110.6325
2006-05-05,1111.987
2006-05-08,1120.7908
2006-05-09,1114.6958
2006-05-10,1111.987
2006-05-11,1089.6389
2006-05-12,1084.2212
2006-05-15,1089.6389
2006-05-16,1184.449
2006-05-17,1225.7591
2006-05-18,1183.5326
2006-05-19,1215.8291
2006-05-22,1236.6873
2006-05-23,1188.9154
2006-05-24,1205.7365
2006-05-25,1199.6809
2006-05-26,1288.4963
2006-05-30,1211.1192
2006-05-31,1226.5946
2006-06-01,1244.7614
2006-06-02,1236.6873
2006-06-05,1193.6253
2006-06-06,1249.4713
2006-06-07,1274.3666
2006-06-08,1233.3231
2006-06-09,1236.0144
2006-06-12,1220.539
2006-06-13,1201.6994
2006-06-14,1210.4464
2006-06-15,1217.1748
2006-06-16,1210.4464
2006-06-19,1170.7486
2006-06-20,1172.7671
2006-06-21,1162.6744
2006-06-22,1140.4706
2006-06-23,1142.4891
2006-06-26,1143.8348
2006-06-27,1146.5262
2006-06-28,1151.9089
2006-06-29,1196.9895
2006-06-30,1211.7921
2006-07-03,1221.2119
2006-07-05,1194.971
2006-07-06,1228.6132
2006-07-07,1223.9033
2006-07-10,1232.6502
2006-07-11,1238.033
2006-07-12,1196.3166
2006-07-13,1197.6623
2006-07-14,1186.224
2006-07-17,1181.5141
2006-07-18,1184.8783
2006-07-19,1230.6317
2006-07-20,1215.1563
2006-07-21,1205.0636
2006-07-24,1258.8911
2006-07-25,1264.9467
2006-07-26,1256.1998
2006-07-27,1209.7735
2006-07-28,1224.5761
2006-07-31,1221.8847
2006-08-01,1205.0636
2006-08-02,1229.286
2006-08-03,1231.3045
2006-08-04,1242.07
2006-08-07,1220.539
2006-08-08,1277.0579
2006-08-09,1246.1071
2006-08-10,1214.4834
2006-08-11,1244.0886
2006-08-14,1270.3295
2006-08-15,1268.9838
2006-08-16,1267.6381
2006-08-17,1267.5471
2006-08-18,1248.6587
2006-08-21,1216.2786
2006-08-22,1198.0648
2006-08-23,1161.6371
2006-08-24,1162.3117
2006-08-25,1185.9222
2006-08-28,1223.6991
2006-08-29,1277.6659
2006-08-30,1267.5471
2006-08-31,1269.5709
2006-09-01,1274.9676
2006-09-05,1291.8322
2006-09-06,1284.4118
2006-09-07,1311.3952
2006-09-08,1337.0295
2006-09-11,1347.1483
2006-09-12,1390.3218
2006-09-13,1390.9964
2006-09-14,1372.7826
2006-09-15,1369.4096
2006-09-18,1361.3146
2006-09-19,1374.1317
2006-09-20,1432.1461
2006-09-21,1415.9561
2006-09-22,1404.4881
2006-09-25,1428.0986
2006-09-26,1490.8351
2006-09-27,1470.5975
2006-09-28,1478.6926
2006-09-29,1453.0583
2006-10-02,1423.3765
2006-10-03,1423.3765
2006-10-04,1428.0986
2006-10-05,1414.6069
2006-10-06,1415.9561
2006-10-09,1428.7732
2006-10-10,1422.7019
2006-10-11,1409.8848
2006-10-12,1433.4953
2006-10-13,1444.9633
2006-10-16,1481.3909
2006-10-17,1476.6688
2006-10-18,1489.486
2006-10-19,1492.8589
2006-10-20,1498.2556
2006-10-23,1504.3268
2006-10-24,1484.7638
2006-10-25,1473.9705
2006-10-26,1484.0893
2006-10-27,1473.9705
2006-10-30,1480.7163
2006-10-31,1473.2959
2006-11-01,1469.2484
2006-11-02,1462.5025
2006-11-03,1456.4312
2006-11-06,1508.3744
2006-11-07,1548.1749
2006-11-08,1536.0324
2006-11-09,1516.4694
2006-11-10,1488.8114
2006-11-13,1463.1771
2006-11-14,1488.1368
2006-11-15,1520.5169
2006-11-16,1509.0489
2006-11-17,1498.2556
2006-11-20,1482.0655
2006-11-21,1455.7567
2006-11-22,1453.0583
2006-11-24,1455.7567
2006-11-27,1415.2815
2006-11-28,1416.6307
2006-11-29,1425.4003
2006-11-30,1417.9798
2006-12-01,1410.5594
2006-12-04,1467.2246
2006-12-05,1465.2009
2006-12-06,1471.9467
2006-12-07,1461.1533
2006-12-08,1466.55
2006-12-11,1466.55
2006-12-12,1451.0345
2006-12-13,1482.0655
2006-12-14,1494.2081
2006-12-15,1503.6523
2006-12-18,1487.4622
2006-12-19,1503.6523
2006-12-20,1505.676
2006-12-21,1507.6998
2006-12-22,1511.0727
2006-12-26,1521.8661
2006-12-27,1540.7545
2006-12-28,1540.0799
2006-12-29,1523.2153
2007-01-03,1549.5241
2007-01-04,1564.365
2007-01-05,1529.2865
2007-01-08,1546.8258
2007-01-09,1554.9208
2007-01-10,1568.4125
2007-01-11,1569.7617
2007-01-12,1579.8805
2007-01-16,1577.8567
2007-01-17,1552.897
2007-01-18,1549.5241
2007-01-19,1548.1749
2007-01-22,1531.3103
2007-01-23,1534.6832
2007-01-24,1550.8733
2007-01-25,1502.9777
2007-01-26,1519.1677
2007-01-29,1502.9777
2007-01-30,1489.486
2007-01-31,1518.4932
2007-02-01,1526.5882
2007-02-02,1542.1037
2007-02-05,1532.6595
2007-02-06,1545.4766
2007-02-07,1552.897
2007-02-08,1561.6667
2007-02-09,1543.4528
2007-02-12,1540.7545
2007-02-13,1551.5479
2007-02-14,1560.9921
2007-02-15,1577.8567
2007-02-16,1627.7761
2007-02-20,1859.1591
2007-02-21,1915.1497
2007-02-22,1903.6818
2007-02-23,1898.2851
2007-02-26,1885.468
2007-02-27,1808.5651
2007-02-28,1815.9856
2007-03-01,1827.4536
2007-03-02,1777.5342
2007-03-05,1712.0993
2007-03-06,1778.8834
2007-03-07,1774.8358
2007-03-08,1798.4464
2007-03-09,1821.3823
2007-03-12,1822.7315
2007-03-13,1760.6695
2007-03-14,1767.4154
2007-03-15,1749.2016
2007-03-16,1733.6861
2007-03-19,1743.8049
2007-03-20,1754.5983
2007-03-21,1787.653
2007-03-22,1823.406
2007-03-23,1833.5248
2007-03-26,1828.1281
2007-03-27,1793.7243
2007-03-28,1779.5579
2007-03-29,1766.0662
2007-03-30,1785.6292
2007-04-02,1776.8596
2007-04-03,1790.3513
2007-04-04,1781.5817
2007-04-05,1793.0497
2007-04-09,1814.6364
2007-04-10,1865.2304
2007-04-11,1871.9762
2007-04-12,1911.1022
2007-04-13,1914.4752
2007-04-16,1975.8625
2007-04-17,1973.1641
2007-04-18,1939.4348
2007-04-19,1945.5061
2007-04-20,1956.2995
2007-04-23,1963.0453
2007-04-24,1969.1166
2007-04-25,1950.2282
2007-04-26,1958.9978
2007-04-27,1941.4586
2007-04-30,1900.3088
2007-05-01,1896.2613
2007-05-02,1907.0547
2007-05-03,1910.4276
2007-05-04,2037.2498
2007-05-07,1996.7746
2007-05-08,2074.352
2007-05-09,2118.8747
2007-05-10,2091.2167
2007-05-11,2101.3355
2007-05-14,2043.3211
2007-05-15,2014.3139
2007-05-16,2031.1785
2007-05-17,2052.0907
2007-05-18,2060.1857
2007-05-21,2091.8913
2007-05-22,2094.5896
2007-05-23,2075.7012
2007-05-24,2033.2023
2007-05-25,2029.8294
2007-05-29,2058.8366
2007-05-30,2110.1051
2007-05-31,2105.383
2007-06-01,2107.4068
