Date,CUR_MKT_CAP
2006-01-03,2235.356
2006-01-04,2310.3137
2006-01-05,2588.3016
2006-01-06,2668.8824
2006-01-09,2654.0471
2006-01-10,2682.4017
2006-01-11,2713.5694
2006-01-12,2667.3279
2006-01-13,2657.7551
2006-01-17,2658.1125
2006-01-18,2642.4395
2006-01-19,2685.5711
2006-01-20,2648.2417
2006-01-23,2642.3208
2006-01-24,2643.8159
2006-01-25,2660.6849
2006-01-26,2692.2099
2006-01-27,2721.7617
2006-01-30,2750.5956
2006-01-31,2801.8631
2006-02-01,2928.7458
2006-02-02,2919.4138
2006-02-03,2958.4163
2006-02-06,2988.09
2006-02-07,2910.7985
2006-02-08,2900.4495
2006-02-09,2805.4545
2006-02-10,2804.199
2006-02-13,2782.1853
2006-02-14,2804.4991
2006-02-15,2814.0698
2006-02-16,2891.777
2006-02-17,2850.8
2006-02-21,2806.6516
2006-02-22,2839.3155
2006-02-23,2765.0766
2006-02-24,2770.0422
2006-02-27,2775.907
2006-02-28,2768.3075
2006-03-01,2837.1015
2006-03-02,2787.9885
2006-03-03,2837.9391
2006-03-06,2824.6584
2006-03-07,2766.9301
2006-03-08,2673.7313
2006-03-09,2643.221
2006-03-10,2682.1048
2006-03-13,2707.1692
2006-03-14,2806.1119
2006-03-15,2757.9564
2006-03-16,2776.6217
2006-03-17,2847.2108
2006-03-20,2869.0454
2006-03-21,3119.3986
2006-03-22,3147.0969
2006-03-23,3126.9376
2006-03-24,3251.1239
2006-03-27,3260.9332
2006-03-28,3220.4949
2006-03-29,3265.0621
2006-03-30,3265.6602
2006-03-31,3269.7298
2006-04-03,3225.4011
2006-04-04,3341.5128
2006-04-05,3381.6542
2006-04-06,3405.5225
2006-04-07,3403.7878
2006-04-10,3372.8629
2006-04-11,3321.8591
2006-04-12,3329.2832
2006-04-13,3312.775
2006-04-17,3287.4612
2006-04-18,3306.3202
2006-04-19,3327.2519
2006-04-20,3358.701
2006-04-21,3307.6403
2006-04-24,3298.8757
2006-04-25,3300.0099
2006-04-26,3332.6038
2006-04-27,3332.7996
2006-04-28,3314.0438
