Date,CUR_MKT_CAP
2006-01-03,7312.2516
2006-01-04,7260.0627
2006-01-05,7318.0504
2006-01-06,7319.9833
2006-01-09,7721.0651
2006-01-10,7849.6045
2006-01-11,7892.1289
2006-01-12,7716.2328
2006-01-13,7671.7755
2006-01-17,7574.1629
2006-01-18,7612.8213
2006-01-19,7526.8062
2006-01-20,7415.6631
2006-01-23,7246.5322
2006-01-24,7308.3858
2006-01-25,7222.3707
2006-01-26,7267.7944
2006-01-27,7374.1052
2006-01-30,7491.0471
2006-01-31,7364.4406
2006-02-01,7147.9531
2006-02-02,6952.7278
2006-02-03,6944.0296
2006-02-06,6802.9262
2006-02-07,6523.6186
2006-02-08,6649.2587
2006-02-09,6671.4873
2006-02-10,6338.7047
2006-02-13,6218.9463
2006-02-14,6319.8451
2006-02-15,6341.5336
2006-02-16,6439.6034
2006-02-17,6366.051
2006-02-21,6404.7132
2006-02-22,6612.1686
2006-02-23,6599.9098
2006-02-24,6531.0724
2006-02-27,6416.9719
2006-02-28,6320.7881
2006-03-01,6274.5821
2006-03-02,6311.3583
2006-03-03,6173.6833
2006-03-06,6038.8373
2006-03-07,5900.2194
2006-03-08,5973.7718
2006-03-09,5863.4433
2006-03-10,5963.399
2006-03-13,5972.8288
2006-03-14,6266.0953
2006-03-15,6140.6791
2006-03-16,6293.4417
2006-03-17,6344.3625
2006-03-20,6177.4553
2006-03-21,6058.6399
2006-03-22,6090.7012
2006-03-23,6395.2834
2006-03-24,6431.1166
2006-03-27,6336.2468
2006-03-28,6240.2713
2006-03-29,6218.8398
2006-03-30,6110.7509
2006-03-31,6054.8429
2006-04-03,6036.2068
2006-04-04,6054.8429
2006-04-05,6303.6337
2006-04-06,6312.9517
2006-04-07,6308.2927
2006-04-10,6299.4986
2006-04-11,6247.3905
2006-04-12,6076.1782
2006-04-13,6016.626
2006-04-17,5950.5604
2006-04-18,6263.2091
2006-04-19,6178.5334
2006-04-20,6143.1743
2006-04-21,6099.4407
2006-04-24,5945.9079
2006-04-25,5834.2476
2006-04-26,5885.4252
2006-04-27,5770.043
2006-04-28,5729.1009
2006-05-01,5644.4252
2006-05-02,5536.487
2006-05-03,5555.097
2006-05-04,5470.4213
2006-05-05,5712.3519
2006-05-08,5628.6067
2006-05-09,5530.904
2006-05-10,5664.8963
2006-05-11,5530.904
2006-05-12,5378.3016
2006-05-15,5261.0584
2006-05-16,5206.1588
2006-05-17,5058.2089
2006-05-18,5060.07
2006-05-19,5005.1703
2006-05-22,4898.1626
2006-05-23,4936.3132
2006-05-24,4915.8421
2006-05-25,4905.6066
2006-05-26,4942.8267
2006-05-30,4800.4599
2006-05-31,4764.1703
2006-06-01,4844.1935
2006-06-02,4754.8653
2006-06-05,4568.7649
2006-06-06,4263.5602
2006-06-07,4228.2012
2006-06-08,4177.0235
2006-06-09,4163.066
2006-06-12,4030.9347
2006-06-13,3932.3015
2006-06-14,4018.8382
2006-06-15,4196.5641
2006-06-16,4230.9927
2006-06-19,4169.5795
2006-06-20,4101.6529
2006-06-21,4260.7687
2006-06-22,4194.7031
2006-06-23,4219.8266
2006-06-26,4390.1085
2006-06-27,4235.6452
2006-06-28,4187.2591
2006-06-29,4365.9155
2006-06-30,4266.3517
2006-07-03,4304.5023
2006-07-05,4221.6876
2006-07-06,4280.3093
2006-07-07,4257.9772
2006-07-10,4120.2816
2006-07-11,4018.0051
2006-07-12,3871.8958
2006-07-13,3805.2335
2006-07-14,3645.4265
2006-07-17,3593.375
2006-07-18,3565.0664
2006-07-19,3708.4361
2006-07-20,3564.1532
2006-07-21,3572.3718
2006-07-24,3681.0406
2006-07-25,3867.3299
2006-07-26,3868.2431
2006-07-27,3789.7094
2006-07-28,3944.9505
2006-07-31,3882.854
2006-08-01,3845.4135
2006-08-02,3931.2527
2006-08-03,4176.899
2006-08-04,4200.6417
2006-08-07,4271.87
2006-08-08,4059.0984
2006-08-09,3869.1563
2006-08-10,3834.4553
2006-08-11,3754.0952
2006-08-14,3675.5615
2006-08-15,3820.7576
2006-08-16,4005.2206
2006-08-17,4016.1788
2006-08-18,4053.6193
2006-08-21,3928.5132
2006-08-22,3944.0373
2006-08-23,3701.1306
2006-08-24,3760.4875
2006-08-25,3738.5711
2006-08-28,3807.973
2006-08-29,3837.1949
2006-08-30,3873.7222
2006-08-31,3904.7704
2006-09-01,3873.7222
2006-09-05,3810.7126
2006-09-06,3688.3461
2006-09-07,3689.2593
2006-09-08,3684.6933
2006-09-11,3754.0952
2006-09-12,4010.6997
2006-09-13,3976.9119
2006-09-14,4036.2688
2006-09-15,4173.2462
2006-09-18,4215.2527
2006-09-19,4133.9794
2006-09-20,4052.7061
2006-09-21,3931.2527
2006-09-22,4040.8347
2006-09-25,4165.9408
2006-09-26,4215.2527
2006-09-27,4143.1112
2006-09-28,4122.108
2006-09-29,3999.7415
2006-10-02,4025.3106
2006-10-03,3960.4746
2006-10-04,4018.9183
2006-10-05,4000.6547
2006-10-06,3980.5646
2006-10-09,4090.1466
2006-10-10,4177.8121
2006-10-11,4177.8121
2006-10-12,4331.2269
2006-10-13,4075.5357
2006-10-16,4028.9633
2006-10-17,3958.6482
2006-10-18,3944.0373
