Date,CUR_MKT_CAP
2006-01-03,12472.4123
2006-01-04,12503.8771
2006-01-05,12546.5793
2006-01-06,12589.2815
2006-01-09,12756.7191
2006-01-10,12806.1637
2006-01-11,12536.1236
2006-01-12,12311.8036
2006-01-13,12351.0596
2006-01-17,12217.5892
2006-01-18,12236.6564
2006-01-19,12203.0084
2006-01-20,11945.0404
2006-01-23,12004.4852
2006-01-24,12099.8212
2006-01-25,12137.9556
2006-01-26,12286.0068
2006-01-27,12253.4804
2006-01-30,12142.442
2006-01-31,12146.9284
2006-02-01,12139.0772
2006-02-02,12087.4836
2006-02-03,11980.9316
2006-02-06,11939.4324
2006-02-07,11947.2836
2006-02-08,12007.85
2006-02-09,12044.8628
2006-02-10,12135.7124
2006-02-13,12078.5108
2006-02-14,12272.5476
2006-02-15,12357.7892
2006-02-16,12477.8004
2006-02-17,12541.7316
2006-02-21,12478.922
2006-02-22,12709.9716
2006-02-23,12694.2692
2006-02-24,12708.85
2006-02-27,12730.1604
2006-02-28,12606.7844
2006-03-01,12636.6241
2006-03-02,12560.6278
2006-03-03,12575.1565
2006-03-06,12455.574
2006-03-07,12567.3333
2006-03-08,12553.9222
2006-03-09,12451.1036
2006-03-10,12551.687
2006-03-13,12637.7417
2006-03-14,12767.3825
2006-03-15,12926.0807
2006-03-16,12969.6668
2006-03-17,13097.0724
2006-03-20,13108.2483
2006-03-21,12905.964
2006-03-22,12952.9029
2006-03-23,12940.6094
2006-03-24,12957.3733
2006-03-27,12937.2566
2006-03-28,12802.0278
2006-03-29,12786.3815
2006-03-30,12711.5028
2006-03-31,12756.2065
2006-04-03,12794.2047
2006-04-04,12796.4399
2006-04-05,12794.2047
2006-04-06,12761.7945
2006-04-07,12707.0324
2006-04-10,12762.9121
2006-04-11,12666.7991
2006-04-12,12670.1519
2006-04-13,12748.3834
2006-04-17,12809.851
2006-04-18,12865.4415
2006-04-19,12760.6813
2006-04-20,12824.2061
2006-04-21,12738.3919
2006-04-24,12758.4524
2006-04-25,12700.5
2006-04-26,12752.88
2006-04-27,13039.2988
2006-04-28,13306.7716
2006-05-01,13006.9792
2006-05-02,13008.0937
2006-05-03,12983.5753
2006-05-04,13024.8107
2006-05-05,13253.2771
2006-05-08,13170.8063
2006-05-09,13236.56
2006-05-10,13217.2447
2006-05-11,13008.2588
2006-05-12,12956.0123
2006-05-15,13117.1982
2006-05-16,12973.7983
2006-05-17,12735.9102
2006-05-18,12659.2079
2006-05-19,12820.3938
2006-05-22,12871.5287
2006-05-23,12742.5799
2006-05-24,12803.7194
2006-05-25,12925.9984
2006-05-26,12941.5612
2006-05-30,12717.0125
2006-05-31,12794.8264
2006-06-01,12997.1425
2006-06-02,12993.8076
2006-06-05,12753.6962
2006-06-06,12800.3845
2006-06-07,12956.0123
2006-06-08,13148.3238
2006-06-09,13151.6587
2006-06-12,13113.8633
2006-06-13,12869.3054
2006-06-14,12713.6776
2006-06-15,12992.696
2006-06-16,12914.8821
2006-06-19,12803.7194
2006-06-20,12815.9473
2006-06-21,12870.417
2006-06-22,12893.7612
2006-06-23,12654.7614
2006-06-26,12824.8403
2006-06-27,12757.0311
2006-06-28,12887.0914
2006-06-29,13076.068
2006-06-30,13108.3052
2006-07-03,13169.4447
2006-07-05,12949.3426
2006-07-06,12960.4588
2006-07-07,13007.1472
2006-07-10,13069.3983
2006-07-11,13156.1052
2006-07-12,13098.3006
2006-07-13,13067.175
2006-07-14,12938.2263
2006-07-17,12969.3518
2006-07-18,12986.0262
2006-07-19,13229.4726
2006-07-20,13212.7981
2006-07-21,13223.9144
2006-07-24,13455.1328
2006-07-25,13508.4909
2006-07-26,13468.4723
2006-07-27,13370.6492
2006-07-28,13647.4443
2006-07-31,13552.956
2006-08-01,13451.8158
2006-08-02,13444.0453
2006-08-03,13687.1504
2006-08-04,13760.4149
2006-08-07,13731.5532
2006-08-08,13579.4737
2006-08-09,13440.7151
2006-08-10,13505.0991
2006-08-11,13495.1085
2006-08-14,13439.605
2006-08-15,13666.0591
2006-08-16,13788.1667
2006-08-17,13686.0403
2006-08-18,13780.3962
2006-08-21,13758.1948
2006-08-22,13694.9209
2006-08-23,13672.7195
2006-08-24,13697.141
2006-08-25,13592.7945
2006-08-28,13674.9396
2006-08-29,13619.4362
2006-08-30,13577.2536
2006-08-31,13593.9046
2006-09-01,13599.4549
2006-09-05,13620.5463
2006-09-06,13396.3123
2006-09-07,13174.2985
2006-09-08,13178.7388
2006-09-11,13113.2447
2006-09-12,13244.2329
2006-09-13,13259.7738
2006-09-14,13291.9658
2006-09-15,13412.9634
2006-09-18,13320.8276
2006-09-19,13365.2304
2006-09-20,13446.2654
2006-09-21,13303.0665
