Date,CUR_MKT_CAP
2006-01-03,5726.7182
2006-01-04,5704.8818
2006-01-05,5712.8884
2006-01-06,5788.588
2006-01-09,5862.9627
2006-01-10,5844.3143
2006-01-11,5906.0879
2006-01-12,5858.1707
2006-01-13,5870.5447
2006-01-17,5683.2697
2006-01-18,5565.1715
2006-01-19,5540.1204
2006-01-20,5548.4783
2006-01-23,5485.9527
2006-01-24,5401.9687
2006-01-25,5369.0124
2006-01-26,5329.2528
2006-01-27,5345.3396
2006-01-30,5324.9589
2006-01-31,5336.0281
2006-02-01,5345.2661
2006-02-02,5354.3506
2006-02-03,5339.0651
2006-02-06,5341.2488
2006-02-07,5361.0792
2006-02-08,5416.1737
2006-02-09,5380.0802
2006-02-10,5396.8214
2006-02-13,5421.0952
2006-02-14,5432.7894
2006-02-15,5420.5664
2006-02-16,5403.8251
2006-02-17,5396.0428
2006-02-21,5403.8251
2006-02-22,5445.3143
2006-02-23,5441.7523
2006-02-24,5389.3156
2006-02-27,5374.758
2006-02-28,5358.368
2006-03-01,5342.1529
2006-03-02,5524.2566
2006-03-03,5561.5588
2006-03-06,5581.2115
2006-03-07,5589.9461
2006-03-08,5791.601
2006-03-09,5811.2538
2006-03-10,5886.2738
2006-03-13,5794.7319
2006-03-14,5856.3523
2006-03-15,5894.2502
2006-03-16,5955.238
2006-03-17,5985.0956
2006-03-20,6037.6044
2006-03-21,5997.9912
2006-03-22,6028.8015
2006-03-23,5993.5898
2006-03-24,5969.525
2006-03-27,5934.3134
2006-03-28,5861.9475
2006-03-29,5912.4039
2006-03-30,5900.6667
2006-03-31,5895.5317
2006-04-03,5934.4146
2006-04-04,5912.4072
2006-04-05,5887.4656
2006-04-06,5924.1445
2006-04-07,5875.7284
2006-04-10,5850.0532
2006-04-11,5818.5094
2006-04-12,5789.1663
2006-04-13,5791.367
2006-04-17,5777.4291
2006-04-18,5794.4617
2006-04-19,5790.7938
2006-04-20,5773.9134
2006-04-21,6056.0256
2006-04-24,6180.0001
2006-04-25,6221.814
2006-04-26,6281.2671
2006-04-27,6308.4094
2006-04-28,6315.0116
2006-05-01,6141.8874
2006-05-02,5937.1861
2006-05-03,5772.2917
2006-05-04,5784.029
2006-05-05,5818.5308
2006-05-08,5836.9984
2006-05-09,5840.697
2006-05-10,5803.7102
2006-05-11,5730.4763
2006-05-12,5679.0292
2006-05-15,5721.9339
2006-05-16,5699.0021
2006-05-17,5676.0702
2006-05-18,5586.33
